GENESIS-Tabelle: 12411-0050
Bevölkerungsdichte: Bundesländer, Stichtag;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;
Bevölkerungsdichte (EW je qkm);;;;;;;;;;;;;;;;
;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer
;Baden-Württemberg;Bayern;Berlin;Brandenburg;Bremen;Hamburg;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Nordrhein-Westfalen;Rheinland-Pfalz;Saarland;Sachsen;Sachsen-Anhalt;Schleswig-Holstein;Thüringen
31.12.1995;289;170;3897;86;1682;2262;285;79;163;525;200;422;248;134;173;155
31.12.1996;290;171;3883;87;1677;2262;285;78;164;527;202;422;247;133;174;154
31.12.1997;291;171;3846;87;1667;2257;286;78;165;527;202;421;246;132;175;153
31.12.1998;292;171;3818;88;1652;2251;286;78;165;527;203;418;244;131;175;152
31.12.1999;293;172;3799;88;1640;2257;287;77;166;528;203;417;242;130;176;151
31.12.2000;294;173;3793;88;1633;2271;287;77;166;528;203;416;240;128;177;150
31.12.2001;297;175;3800;88;1632;2286;288;76;167;530;204;415;238;126;178;149
31.12.2002;298;176;3804;88;1638;2289;288;75;168;530;204;415;236;125;179;148
31.12.2003;299;176;3800;87;1640;2296;288;75;168;530;204;413;235;123;179;147
31.12.2004;300;176;3799;87;1641;2297;289;74;168;530;205;411;233;122;179;146
31.12.2005;300;177;3807;87;1641;2309;289;74;168;530;204;409;232;121;179;144
31.12.2006;300;177;3820;86;1642;2323;288;73;168;529;204;406;231;119;179;143
31.12.2007;301;177;3834;86;1640;2344;288;72;167;528;204;404;229;118;180;142
31.12.2008;301;177;3849;86;1637;2347;287;72;167;526;203;401;228;116;179;140
31.12.2009;301;177;3861;85;1637;2349;287;71;166;524;202;398;226;115;179;139
31.12.2010;301;178;3899;85;1576;2366;287;71;166;523;202;396;225;114;179;138
31.12.2011;294;176;3730;83;1556;2275;284;69;163;515;201;388;220;111;177;135
31.12.2012;296;177;3785;83;1562;2296;285;69;163;515;201;387;220;110;178;134
31.12.2013;297;179;3838;83;1568;2312;286;69;164;515;201;386;220;110;178;134
31.12.2014;300;180;3891;83;1578;2334;289;69;164;517;202;385;220;109;179;133
_____
Ab 2011: Ergebnisse auf Grundlage des Zensus 2011.
_____
(C)opyright Statistisches Bundesamt, Wiesbaden 2016
Stand: 25.10.2016 - 18:08:07
