GENESIS-Tabelle: Temporär
Allgemeinbildende Schulen: Absolventen/Abgänger;;;;;;;;;;;;;;
nach dem Schulabschluss - Schuljahr -;;;;;;;;;;;;;;
regionale Ebenen;;;;;;;;;;;;;;
Statistik der allgemein bildenden Schulen;;;;;;;;;;;;;;
Absolventen/Abgänger (Anzahl);;;;;;;;;;;;;;
;;;Schulabschluss;Schulabschluss;Schulabschluss;Schulabschluss;Schulabschluss;Schulabschluss;Schulabschluss;Schulabschluss;Schulabschluss;Schulabschluss;Schulabschluss;Schulabschluss
;;;Insgesamt;Insgesamt;ohne Hauptschulabschluss;ohne Hauptschulabschluss;Hauptschulabschluss;Hauptschulabschluss;Realschulabschluss;Realschulabschluss;Fachhochschulreife;Fachhochschulreife;Allgemeine Hochschulreife;Allgemeine Hochschulreife
;;;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht;Geschlecht
;;;Insgesamt;weiblich;Insgesamt;weiblich;Insgesamt;weiblich;Insgesamt;weiblich;Insgesamt;weiblich;Insgesamt;weiblich
2014;01;Schleswig-Holstein;29821;14503;2323;901;5687;2371;11640;5798;821;455;9350;4978
2014;02;Hamburg;15379;7531;755;294;2396;981;3149;1440;620;292;8459;4524
2014;03;Niedersachsen;87284;42516;4245;1713;12027;4786;42449;20315;1839;962;26724;14740
2014;04;Bremen;7110;3497;448;182;1400;578;2478;1216;0;0;2784;1521
2014;05;Nordrhein-Westfalen;211083;104559;11695;4770;32838;13751;80963;39545;35;15;79141;43430
2014;06;Hessen;64456;31941;3031;1178;10435;4338;24810;11866;300;130;25880;14429
2014;07;Rheinland-Pfalz;43020;21193;2357;891;8001;3150;18230;9107;808;418;13624;7627
2014;08;Baden-Württemberg;119403;58033;5868;2329;22673;9642;57043;27702;288;153;33531;18207
2014;09;Bayern;135387;66524;5892;2306;29473;12091;62452;31918;5;2;37565;20207
2014;10;Saarland;9602;4856;489;192;2448;1078;3270;1696;172;77;3223;1813
2014;11;Berlin;28913;14295;2430;1032;4338;1907;9860;4660;0;0;12285;6696
2014;12;Brandenburg;18155;8700;1462;554;2616;987;7541;3627;42;12;6494;3520
2014;13;Mecklenburg-Vorpommern;10896;5388;961;363;1331;508;4478;2213;448;228;3678;2076
2014;14;Freistaat Sachsen;27459;13232;2348;911;2768;1110;14150;6751;0;0;8193;4460
2014;15;Sachsen-Anhalt;15211;7410;1528;582;1486;601;7943;3849;0;0;4254;2378
2014;16;Thüringen;15839;7734;1118;404;2256;935;7488;3674;0;0;4977;2721
2013;01;Schleswig-Holstein;29544;14295;2237;902;6245;2576;11242;5532;694;389;9126;4896
2013;02;Hamburg;13874;6899;697;302;1425;582;3625;1698;61;27;8066;4290
2013;03;Niedersachsen;86460;42296;4372;1716;12132;4985;42205;20426;1963;1042;25788;14127
2013;04;Bremen;7333;3475;449;184;1492;622;2620;1248;0;0;2772;1421
2013;05;Nordrhein-Westfalen;255240;129480;11190;4557;34448;14686;91607;44826;100;46;117895;65365
2013;06;Hessen;73096;36691;3029;1237;10899;4459;30423;15042;445;193;28300;15760
2013;07;Rheinland-Pfalz;44272;21724;2346;852;8284;3277;18481;9189;775;401;14386;8005
2013;08;Baden-Württemberg;120845;58676;5517;2245;23952;10190;57262;28082;306;146;33808;18013
2013;09;Bayern;135994;67017;5992;2311;30359;12613;61984;31852;6;3;37653;20238
2013;10;Saarland;10054;4994;510;215;2574;1088;3663;1873;157;81;3150;1737
2013;11;Berlin;29211;14439;2115;906;5100;2255;9825;4791;0;0;12171;6487
2013;12;Brandenburg;17944;8688;1432;546;2645;1039;7152;3509;0;0;6715;3594
2013;13;Mecklenburg-Vorpommern;10366;4993;1155;429;1179;490;4704;2276;0;0;3328;1798
2013;14;Freistaat Sachsen;25653;12536;2599;1032;2630;1059;13077;6487;0;0;7347;3958
2013;15;Sachsen-Anhalt;14122;6802;1479;585;1304;518;7449;3562;0;0;3890;2137
2013;16;Thüringen;14781;7208;1177;448;2209;879;6890;3426;0;0;4505;2455
2012;01;Schleswig-Holstein;28764;14215;2114;818;6807;2911;10473;5373;755;403;8615;4710
2012;02;Hamburg;14625;7399;993;413;2369;1062;3189;1516;395;207;7679;4201
2012;03;Niedersachsen;87416;42274;4773;1874;12870;5162;41339;19723;1779;924;26655;14591
2012;04;Bremen;8508;4276;412;167;1513;676;2695;1320;0;0;3888;2113
2012;05;Nordrhein-Westfalen;211433;105537;10691;4397;34767;14743;81114;39762;7182;3674;77679;42961
2012;06;Hessen;65202;32417;3351;1324;11589;4867;26788;13154;1823;1028;21651;12044
2012;07;Rheinland-Pfalz;43899;21746;2353;905;8442;3322;18252;9200;911;487;13941;7832
2012;08;Baden-Württemberg;139828;69916;5951;2376;23304;10009;50655;25291;380;200;59538;32040
2012;09;Bayern;136489;66858;6459;2480;33398;13866;59889;30826;13;4;36730;19682
2012;10;Saarland;9889;4792;530;200;2667;1100;3398;1728;166;94;3128;1670
2012;11;Berlin;34089;17151;2339;1039;5402;2331;9247;4397;0;0;17101;9384
2012;12;Brandenburg;20261;9916;1439;514;2474;959;6796;3201;41;15;9511;5227
2012;13;Mecklenburg-Vorpommern;10184;4916;1266;483;1157;488;4048;1923;381;200;3332;1822
2012;14;Freistaat Sachsen;23267;11484;2288;926;2425;995;11783;5893;0;0;6771;3670
2012;15;Sachsen-Anhalt;14452;7031;1668;652;1756;691;6949;3372;0;0;4079;2316
2012;16;Thüringen;13485;6598;1024;349;1854;772;6140;3052;0;0;4467;2425
2011;01;Schleswig-Holstein;29430;14451;2143;794;7453;3199;10815;5532;651;357;8368;4569
2011;02;Hamburg;14134;7081;1020;429;2186;919;3177;1486;460;237;7291;4010
2011;03;Niedersachsen;102741;51378;5085;1995;12695;5161;41338;19677;1547;806;42076;23739
2011;04;Bremen;7605;3729;482;188;1537;612;2714;1370;23;11;2849;1548
2011;05;Nordrhein-Westfalen;208987;104097;11202;4583;36266;15363;81977;40123;7129;3714;72413;40314
2011;06;Hessen;64633;32039;3370;1390;12016;4974;27018;13126;1953;1053;20276;11496
2011;07;Rheinland-Pfalz;43878;21897;2469;968;8820;3722;18042;8956;785;420;13762;7831
2011;08;Baden-Württemberg;121645;60069;5922;2390;30812;13399;49227;24567;310;174;35374;19539
2011;09;Bayern;168713;84605;6983;2669;33346;13981;59526;30667;12;6;68846;37282
2011;10;Saarland;9630;4764;487;188;2583;1118;3365;1697;109;51;3086;1710
2011;11;Berlin;28260;13905;2487;1025;5355;2382;8603;4083;0;0;11815;6415
2011;12;Brandenburg;16419;8076;1411;549;2764;1043;5555;2809;0;0;6689;3675
2011;13;Mecklenburg-Vorpommern;9452;4520;1345;525;1043;430;3678;1739;294;158;3092;1668
2011;14;Freistaat Sachsen;22417;10848;2259;863;2410;949;11079;5386;0;0;6669;3650
2011;15;Sachsen-Anhalt;14058;6724;1738;675;1910;763;6120;2898;366;186;3924;2202
2011;16;Thüringen;13259;6457;1157;455;2000;818;5821;2825;0;0;4281;2359
2010;01;Schleswig-Holstein;31308;15279;2202;854;8151;3491;11030;5533;538;283;9387;5118
2010;02;Hamburg;20270;10404;1224;516;2516;1089;3864;1871;547;289;12119;6639
2010;03;Niedersachsen;87323;42369;5218;1931;14462;5742;41347;19953;1346;727;24950;14016
2010;04;Bremen;7477;3745;370;141;1674;768;2748;1370;11;7;2674;1459
2010;05;Nordrhein-Westfalen;216136;107679;11982;4841;38685;16357;87742;43194;7625;3928;70102;39359
2010;06;Hessen;66276;32776;3863;1507;13210;5612;27973;13803;1257;677;19973;11177
2010;07;Rheinland-Pfalz;44369;22139;2565;936;9163;3796;18246;9189;713;410;13682;7808
2010;08;Baden-Württemberg;122716;60317;6245;2447;31999;13956;50150;25014;313;149;34009;18751
