"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"1","GENESIS-Tabelle: 82111-0001","","","","","","","","","","","","","","","","",""
"2","Regional accounts (production approach) - GDP at market","","","","","","","","","","","","","","","","",""
"3","prices (nominal): Länder, years","","","","","","","","","","","","","","","","",""
"4","Regional accounts (Länder): production approach","","","","","","","","","","","","","","","","",""
"5","GDP at market prices (current prices) (EUR mn)","","","","","","","","","","","","","","","","",""
"6","","Länder","Länder","Länder","Länder","Länder","Länder","Länder","Länder","Länder","Länder","Länder","Länder","Länder","Länder","Länder","Länder","Germany"
"7","","Baden-Württemberg","Bayern","Berlin","Brandenburg","Bremen","Hamburg","Hessen","Mecklenburg-Vorpommern","Niedersachsen","Nordrhein-Westfalen","Rheinland-Pfalz","Saarland","Sachsen","Sachsen-Anhalt","Schleswig-Holstein","Thüringen",""
"8","1991","241787","262142","67843","19563","18745","61145","150118","14070","143341","379622","75795","21269","36476","20337","50622","16927","1579800"
"9","1992","254933","281958","74699","24316","19318","63393","158449","17332","152303","400291","79385","22103","45206","25420","53626","22588","1695320"
"10","1993","253366","287715","80357","29691","19293","65896","161499","20793","155857","403742","79689","21825","54870","31246","54975","27736","1748550"
"11","1994","262749","298661","83168","34316","19959","67958","166003","24137","162541","416209","82818","22859","63700","35987","56819","32408","1830290"
"12","1995","272402","307792","85736","37807","20403","69730","170870","26416","164685","431311","86141","23852","70174","38290","58977","34295","1898880"
"13","1996","277454","313362","84987","39674","20466","71354","175247","27414","165740","432774","86248","23276","72836","39942","59926","35619","1926320"
"14","1997","283106","321244","83729","40490","21110","73951","178951","27859","168968","443231","88933","23759","72809","40922","61259","36769","1967090"
"15","1998","291678","334700","83970","41468","21349","75811","182634","28013","174615","454786","89919","24183","73889","41423","62047","37744","2018230"
"16","1999","301388","345226","84566","43350","21416","76488","189911","28826","178370","459292","92253","24599","75477","41984","62721","39013","2064880"
"17","2000","309550","358740","85336","44685","22361","78127","194512","29127","183839","468890","94125","25412","75524","42430","64149","39673","2116480"
"18","2001","323511","372528","86183","45794","23156","82478","201620","29598","187043","479665","94491","25970","77959","43063","66096","40696","2179850"
"19","2002","325818","381649","86306","46392","23822","83916","202722","29883","185888","488169","96577","25990","80866","44607","65344","41342","2209290"
"20","2003","328749","378328","85474","46715","24438","84234","207924","30136","186701","488368","97106","26233","82509","44905","66125","42136","2220080"
"21","2004","332697","390623","85407","47956","24694","86052","210666","30639","191536","501679","100165","27367","84730","45769","67571","43067","2270620"
"22","2005","336269","396911","87254","48716","25108","87944","212255","30830","195794","508544","100804","28726","84653","45864","68041","43147","2300860"
"23","2006","356956","412903","90412","50820","26285","89173","218924","31670","204466","525442","104636","29896","88779","47899","70119","44869","2393250"
"24","2007","377127","433563","94675","53004","27286","92387","227463","33485","213418","558003","109449","31353","92954","50153","71984","46928","2513230"
"25","2008","381486","436933","99302","54884","27652","95145","230569","34452","219223","572389","111340","31730","93981","50869","74363","47423","2561740"
"26","2009","355496","426706","99267","53627","25162","91715","219496","34101","209828","550378","108359","28690","91168","48530","72241","45513","2460280"
"27","2010","384913","450203","103292","56034","26719","94578","227171","34969","222851","566173","114338","30295","95053","51350","73898","48225","2580060"
"28","2011","405955","480472","108143","57740","27665","95872","235576","36263","235886","588785","119608","32033","99510","52042","76597","50972","2703120"
"29","2012","413668","493381","109824","58802","28866","97831","237568","36419","240106","597352","122034","32511","101788","53770","79374","51565","2754860"
"30","2013","423440","508079","112797","60445","29270","102329","243425","37455","242282","611126","124666","32488","104456","54627","80522","53412","2820820"
"31","2014","437251","526740","117748","62366","30119","105200","253864","38367","248504","632848","127674","33474","108592","55105","82814","54986","2915650"
"32","2015","460687","549190","124161","65294","31590","109271","263444","39869","258530","645590","131951","35028","112658","56217","85610","56811","3025900"
"33","_____","","","","","","","","","","","","","","","","",""
"34","Source:","","","","","","","","","","","","","","","","",""
"35","Länder National Accounts Working Group.","","","","","","","","","","","","","","","","",""
"36","Calculated as at: August 2015 / February 2016","","","","","","","","","","","","","","","","",""
"37","_____","","","","","","","","","","","","","","","","",""
"38","(C)opyright Statistisches Bundesamt, Wiesbaden 2016","","","","","","","","","","","","","","","","",""
"39","created: 04.11.2016 - 17:57:41","","","","","","","","","","","","","","","","",""
