"","V1","V2","V3","V4","V5","V6","V7"
"1","GENESIS-Tabelle: 12211-0005","","","","","",""
"2","Population, persons in employment, unemployed persons,","","","","","",""
"3","economically active population, economically inactive","","","","","",""
"4","population: Länder, years","","","","","",""
"5","Microcensus","","","","","",""
"6","","","Population","Persons in employment","Unemployed persons","Economically active population","Economically inactive population"
"7","","","1000","1000","1000","1000","1000"
"8","Baden-Württemberg","1991-04","9859","4831","160","4991","4869"
"9","Baden-Württemberg","1992-05","10044","4884","207","5091","4953"
"10","Baden-Württemberg","1993-04","10176","4837","300","5138","5038"
"11","Baden-Württemberg","1994-04","10240","4744","385","5129","5111"
"12","Baden-Württemberg","1995-04","10277","4735","375","5110","5167"
"13","Baden-Württemberg","1996-04","10331","4764","355","5119","5212"
"14","Baden-Württemberg","1997-04","10380","4769","392","5161","5218"
"15","Baden-Württemberg","1998-04","10397","4795","368","5163","5234"
"16","Baden-Württemberg","1999-04","10428","4843","331","5174","5255"
"17","Baden-Württemberg","2000-05","10489","4909","268","5178","5311"
"18","Baden-Württemberg","2001-04","10538","4977","252","5229","5309"
"19","Baden-Württemberg","2002-04","10613","5019","299","5318","5295"
"20","Baden-Württemberg","2003-05","10670","4984","384","5368","5303"
"21","Baden-Württemberg","2004-03","10694","4945","421","5366","5328"
"22","Baden-Württemberg","2005","10728","5093","387","5480","5249"
"23","Baden-Württemberg","2006","10739","5174","351","5525","5214"
"24","Baden-Württemberg","2007","10745","5300","275","5575","5170"
"25","Baden-Württemberg","2008","10751","5373","237","5610","5142"
"26","Baden-Württemberg","2009","10751","5332","288","5620","5131"
"27","Baden-Württemberg","2010","10744","5357","269","5625","5119"
"28","Baden-Württemberg","2011","10494","5334","196","5530","4964"
"29","Baden-Württemberg","2012","10541","5397","185","5582","4959"
"30","Baden-Württemberg","2013","10599","5513","190","5703","4896"
"31","Baden-Württemberg","2014","10666","5577","179","5755","4911"
"32","Baden-Württemberg","2015","10766","5653","181","5834","4932"
"33","Bayern","1991-04","11488","5821","215","6036","5452"
"34","Bayern","1992-05","11640","5883","257","6140","5500"
