

Kopieren Sie folgende Adresse und fügen Sie sie in Ihren Browser ein, um diese gestaltbare Tabelle erneut aufzurufen. (Der Link ist 7 Tage gültig.)
http://www.gbe-bund.de/gbe10/i?i=702:21132444D
 
Diagnosedaten der Krankenhäuser ab 2000 (Fälle, Berechnungs- und Belegungstage, durchschnittliche Verweildauer). Gliederungsmerkmale: Jahre, Behandlungsort, Alter, Geschlecht, Verweildauer                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
****************************************************************************************************
                                                                                                    
Diese Tabelle bezieht sich auf:
Behandlungsort:;Berlin
Geschlecht:;Beide Geschlechter
Verweildauer:;alle Fälle
Sachverhalt:;Fälle
""
;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;" Alle Altersgruppen";;;;;;;;;;;;;;;" Unter 1 Jahr";;;;;;;;;;;;;;;" 1 Jahr bis unter 5 Jahre";;;;;;;;;;;;;;;" 5 bis unter 15 Jahre";;;;;;;;;;;;;;;" 15 bis unter 25 Jahre";;;;;;;;;;;;;;;" 25 bis unter 35 Jahre";;;;;;;;;;;;;;;" 35 bis unter 45 Jahre";;;;;;;;;;;;;;;" 45 bis unter 55 Jahre";;;;;;;;;;;;;;;" 55 bis unter 65 Jahre";;;;;;;;;;;;;;;" 65 bis unter 75 Jahre";;;;;;;;;;;;;;;" 75 Jahre und älter";;;;;;;;;;;;;;;" Unbekannt";;;;;;;;;;;;;;;
;" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";
" F10-F19 Psychische und Verhaltensstörungen durch psychotrope Substanzen";"19.262";"18.700";"18.467";"17.557";"17.605";"16.929";"16.471";"16.159";"16.240";"16.607";"16.122";"16.249";"16.118";"16.729";"17.192";"1";"";"";"2";"3";"3";"1";"";"1";"1";"3";"";"3";"9";"4";"";"";"";"4";"";"";"1";"3";"3";"2";"3";"";"1";"3";"3";"103";"89";"118";"108";"108";"125";"149";"113";"95";"102";"70";"74";"70";"79";"80";"1.865";"1.749";"1.856";"1.719";"1.846";"1.771";"1.745";"1.646";"1.630";"1.633";"1.452";"1.375";"1.203";"1.122";"1.118";"3.788";"3.599";"3.406";"3.151";"3.005";"2.702";"2.546";"2.505";"2.488";"2.461";"2.279";"2.358";"2.195";"2.515";"2.858";"4.134";"4.089";"4.227";"3.978";"4.285";"4.363";"4.436";"4.554";"4.892";"5.225";"5.301";"5.474";"5.696";"5.673";"5.763";"5.204";"5.284";"5.205";"5.082";"5.023";"4.942";"4.649";"4.476";"4.236";"4.284";"4.196";"4.180";"4.054";"4.203";"4.152";"2.957";"2.797";"2.546";"2.380";"2.299";"2.004";"1.922";"1.864";"1.933";"1.982";"1.968";"1.989";"2.140";"2.347";"2.417";"919";"839";"843";"888";"837";"850";"848";"820";"797";"761";"680";"623";"609";"619";"629";"291";"254";"266";"245";"199";"169";"174";"178";"165";"156";"170";"176";"147";"159";"168";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
" F10 Psychische und Verhaltensstörungen durch Alkohol";"13.843";"13.673";"13.723";"13.147";"13.112";"12.819";"12.439";"12.135";"12.178";"12.494";"12.390";"12.567";"13.018";"13.646";"14.103";"";"";"";"1";"1";"1";"1";"";"";"";"";"";"";"5";"4";"";"";"";"";"";"";"";"1";"";"1";"1";"";"";"";"1";"52";"59";"85";"92";"98";"109";"118";"101";"79";"83";"52";"52";"57";"56";"62";"728";"694";"802";"700";"818";"778";"723";"622";"602";"549";"440";"471";"420";"423";"423";"1.809";"1.750";"1.750";"1.547";"1.421";"1.284";"1.161";"1.108";"1.132";"1.145";"1.179";"1.271";"1.284";"1.600";"1.850";"2.970";"2.969";"3.179";"3.073";"3.254";"3.377";"3.516";"3.620";"3.886";"4.159";"4.289";"4.416";"4.803";"4.807";"4.935";"4.564";"4.678";"4.608";"4.570";"4.520";"4.509";"4.234";"4.060";"3.867";"3.936";"3.870";"3.786";"3.771";"3.875";"3.853";"2.700";"2.587";"2.381";"2.210";"2.133";"1.872";"1.799";"1.752";"1.796";"1.853";"1.828";"1.891";"2.033";"2.217";"2.296";"816";"748";"753";"798";"739";"769";"767";"748";"717";"686";"617";"563";"545";"556";"579";"204";"188";"165";"156";"128";"120";"120";"123";"99";"82";"114";"117";"105";"107";"100";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
" F10.0 Psychische und Verhaltensstörungen durch Alkohol: Akute Intoxikation";"2.700";"2.461";"2.378";"2.075";"2.167";"2.047";"2.018";"1.868";"1.954";"2.215";"1.834";"1.578";"1.491";"1.996";"2.403";"";"";"";"1";"1";"1";"";"";"";"";"";"";"";"4";"3";"";"";"";"";"";"";"";"1";"";"1";"";"";"";"";"1";"50";"58";"85";"92";"97";"107";"114";"100";"77";"80";"51";"48";"54";"48";"57";"501";"476";"601";"518";"566";"531";"480";"398";"384";"378";"273";"267";"230";"235";"216";"439";"402";"363";"324";"242";"215";"220";"209";"218";"252";"177";"185";"200";"266";"319";"559";"504";"411";"341";"419";"411";"429";"398";"505";"627";"577";"482";"440";"594";"752";"615";"559";"508";"439";"469";"470";"440";"446";"437";"493";"431";"328";"322";"471";"521";"345";"303";"281";"230";"224";"182";"198";"201";"206";"245";"202";"175";"173";"275";"415";"154";"111";"95";"103";"109";"99";"108";"93";"106";"108";"91";"73";"57";"83";"91";"37";"48";"34";"27";"40";"31";"29";"22";"21";"31";"32";"20";"15";"20";"28";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
" F10.1 Psychische und Verhaltensstörungen durch Alkohol: Schädlicher Gebrauch";"153";"122";"140";"120";"111";"127";"157";"142";"142";"119";"133";"198";"233";"282";"449";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"2";"1";"";"";"";"2";"3";"1";"2";"2";"1";"4";"3";"4";"5";"19";"18";"30";"20";"18";"27";"22";"34";"16";"17";"12";"34";"23";"30";"42";"37";"26";"32";"20";"22";"17";"26";"16";"17";"21";"11";"20";"27";"48";"53";"23";"21";"28";"21";"23";"30";"28";"40";"38";"30";"47";"57";"70";"65";"125";"32";"27";"27";"32";"20";"26";"39";"27";"30";"28";"29";"41";"46";"64";"126";"20";"15";"11";"11";"13";"14";"25";"9";"21";"15";"19";"25";"45";"51";"66";"13";"9";"7";"13";"14";"8";"11";"13";"17";"4";"11";"13";"12";"14";"23";"7";"5";"5";"3";"1";"3";"3";"2";"1";"2";"2";"4";"7";"6";"9";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
" F10.2 Psychische und Verhaltensstörungen durch Alkohol: Abhängigkeitssyndrom";"4.514";"4.476";"4.622";"4.340";"4.565";"4.693";"4.812";"4.892";"4.692";"4.444";"4.533";"4.630";"5.327";"5.552";"6.306";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"1";"";"";"";"3";"";"91";"84";"64";"62";"95";"101";"130";"114";"122";"84";"77";"81";"94";"92";"106";"581";"572";"587";"480";"491";"498";"473";"442";"465";"407";"484";"480";"521";"689";"829";"1.019";"1.009";"1.178";"1.089";"1.238";"1.334";"1.486";"1.587";"1.516";"1.514";"1.626";"1.753";"2.067";"2.061";"2.362";"1.538";"1.607";"1.661";"1.656";"1.694";"1.762";"1.711";"1.706";"1.574";"1.521";"1.518";"1.435";"1.638";"1.597";"1.739";"951";"940";"862";"739";"770";"738";"724";"763";"724";"666";"624";"693";"792";"903";"1.021";"278";"215";"235";"267";"251";"232";"258";"252";"265";"240";"177";"174";"184";"176";"223";"56";"49";"35";"47";"26";"28";"29";"28";"26";"11";"27";"14";"31";"31";"26";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
" F10.3 Psychische und Verhaltensstörungen durch Alkohol: Entzugssyndrom";"5.495";"5.500";"5.639";"5.730";"5.406";"5.071";"4.441";"4.050";"4.235";"4.519";"4.614";"4.972";"4.650";"4.324";"3.467";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"95";"89";"87";"85";"118";"105";"77";"67";"64";"56";"66";"73";"58";"42";"28";"662";"664";"696";"652";"594";"496";"376";"354";"395";"412";"442";"519";"433";"516";"518";"1.208";"1.226";"1.399";"1.468";"1.397";"1.449";"1.354";"1.312";"1.503";"1.670";"1.699";"1.801";"1.830";"1.652";"1.330";"2.058";"2.141";"2.102";"2.152";"2.070";"1.947";"1.696";"1.536";"1.447";"1.500";"1.497";"1.624";"1.408";"1.291";"1.014";"1.150";"1.045";"1.024";"1.031";"935";"745";"668";"532";"603";"673";"705";"746";"730";"647";"470";"264";"281";"271";"299";"255";"290";"235";"217";"198";"190";"183";"171";"169";"154";"99";"58";"54";"60";"43";"37";"39";"35";"32";"25";"18";"22";"38";"22";"21";"8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
" F10.4 Psychische und Verhaltensstörungen durch Alkohol: Entzugssyndrom mit Delir";"500";"585";"507";"513";"539";"538";"648";"720";"696";"759";"803";"769";"791";"840";"617";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3";"5";"";"1";"3";"3";"8";"";"5";"6";"2";"6";"1";"6";"2";"34";"31";"32";"37";"38";"31";"50";"57";"24";"36";"48";"45";"60";"46";"49";"100";"115";"86";"104";"139";"107";"158";"197";"211";"239";"239";"235";"265";"265";"186";"173";"203";"189";"188";"178";"215";"232";"241";"251";"264";"266";"236";"232";"276";"191";"124";"156";"121";"122";"121";"118";"107";"135";"140";"133";"168";"156";"167";"177";"126";"50";"60";"67";"45";"50";"55";"79";"76";"57";"72";"68";"72";"53";"58";"51";"16";"15";"12";"16";"10";"9";"14";"14";"8";"9";"12";"19";"13";"12";"12";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
