

Kopieren Sie folgende Adresse und fügen Sie sie in Ihren Browser ein, um diese gestaltbare Tabelle erneut aufzurufen. (Der Link ist 7 Tage gültig.)
http://www.gbe-bund.de/gbe10/i?i=702:21132444D
 
Diagnosedaten der Krankenhäuser ab 2000 (Fälle, Berechnungs- und Belegungstage, durchschnittliche Verweildauer). Gliederungsmerkmale: Jahre, Behandlungsort, Alter, Geschlecht, Verweildauer                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
****************************************************************************************************
                                                                                                    
Diese Tabelle bezieht sich auf:
Behandlungsort:;Baden-Württemberg
Geschlecht:;Beide Geschlechter
Verweildauer:;alle Fälle
Sachverhalt:;Fälle
""
;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;" Alle Altersgruppen";;;;;;;;;;;;;;;" Unter 1 Jahr";;;;;;;;;;;;;;;" 1 Jahr bis unter 5 Jahre";;;;;;;;;;;;;;;" 5 bis unter 15 Jahre";;;;;;;;;;;;;;;" 15 bis unter 25 Jahre";;;;;;;;;;;;;;;" 25 bis unter 35 Jahre";;;;;;;;;;;;;;;" 35 bis unter 45 Jahre";;;;;;;;;;;;;;;" 45 bis unter 55 Jahre";;;;;;;;;;;;;;;" 55 bis unter 65 Jahre";;;;;;;;;;;;;;;" 65 bis unter 75 Jahre";;;;;;;;;;;;;;;" 75 Jahre und älter";;;;;;;;;;;;;;;" Unbekannt";;;;;;;;;;;;;;;
;" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";
" F10-F19 Psychische und Verhaltensstörungen durch psychotrope Substanzen";"48.015";"47.711";"48.537";"48.526";"47.806";"47.783";"47.446";"44.713";"41.793";"42.112";"41.535";"39.383";"38.374";"39.108";"37.978";"";"";"2";"1";"3";"2";"2";"4";"3";"7";"3";"6";"5";"9";"26";"7";"3";"2";"4";"7";"6";"8";"6";"8";"6";"3";"12";"11";"15";"25";"547";"569";"659";"697";"716";"694";"752";"633";"559";"566";"518";"497";"425";"421";"344";"7.217";"7.253";"7.736";"8.218";"7.824";"7.846";"7.756";"7.289";"6.528";"6.632";"6.323";"5.515";"5.251";"5.334";"5.148";"8.465";"8.262";"8.138";"8.207";"7.897";"7.919";"7.506";"7.025";"6.523";"6.545";"6.400";"6.285";"6.609";"6.945";"7.021";"9.507";"9.298";"9.612";"9.767";"9.971";"10.546";"10.827";"10.449";"10.540";"10.827";"11.104";"11.078";"11.240";"11.556";"11.284";"12.103";"12.381";"12.652";"12.338";"12.463";"11.932";"11.957";"11.029";"10.053";"9.837";"9.729";"9.154";"8.381";"8.217";"7.626";"6.971";"6.904";"6.461";"6.027";"5.781";"5.647";"5.513";"5.163";"4.746";"4.849";"4.698";"4.390";"4.344";"4.310";"4.411";"2.282";"2.229";"2.424";"2.461";"2.413";"2.439";"2.475";"2.444";"2.209";"2.148";"2.116";"1.825";"1.613";"1.682";"1.564";"916";"812";"851";"806";"731";"752";"650";"671";"622";"694";"640";"621";"490";"616";"529";"";"";"";"";"";"";"";"";"2";"1";"1";"";"5";"3";"";
" F10 Psychische und Verhaltensstörungen durch Alkohol";"37.659";"37.815";"38.913";"38.518";"38.639";"38.602";"38.647";"36.303";"33.563";"33.700";"33.124";"31.159";"30.215";"30.393";"29.294";"";"";"";"";"";"";"";"";"";"";"";"1";"1";"1";"2";"";"1";"";"1";"4";"1";"";"";"3";"";"2";"4";"1";"3";"5";"448";"497";"594";"631";"668";"665";"719";"607";"530";"521";"474";"453";"377";"363";"303";"4.585";"4.954";"5.376";"5.637";"5.549";"5.642";"5.444";"4.975";"4.175";"4.139";"3.682";"3.023";"2.653";"2.570";"2.260";"4.844";"4.680";"4.708";"4.603";"4.482";"4.388";"4.312";"3.950";"3.539";"3.523";"3.541";"3.462";"3.715";"3.841";"3.956";"7.257";"7.201";"7.565";"7.785";"8.162";"8.640";"9.024";"8.805";"8.873";"9.224";"9.429";"9.351";"9.645";"9.914";"9.715";"11.091";"11.288";"11.608";"11.291";"11.457";"11.046";"11.123";"10.295";"9.404";"9.217";"9.086";"8.545";"7.877";"7.698";"7.132";"6.594";"6.488";"6.125";"5.654";"5.488";"5.386";"5.242";"4.909";"4.533";"4.582";"4.465";"4.172";"4.106";"4.068";"4.158";"2.108";"2.058";"2.249";"2.257";"2.245";"2.277";"2.297";"2.247";"2.040";"1.980";"1.967";"1.659";"1.481";"1.504";"1.410";"732";"648";"688";"659";"584";"557";"486";"515";"466";"513";"477";"489";"354";"428";"353";"";"";"";"";"";"";"";"";"";"1";"1";"";"5";"3";"";
" F10.0 Psychische und Verhaltensstörungen durch Alkohol: Akute Intoxikation";"14.100";"14.388";"15.611";"15.356";"15.439";"15.643";"15.314";"14.111";"12.473";"12.862";"12.248";"10.291";"8.705";"8.439";"6.885";"";"";"";"";"";"";"";"";"";"";"";"1";"1";"1";"2";"";"1";"";"";"4";"1";"";"";"3";"";"2";"3";"1";"3";"4";"440";"474";"562";"583";"636";"651";"691";"588";"515";"507";"461";"431";"348";"336";"264";"4.023";"4.318";"4.718";"4.852";"4.866";"4.918";"4.674";"4.277";"3.608";"3.599";"3.198";"2.497";"2.171";"1.985";"1.634";"2.019";"1.873";"1.982";"1.975";"1.911";"1.902";"1.842";"1.685";"1.466";"1.472";"1.429";"1.346";"1.280";"1.251";"1.110";"2.003";"2.047";"2.185";"2.287";"2.391";"2.469";"2.592";"2.523";"2.386";"2.632";"2.655";"2.321";"2.056";"2.063";"1.628";"2.787";"2.863";"3.229";"2.909";"2.992";"2.969";"2.941";"2.541";"2.346";"2.383";"2.336";"1.983";"1.510";"1.511";"1.139";"1.745";"1.720";"1.715";"1.578";"1.502";"1.554";"1.486";"1.382";"1.229";"1.318";"1.250";"1.016";"842";"801";"694";"726";"733";"889";"847";"842";"887";"828";"849";"712";"716";"706";"523";"375";"351";"308";"357";"359";"331";"325";"295";"292";"260";"266";"208";"235";"210";"170";"120";"136";"102";"";"";"";"";"";"";"";"";"";"";"1";"";"1";"1";"";
" F10.1 Psychische und Verhaltensstörungen durch Alkohol: Schädlicher Gebrauch";"575";"691";"725";"717";"748";"793";"851";"837";"707";"730";"784";"1.150";"1.317";"1.494";"1.799";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"6";"21";"27";"38";"16";"11";"21";"15";"12";"12";"12";"19";"22";"16";"26";"118";"148";"193";"199";"172";"153";"174";"192";"138";"112";"131";"145";"162";"199";"199";"106";"108";"103";"102";"110";"122";"116";"123";"115";"85";"135";"164";"162";"185";"249";"100";"121";"120";"109";"117";"181";"166";"177";"163";"200";"172";"314";"403";"423";"510";"112";"150";"139";"138";"192";"178";"196";"168";"149";"156";"160";"242";"287";"340";"417";"79";"87";"77";"70";"79";"81";"94";"84";"71";"87";"101";"146";"162";"190";"227";"35";"37";"43";"42";"43";"45";"67";"60";"44";"66";"49";"79";"87";"102";"133";"19";"19";"23";"19";"19";"22";"17";"18";"15";"12";"24";"40";"31";"39";"38";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";
" F10.2 Psychische und Verhaltensstörungen durch Alkohol: Abhängigkeitssyndrom";"16.744";"16.390";"15.400";"15.058";"14.699";"15.003";"15.694";"15.312";"14.764";"15.123";"14.709";"14.799";"15.347";"15.591";"14.655";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"5";"4";"14";"3";"7";"2";"2";"1";"1";"3";"4";"5";"5";"362";"405";"373";"449";"390";"455";"455";"402";"349";"355";"289";"314";"266";"280";"298";"2.115";"2.097";"1.944";"1.811";"1.722";"1.698";"1.758";"1.617";"1.466";"1.605";"1.534";"1.556";"1.846";"1.962";"1.920";"3.906";"3.800";"3.707";"3.744";"3.828";"4.222";"4.528";"4.599";"4.808";"5.014";"5.069";"5.315";"5.768";"5.978";"5.628";"6.078";"5.962";"5.674";"5.707";"5.503";"5.353";"5.673";"5.444";"5.059";"5.073";"4.884";"4.833";"4.581";"4.472";"4.029";"3.380";"3.276";"2.846";"2.508";"2.413";"2.457";"2.411";"2.349";"2.228";"2.213";"2.156";"2.056";"2.155";"2.131";"2.123";"751";"722";"710";"719";"718";"720";"774";"797";"730";"725";"661";"582";"617";"634";"551";"152";"127";"141";"116";"111";"95";"88";"102";"122";"137";"115";"140";"107";"127";"101";"";"";"";"";"";"";"";"";"";"";"";"";"3";"2";"";
" F10.3 Psychische und Verhaltensstörungen durch Alkohol: Entzugssyndrom";"4.712";"4.842";"5.497";"5.656";"5.836";"5.175";"4.516";"3.822";"3.132";"2.533";"2.633";"2.265";"1.971";"1.635";"1.473";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"2";"51";"59";"67";"94";"76";"86";"83";"79";"48";"37";"38";"25";"25";"17";"24";"503";"507";"582";"621";"615";"527";"463";"387";"340";"223";"265";"230";"211";"174";"173";"1.048";"1.052";"1.308";"1.352";"1.485";"1.424";"1.288";"1.076";"991";"816";"881";"783";"717";"570";"534";"1.702";"1.843";"2.082";"2.038";"2.137";"1.926";"1.601";"1.390";"1.060";"853";"856";"687";"604";"521";"412";"984";"989";"1.038";"1.077";"1.073";"829";"736";"615";"473";"411";"398";"370";"316";"253";"247";"334";"329";"348";"404";"384";"330";"302";"241";"189";"167";"164";"148";"88";"81";"70";"90";"63";"72";"70";"66";"53";"43";"34";"30";"26";"31";"22";"10";"19";"11";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
" F10.4 Psychische und Verhaltensstörungen durch Alkohol: Entzugssyndrom mit Delir";"927";"921";"1.008";"1.114";"1.238";"1.282";"1.534";"1.459";"1.738";"1.682";"1.914";"1.743";"1.995";"2.052";"1.677";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"2";"1";"2";"12";"10";"4";"10";"11";"13";"23";"9";"11";"13";"4";"10";"11";"30";"20";"71";"64";"66";"78";"99";"105";"104";"107";"128";"119";"142";"129";"174";"196";"151";"158";"133";"182";"237";"275";"274";"358";"333";"450";"456";"522";"501";"563";"669";"517";"288";"327";"319";"365";"442";"453";"532";"527";"610";"557";"634";"579";"659";"579";"516";"227";"237";"261";"244";"258";"254";"317";"292";"331";"328";"370";"331";"385";"380";"334";"112";"115";"115";"117";"111";"138";"169";"147";"167";"155";"198";"151";"162";"146";"112";"59";"34";"61";"63";"42";"45";"31";"44";"41";"53";"44";"42";"39";"51";"25";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";
