

Kopieren Sie folgende Adresse und fügen Sie sie in Ihren Browser ein, um diese gestaltbare Tabelle erneut aufzurufen. (Der Link ist 7 Tage gültig.)
http://www.gbe-bund.de/gbe10/i?i=702:21132444D
 
Diagnosedaten der Krankenhäuser ab 2000 (Fälle, Berechnungs- und Belegungstage, durchschnittliche Verweildauer). Gliederungsmerkmale: Jahre, Behandlungsort, Alter, Geschlecht, Verweildauer                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
****************************************************************************************************
                                                                                                    
Diese Tabelle bezieht sich auf:
Behandlungsort:;Deutschland
Geschlecht:;Beide Geschlechter
Verweildauer:;alle Fälle
Sachverhalt:;Fälle
""
;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;" Alle Altersgruppen";;;;;;;;;;;;;;;" Unter 1 Jahr";;;;;;;;;;;;;;;" 1 Jahr bis unter 5 Jahre";;;;;;;;;;;;;;;" 5 bis unter 15 Jahre";;;;;;;;;;;;;;;" 15 bis unter 25 Jahre";;;;;;;;;;;;;;;" 25 bis unter 35 Jahre";;;;;;;;;;;;;;;" 35 bis unter 45 Jahre";;;;;;;;;;;;;;;" 45 bis unter 55 Jahre";;;;;;;;;;;;;;;" 55 bis unter 65 Jahre";;;;;;;;;;;;;;;" 65 bis unter 75 Jahre";;;;;;;;;;;;;;;" 75 Jahre und älter";;;;;;;;;;;;;;;" Unbekannt";;;;;;;;;;;;;;;
;" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";
" F10-F19 Psychische und Verhaltensstörungen durch psychotrope Substanzen";"447.005";"439.818";"441.538";"434.709";"429.551";"433.182";"426.741";"406.243";"387.095";"388.193";"375.431";"370.598";"368.845";"374.126";"363.596";"23";"6";"46";"15";"24";"25";"18";"21";"29";"44";"36";"59";"71";"82";"157";"27";"33";"42";"26";"23";"43";"42";"28";"37";"78";"41";"60";"84";"115";"169";"3.760";"3.860";"4.615";"4.753";"4.542";"4.770";"4.931";"4.111";"3.675";"3.927";"3.558";"3.521";"3.503";"3.393";"3.122";"59.142";"58.762";"62.176";"62.164";"61.527";"61.092";"60.466";"57.608";"53.122";"54.219";"51.380";"48.560";"48.561";"49.033";"46.134";"79.650";"77.185";"75.571";"73.092";"71.730";"70.660";"67.678";"63.706";"60.657";"60.639";"58.865";"60.404";"62.437";"66.899";"67.692";"90.361";"89.588";"90.893";"92.452";"96.509";"103.156";"106.263";"105.366";"105.767";"109.509";"110.183";"112.777";"114.298";"116.522";"115.443";"120.545";"121.345";"121.820";"120.204";"118.064";"117.270";"114.066";"107.066";"99.939";"96.507";"92.235";"88.235";"83.598";"80.893";"74.620";"66.518";"62.992";"60.275";"55.814";"51.440";"50.126";"47.844";"44.002";"41.040";"40.854";"38.698";"37.977";"38.516";"39.671";"40.013";"19.709";"19.319";"19.753";"20.207";"20.196";"20.758";"20.238";"19.479";"18.249";"17.851";"16.116";"14.820";"13.810";"13.422";"12.387";"7.270";"6.728";"6.347";"5.982";"5.496";"5.282";"5.195";"4.856";"4.577";"4.564";"4.316";"4.182";"3.958";"4.081";"3.857";"";"";"";"";"";"";"";"";"3";"1";"3";"3";"9";"15";"2";
" F10 Psychische und Verhaltensstörungen durch Alkohol";"340.500";"338.204";"345.034";"338.471";"333.357";"339.092";"333.804";"316.119";"298.954";"299.428";"290.864";"286.115";"284.282";"285.753";"278.650";"14";"3";"28";"2";"4";"7";"7";"2";"4";"6";"3";"9";"7";"20";"27";"6";"6";"23";"3";"9";"9";"9";"4";"10";"14";"12";"16";"25";"29";"35";"3.016";"3.308";"4.115";"4.320";"4.215";"4.469";"4.649";"3.916";"3.397";"3.556";"3.147";"3.053";"3.025";"2.849";"2.581";"36.243";"37.018";"41.290";"40.765";"40.060";"40.179";"38.370";"34.633";"29.357";"28.305";"25.012";"22.162";"20.649";"19.181";"16.910";"42.101";"40.910";"40.997";"38.465";"36.625";"36.074";"34.178";"31.322";"29.414";"30.068";"30.395";"31.601";"33.382";"36.288";"38.071";"65.584";"66.174";"68.863";"70.641";"73.840";"80.489";"84.074";"84.494";"85.544";"89.855";"91.997";"94.526";"96.986";"99.334";"99.526";"107.561";"108.996";"110.203";"108.909";"107.516";"107.418";"104.791";"98.756";"92.513";"89.429";"85.995";"82.382";"78.396";"75.698";"70.094";"62.279";"59.012";"56.712";"52.447";"48.422";"47.461";"45.274";"41.635";"38.782";"38.621";"36.511";"35.935";"36.470";"37.521";"37.834";"18.032";"17.551";"17.990";"18.421";"18.505";"19.087";"18.646";"17.855";"16.694";"16.335";"14.749";"13.430";"12.561";"12.071";"11.111";"5.664";"5.226";"4.813";"4.498";"4.161";"3.899";"3.806";"3.502";"3.238";"3.238";"3.040";"2.998";"2.775";"2.747";"2.459";"";"";"";"";"";"";"";"";"1";"1";"3";"3";"6";"15";"2";
" F10.0 Psychische und Verhaltensstörungen durch Alkohol: Akute Intoxikation";"118.562";"116.503";"121.595";"116.517";"115.436";"114.520";"109.283";"98.562";"87.535";"88.938";"81.212";"70.562";"63.124";"61.295";"54.041";"14";"3";"24";"2";"4";"6";"5";"1";"2";"3";"1";"4";"3";"12";"15";"6";"5";"21";"";"9";"9";"9";"4";"10";"13";"10";"13";"23";"27";"29";"2.949";"3.225";"4.010";"4.179";"4.096";"4.339";"4.519";"3.784";"3.304";"3.481";"3.051";"2.875";"2.744";"2.542";"2.212";"30.868";"31.559";"35.386";"34.340";"33.622";"33.356";"31.551";"28.404";"23.909";"23.374";"20.035";"16.852";"15.067";"13.614";"11.144";"16.366";"15.612";"15.680";"14.433";"13.943";"13.481";"12.525";"11.131";"9.828";"9.979";"9.501";"8.739";"8.293";"8.568";"8.138";"17.813";"17.377";"17.914";"17.861";"18.561";"19.529";"19.653";"18.685";"17.911";"19.505";"18.942";"17.147";"15.836";"15.831";"14.564";"26.046";"25.894";"25.965";"24.831";"25.084";"24.314";"22.896";"20.370";"18.108";"17.922";"16.578";"14.039";"11.715";"11.304";"9.566";"15.918";"14.661";"14.551";"12.875";"12.158";"11.487";"10.722";"9.394";"8.454";"8.531";"7.828";"6.751";"6.103";"6.141";"5.699";"5.954";"5.657";"5.849";"5.981";"6.014";"6.194";"5.765";"5.327";"4.684";"4.732";"4.068";"3.197";"2.594";"2.510";"2.054";"2.628";"2.510";"2.195";"2.015";"1.945";"1.805";"1.638";"1.462";"1.325";"1.398";"1.196";"943";"744";"744";"620";"";"";"";"";"";"";"";"";"";"";"2";"2";"2";"2";"";
" F10.1 Psychische und Verhaltensstörungen durch Alkohol: Schädlicher Gebrauch";"5.127";"5.134";"5.508";"5.634";"5.532";"5.812";"5.558";"5.736";"5.016";"4.821";"5.490";"7.896";"10.115";"11.203";"12.377";"";"";"1";"";"";"";"";"";"";"";"";"2";"1";"";"1";"";"";"2";"2";"";"";"";"";"";"";"1";"2";"1";"1";"4";"49";"59";"75";"113";"81";"91";"87";"95";"58";"50";"66";"131";"162";"189";"218";"981";"1.002";"1.270";"1.324";"1.262";"1.246";"1.189";"1.160";"968";"799";"987";"1.117";"1.369";"1.477";"1.497";"980";"857";"891";"873";"858";"840";"764";"798";"689";"647";"764";"1.067";"1.334";"1.554";"1.750";"928";"912";"946";"947";"975";"1.201";"1.135";"1.288";"1.169";"1.244";"1.380";"2.150";"2.889";"3.204";"3.535";"1.097";"1.213";"1.149";"1.225";"1.236";"1.276";"1.233";"1.292";"1.136";"1.087";"1.209";"1.783";"2.289";"2.524";"2.760";"634";"666";"692";"674";"619";"681";"613";"596";"541";"568";"604";"1.003";"1.313";"1.415";"1.728";"292";"272";"336";"351";"365";"346";"405";"384";"345";"327";"361";"452";"580";"619";"656";"166";"153";"146";"125";"136";"131";"132";"123";"109";"99";"118";"189";"176";"220";"227";"";"";"";"";"";"";"";"";"1";"";"";"";"1";"";"1";
" F10.2 Psychische und Verhaltensstörungen durch Alkohol: Abhängigkeitssyndrom";"143.242";"143.275";"142.981";"139.616";"137.151";"143.113";"144.193";"140.614";"135.931";"133.656";"131.943";"134.574";"134.491";"134.114";"138.120";"";"";"3";"";"";"1";"1";"1";"1";"";"2";"3";"2";"4";"7";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"7";"9";"15";"14";"21";"13";"25";"18";"19";"16";"16";"31";"31";"43";"40";"3.220";"3.208";"3.375";"3.694";"3.825";"4.074";"4.125";"3.699";"3.320";"2.972";"2.858";"3.002";"2.857";"2.690";"2.749";"17.276";"17.246";"17.074";"16.020";"15.226";"15.390";"14.821";"13.783";"13.330";"13.816";"13.981";"15.153";"16.178";"17.649";"19.126";"32.019";"32.749";"34.221";"34.817";"36.399";"40.534";"43.130";"44.254";"45.321";"46.321";"47.963";"50.316";"51.432";"52.196";"54.680";"53.659";"54.652";"54.843";"53.907";"52.685";"53.560";"53.632";"51.425";"48.501";"45.902";"44.192";"43.300";"41.227";"38.940";"37.930";"29.145";"27.807";"26.068";"23.754";"21.892";"22.122";"21.176";"20.138";"18.487";"17.997";"17.046";"16.990";"17.302";"17.351";"18.433";"6.609";"6.436";"6.317";"6.386";"6.254";"6.589";"6.458";"6.510";"6.153";"5.878";"5.144";"5.025";"4.809";"4.479";"4.430";"1.307";"1.168";"1.065";"1.024";"849";"830";"825";"786";"799";"754";"739";"753";"650";"759";"724";"";"";"";"";"";"";"";"";"";"";"1";"1";"3";"3";"1";
" F10.3 Psychische und Verhaltensstörungen durch Alkohol: Entzugssyndrom";"58.376";"57.679";"58.472";"59.599";"57.352";"55.598";"53.917";"49.673";"48.115";"47.367";"46.660";"45.637";"45.344";"42.422";"37.221";"";"";"";"";"";"";"";"";"1";"2";"";"";"1";"3";"3";"";"1";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"6";"1";"1";"";"2";"1";"";"2";"";"3";"2";"3";"5";"5";"892";"967";"985";"1.087";"1.033";"1.072";"1.104";"977";"845";"818";"769";"742";"685";"606";"537";"6.537";"6.252";"6.408";"6.148";"5.570";"5.209";"4.983";"4.476";"4.423";"4.355";"4.664";"4.806";"5.134";"5.478";"5.376";"12.734";"12.868";"13.470";"14.369";"14.866";"15.482";"15.852";"15.598";"15.912";"16.655";"17.071";"17.521";"18.088";"16.805";"15.359";"22.019";"22.340";"22.863";"23.180";"22.366";"21.556";"20.162";"18.558";"17.413";"16.522";"15.843";"14.921";"13.975";"12.562";"10.069";"12.417";"11.635";"11.094";"10.976";"9.784";"8.762";"8.378";"7.058";"6.715";"6.385";"5.920";"5.596";"5.633";"5.352";"4.637";"3.069";"3.009";"3.057";"3.274";"3.259";"3.126";"2.958";"2.651";"2.483";"2.352";"2.108";"1.780";"1.621";"1.387";"1.078";"708";"601";"594";"564";"474";"389";"479";"355";"321";"278";"282";"268";"204";"215";"157";"";"";"";"";"";"";"";"";"";"";"";"";"";"9";"";
" F10.4 Psychische und Verhaltensstörungen durch Alkohol: Entzugssyndrom mit Delir";"8.122";"8.532";"8.811";"9.673";"10.193";"11.595";"12.317";"12.852";"13.665";"14.556";"16.285";"16.927";"18.551";"21.226";"18.962";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"2";"3";"1";"1";"2";"";"2";"2";"";"";"3";"9";"11";"15";"63";"63";"60";"68";"68";"96";"112";"92";"109";"129";"106";"172";"195";"259";"243";"551";"555";"575";"645";"687";"759";"753";"799";"811";"873";"1.101";"1.352";"1.562";"1.919";"1.929";"1.445";"1.566";"1.539";"1.840";"2.162";"2.673";"3.042";"3.325";"3.820";"4.283";"4.948";"5.330";"6.049";"7.370";"6.651";"2.841";"2.958";"3.176";"3.651";"3.780";"4.257";"4.469";"4.679";"4.885";"5.048";"5.554";"5.511";"5.979";"6.415";"5.425";"2.009";"2.139";"2.114";"2.114";"2.102";"2.313";"2.304";"2.387";"2.483";"2.640";"2.911";"2.951";"3.220";"3.691";"3.388";"858";"923";"1.005";"1.022";"1.104";"1.195";"1.339";"1.287";"1.287";"1.303";"1.399";"1.294";"1.256";"1.280";"1.089";"355";"326";"339";"332";"289";"300";"298";"281";"268";"277";"266";"314";"281";"280";"222";"";"";"";"";"";"";"";"";"";"1";"";"";"";"1";"";
