

Kopieren Sie folgende Adresse und fügen Sie sie in Ihren Browser ein, um diese gestaltbare Tabelle erneut aufzurufen. (Der Link ist 7 Tage gültig.)
http://www.gbe-bund.de/gbe10/i?i=702:21132444D
 
Diagnosedaten der Krankenhäuser ab 2000 (Fälle, Berechnungs- und Belegungstage, durchschnittliche Verweildauer). Gliederungsmerkmale: Jahre, Behandlungsort, Alter, Geschlecht, Verweildauer                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
****************************************************************************************************
                                                                                                    
Diese Tabelle bezieht sich auf:
Behandlungsort:;Bremen
Geschlecht:;Beide Geschlechter
Verweildauer:;alle Fälle
Sachverhalt:;Fälle
""
;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;" Alle Altersgruppen";;;;;;;;;;;;;;;" Unter 1 Jahr";;;;;;;;;;;;;;;" 1 Jahr bis unter 5 Jahre";;;;;;;;;;;;;;;" 5 bis unter 15 Jahre";;;;;;;;;;;;;;;" 15 bis unter 25 Jahre";;;;;;;;;;;;;;;" 25 bis unter 35 Jahre";;;;;;;;;;;;;;;" 35 bis unter 45 Jahre";;;;;;;;;;;;;;;" 45 bis unter 55 Jahre";;;;;;;;;;;;;;;" 55 bis unter 65 Jahre";;;;;;;;;;;;;;;" 65 bis unter 75 Jahre";;;;;;;;;;;;;;;" 75 Jahre und älter";;;;;;;;;;;;;;;" Unbekannt";;;;;;;;;;;;;;;
;" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";
" F10-F19 Psychische und Verhaltensstörungen durch psychotrope Substanzen";"5.584";"5.323";"5.324";"5.419";"4.676";"5.213";"5.147";"4.944";"4.270";"4.343";"4.328";"4.273";"3.955";"4.093";"3.971";"";"";"1";"2";"";"";"";"1";"1";"";"";"2";"1";"";"1";"";"";"";"1";"1";"2";"";"1";"";"1";"1";"";"1";"3";"";"28";"33";"43";"36";"38";"63";"51";"42";"39";"38";"37";"23";"16";"31";"25";"582";"547";"527";"580";"563";"632";"509";"415";"399";"368";"377";"332";"284";"334";"286";"866";"794";"882";"942";"825";"776";"837";"739";"542";"674";"635";"702";"756";"761";"788";"1.257";"1.305";"1.274";"1.294";"1.250";"1.350";"1.430";"1.465";"1.392";"1.395";"1.425";"1.389";"1.286";"1.269";"1.274";"1.746";"1.573";"1.516";"1.512";"1.162";"1.351";"1.387";"1.376";"1.138";"1.085";"1.113";"1.093";"942";"1.008";"896";"799";"756";"731";"708";"522";"683";"624";"566";"501";"524";"465";"488";"448";"449";"499";"230";"237";"259";"265";"246";"284";"261";"289";"219";"216";"215";"193";"171";"174";"157";"76";"78";"91";"79";"69";"72";"48";"50";"39";"42";"60";"51";"50";"64";"45";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
" F10 Psychische und Verhaltensstörungen durch Alkohol";"4.248";"4.094";"4.281";"4.141";"3.392";"3.972";"3.785";"3.701";"3.312";"3.329";"3.300";"3.163";"3.086";"3.050";"2.953";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"1";"";"";"1";"";"";"";"";"23";"31";"36";"34";"37";"54";"50";"41";"38";"33";"31";"20";"13";"22";"22";"395";"360";"375";"400";"413";"455";"312";"254";"255";"207";"203";"123";"128";"142";"98";"439";"402";"525";"493";"369";"371";"362";"324";"299";"330";"285";"286";"406";"371";"381";"878";"919";"990";"930";"814";"933";"1.000";"1.044";"1.015";"1.041";"1.072";"1.038";"1.023";"981";"986";"1.524";"1.376";"1.344";"1.302";"984";"1.191";"1.198";"1.197";"1.015";"976";"1.011";"999";"877";"907";"809";"713";"714";"693";"670";"487";"646";"583";"533";"462";"507";"448";"474";"433";"422";"470";"214";"224";"234";"248";"231";"259";"241";"266";"198";"201";"205";"185";"165";"160";"148";"62";"68";"83";"63";"57";"63";"39";"41";"30";"34";"44";"38";"41";"45";"39";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
" F10.0 Psychische und Verhaltensstörungen durch Alkohol: Akute Intoxikation";"900";"791";"980";"1.012";"1.036";"948";"768";"759";"693";"674";"578";"537";"596";"627";"487";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"1";"";"";"";"";"23";"31";"35";"34";"35";"52";"45";"41";"37";"33";"31";"19";"12";"19";"20";"326";"280";"284";"330";"341";"365";"245";"194";"186";"157";"137";"92";"102";"103";"66";"103";"108";"127";"136";"126";"90";"95";"88";"79";"88";"66";"67";"93";"93";"68";"126";"100";"146";"152";"178";"130";"139";"145";"146";"163";"145";"124";"170";"161";"154";"177";"135";"183";"169";"184";"143";"127";"142";"130";"119";"109";"126";"133";"160";"103";"87";"69";"121";"119";"99";"81";"64";"76";"62";"78";"41";"61";"56";"53";"51";"43";"53";"54";"51";"60";"67";"41";"63";"37";"25";"34";"39";"28";"31";"21";"15";"15";"29";"21";"13";"20";"12";"9";"16";"11";"14";"9";"2";"7";"4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
" F10.1 Psychische und Verhaltensstörungen durch Alkohol: Schädlicher Gebrauch";"79";"70";"111";"92";"107";"123";"64";"61";"49";"50";"69";"60";"79";"68";"52";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"1";"3";"";"";"";"";"1";"1";"3";"1";"19";"11";"29";"11";"13";"25";"8";"9";"17";"10";"16";"8";"5";"4";"7";"18";"15";"19";"8";"14";"13";"8";"9";"5";"6";"9";"10";"6";"14";"7";"15";"10";"24";"21";"27";"32";"15";"12";"11";"17";"13";"14";"22";"17";"13";"13";"20";"17";"29";"27";"30";"16";"12";"7";"10";"14";"12";"21";"13";"13";"5";"6";"17";"16";"15";"17";"7";"11";"3";"3";"6";"10";"11";"9";"7";"5";"5";"3";"5";"7";"3";"6";"6";"6";"2";"8";"2";"10";"6";"3";"4";"3";"1";"1";"4";"2";"1";"2";"";"2";"3";"3";"3";"2";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
" F10.2 Psychische und Verhaltensstörungen durch Alkohol: Abhängigkeitssyndrom";"863";"1.028";"1.474";"1.720";"1.772";"2.478";"2.449";"1.991";"1.516";"1.720";"2.167";"1.790";"1.284";"1.207";"1.364";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"11";"27";"31";"42";"43";"61";"50";"39";"31";"29";"42";"17";"13";"26";"9";"88";"109";"199";"205";"190";"236";"228";"169";"137";"164";"169";"137";"180";"156";"204";"187";"229";"394";"455";"487";"688";"697";"614";"532";"590";"775";"660";"455";"425";"481";"372";"378";"494";"606";"627";"872";"887";"724";"516";"561";"743";"626";"381";"364";"392";"155";"199";"244";"291";"281";"451";"419";"300";"210";"263";"294";"258";"177";"157";"195";"39";"61";"85";"100";"122";"136";"147";"129";"84";"101";"122";"78";"58";"62";"69";"11";"25";"27";"21";"22";"33";"21";"16";"6";"12";"22";"14";"20";"17";"14";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
" F10.3 Psychische und Verhaltensstörungen durch Alkohol: Entzugssyndrom";"2.178";"2.000";"1.513";"1.169";"354";"275";"345";"708";"881";"659";"286";"526";"792";"799";"666";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"35";"41";"31";"17";"12";"2";"4";"9";"16";"8";"4";"5";"4";"5";"7";"223";"162";"162";"133";"32";"23";"27";"49";"64";"62";"27";"54";"110";"87";"72";"509";"544";"390";"281";"105";"63";"109";"228";"284";"216";"81";"191";"285";"285";"243";"889";"767";"581";"456";"115";"101";"130";"273";"318";"227";"90";"167";"241";"273";"197";"405";"387";"265";"202";"58";"58";"52";"102";"149";"104";"56";"81";"118";"113";"112";"90";"78";"67";"68";"25";"26";"21";"38";"47";"37";"24";"24";"33";"32";"25";"27";"21";"17";"12";"7";"2";"2";"9";"3";"5";"4";"4";"1";"4";"10";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
" F10.4 Psychische und Verhaltensstörungen durch Alkohol: Entzugssyndrom mit Delir";"131";"129";"119";"80";"65";"86";"89";"109";"114";"141";"137";"156";"206";"240";"226";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"3";"";"";"";"2";"";"1";"";"1";"";"2";"1";"2";"2";"2";"6";"6";"11";"6";"4";"6";"3";"7";"11";"7";"11";"10";"14";"17";"24";"27";"26";"20";"15";"11";"15";"32";"35";"31";"48";"45";"34";"70";"83";"65";"49";"57";"46";"25";"18";"26";"23";"27";"30";"36";"40";"49";"71";"69";"70";"30";"28";"27";"21";"14";"24";"19";"25";"24";"30";"27";"41";"28";"48";"48";"15";"11";"12";"8";"10";"15";"11";"14";"15";"18";"11";"18";"14";"14";"14";"1";"1";"3";"5";"6";"";"";"1";"1";"2";"1";"3";"7";"7";"3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
