

Kopieren Sie folgende Adresse und fügen Sie sie in Ihren Browser ein, um diese gestaltbare Tabelle erneut aufzurufen. (Der Link ist 7 Tage gültig.)
http://www.gbe-bund.de/gbe10/i?i=702:21132444D
 
Diagnosedaten der Krankenhäuser ab 2000 (Fälle, Berechnungs- und Belegungstage, durchschnittliche Verweildauer). Gliederungsmerkmale: Jahre, Behandlungsort, Alter, Geschlecht, Verweildauer                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
****************************************************************************************************
                                                                                                    
Diese Tabelle bezieht sich auf:
Behandlungsort:;Hamburg
Geschlecht:;Beide Geschlechter
Verweildauer:;alle Fälle
Sachverhalt:;Fälle
""
;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;" Alle Altersgruppen";;;;;;;;;;;;;;;" Unter 1 Jahr";;;;;;;;;;;;;;;" 1 Jahr bis unter 5 Jahre";;;;;;;;;;;;;;;" 5 bis unter 15 Jahre";;;;;;;;;;;;;;;" 15 bis unter 25 Jahre";;;;;;;;;;;;;;;" 25 bis unter 35 Jahre";;;;;;;;;;;;;;;" 35 bis unter 45 Jahre";;;;;;;;;;;;;;;" 45 bis unter 55 Jahre";;;;;;;;;;;;;;;" 55 bis unter 65 Jahre";;;;;;;;;;;;;;;" 65 bis unter 75 Jahre";;;;;;;;;;;;;;;" 75 Jahre und älter";;;;;;;;;;;;;;;" Unbekannt";;;;;;;;;;;;;;;
;" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";
" F10-F19 Psychische und Verhaltensstörungen durch psychotrope Substanzen";"9.763";"9.871";"9.393";"9.368";"8.734";"8.386";"8.117";"7.880";"7.167";"7.457";"7.345";"6.043";"6.124";"6.326";"5.910";"1";"1";"1";"1";"2";"";"";"1";"1";"1";"";"2";"2";"2";"4";"1";"";"";"2";"1";"2";"";"2";"2";"2";"";"";"4";"";"5";"65";"62";"76";"76";"79";"86";"88";"63";"45";"44";"33";"34";"53";"39";"45";"770";"726";"634";"713";"710";"602";"604";"629";"511";"536";"528";"359";"415";"543";"500";"1.701";"1.788";"1.668";"1.622";"1.523";"1.369";"1.332";"1.246";"1.161";"1.266";"1.179";"933";"1.059";"1.206";"1.209";"2.468";"2.513";"2.363";"2.457";"2.357";"2.297";"2.383";"2.404";"2.240";"2.400";"2.470";"2.031";"2.092";"2.095";"1.889";"2.911";"2.858";"2.795";"2.721";"2.418";"2.389";"2.180";"2.063";"1.877";"1.807";"1.771";"1.488";"1.413";"1.334";"1.240";"1.239";"1.275";"1.231";"1.159";"1.080";"1.043";"983";"924";"866";"906";"901";"789";"727";"788";"725";"455";"476";"483";"484";"458";"465";"441";"448";"362";"411";"372";"311";"277";"219";"206";"152";"172";"142";"133";"106";"133";"106";"100";"102";"84";"91";"96";"82";"100";"87";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
" F10 Psychische und Verhaltensstörungen durch Alkohol";"6.670";"7.068";"6.768";"6.749";"6.174";"6.154";"5.936";"5.752";"5.260";"5.379";"5.410";"4.624";"4.535";"4.541";"4.241";"1";"";"";"";"";"";"";"";"";"";"";"1";"";"1";"";"";"";"";"";"";"";"";"";"1";"2";"";"";"";"";"";"59";"51";"64";"67";"72";"78";"81";"61";"40";"41";"27";"30";"39";"29";"31";"352";"382";"310";"354";"325";"320";"304";"305";"209";"172";"181";"130";"125";"137";"122";"774";"864";"803";"766";"690";"614";"577";"525";"498";"574";"545";"466";"545";"535";"563";"1.499";"1.708";"1.626";"1.668";"1.559";"1.619";"1.685";"1.785";"1.673";"1.752";"1.863";"1.592";"1.608";"1.627";"1.483";"2.359";"2.402";"2.344";"2.322";"2.091";"2.047";"1.893";"1.779";"1.637";"1.580";"1.592";"1.352";"1.276";"1.212";"1.131";"1.108";"1.129";"1.090";"1.044";"969";"969";"926";"844";"801";"840";"820";"714";"658";"745";"677";"398";"420";"426";"436";"405";"413";"394";"391";"326";"366";"324";"271";"236";"195";"179";"120";"112";"105";"92";"63";"94";"76";"62";"75";"52";"58";"68";"48";"60";"55";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
" F10.0 Psychische und Verhaltensstörungen durch Alkohol: Akute Intoxikation";"1.042";"1.071";"1.030";"1.043";"871";"838";"799";"774";"460";"529";"474";"359";"366";"351";"292";"1";"";"";"";"";"";"";"";"";"";"";"1";"";"1";"";"";"";"";"";"";"";"";"";"1";"2";"";"";"";"";"";"58";"49";"64";"65";"70";"78";"79";"54";"38";"39";"25";"29";"37";"26";"30";"252";"267";"218";"231";"220";"223";"175";"185";"101";"98";"101";"63";"63";"66";"48";"129";"135";"142";"122";"92";"90";"88";"80";"61";"60";"49";"43";"47";"37";"33";"189";"211";"190";"180";"155";"135";"155";"164";"81";"123";"119";"75";"85";"89";"78";"230";"205";"224";"251";"174";"156";"176";"142";"79";"101";"101";"69";"71";"74";"65";"116";"113";"109";"113";"102";"85";"62";"76";"57";"52";"46";"42";"38";"34";"25";"42";"65";"50";"61";"45";"48";"48";"60";"30";"42";"19";"24";"19";"16";"7";"25";"26";"33";"20";"13";"23";"16";"13";"12";"12";"14";"13";"6";"8";"6";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
" F10.1 Psychische und Verhaltensstörungen durch Alkohol: Schädlicher Gebrauch";"82";"74";"73";"90";"79";"66";"86";"85";"47";"64";"118";"91";"110";"129";"195";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"1";"";"1";"2";"";"2";"7";"1";"1";"1";"1";"1";"3";"1";"14";"12";"13";"16";"17";"10";"10";"22";"5";"6";"9";"5";"7";"13";"9";"8";"11";"12";"13";"19";"6";"10";"8";"8";"10";"10";"8";"15";"10";"29";"17";"16";"14";"20";"11";"13";"20";"19";"10";"15";"33";"21";"37";"40";"62";"15";"17";"19";"19";"14";"18";"25";"16";"13";"17";"28";"24";"25";"29";"50";"11";"11";"6";"17";"7";"11";"10";"10";"3";"8";"16";"21";"14";"23";"32";"10";"4";"6";"3";"7";"6";"6";"2";"3";"5";"19";"6";"7";"8";"7";"6";"2";"3";"1";"2";"2";"3";"1";"4";"2";"2";"5";"4";"3";"5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
" F10.2 Psychische und Verhaltensstörungen durch Alkohol: Abhängigkeitssyndrom";"4.582";"4.802";"4.349";"4.292";"3.954";"3.841";"3.573";"3.660";"3.819";"3.853";"3.570";"3.064";"3.135";"2.927";"2.881";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"1";"1";"1";"";"";"";"";"77";"93";"70";"92";"77";"74";"96";"89";"93";"59";"55";"45";"46";"50";"53";"564";"639";"538";"537";"484";"419";"362";"362";"374";"420";"400";"337";"423";"388";"407";"1.114";"1.214";"1.116";"1.171";"1.099";"1.147";"1.109";"1.235";"1.334";"1.353";"1.361";"1.147";"1.198";"1.125";"1.078";"1.786";"1.815";"1.611";"1.568";"1.449";"1.373";"1.220";"1.194";"1.245";"1.184";"1.064";"916";"893";"790";"785";"772";"776";"725";"649";"604";"584";"555";"531";"555";"601";"517";"440";"434";"453";"419";"225";"220";"245";"232";"213";"218";"201";"223";"188";"215";"149";"154";"126";"94";"115";"44";"44";"44";"43";"28";"26";"30";"26";"29";"20";"23";"25";"15";"27";"24";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
" F10.3 Psychische und Verhaltensstörungen durch Alkohol: Entzugssyndrom";"642";"806";"982";"968";"954";"998";"964";"792";"423";"506";"741";"609";"375";"362";"269";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"7";"8";"11";"10";"8";"15";"7";"5";"5";"12";"13";"3";"3";"2";"54";"61";"98";"75";"76";"82";"87";"56";"29";"55";"61";"53";"25";"46";"33";"135";"211";"255";"234";"246";"248";"289";"272";"142";"153";"230";"206";"149";"120";"88";"234";"292";"372";"364";"348";"369";"311";"279";"139";"166";"246";"205";"111";"98";"69";"140";"148";"169";"184";"180";"191";"179";"117";"66";"77";"121";"91";"54";"74";"62";"61";"74";"68";"93";"87";"82";"68";"52";"34";"43";"64";"31";"30";"19";"11";"14";"13";"12";"7";"7";"18";"15";"9";"8";"7";"7";"10";"3";"2";"4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
" F10.4 Psychische und Verhaltensstörungen durch Alkohol: Entzugssyndrom mit Delir";"207";"200";"212";"220";"201";"234";"358";"315";"352";"277";"359";"343";"388";"605";"387";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"2";"";"";"";"2";"4";"1";"1";"2";"1";"";"3";"3";"4";"16";"16";"10";"15";"16";"11";"25";"15";"16";"19";"16";"18";"30";"44";"47";"35";"47";"46";"47";"40";"53";"87";"83";"94";"88";"87";"116";"111";"216";"130";"69";"49";"81";"89";"69";"84";"126";"107";"121";"82";"122";"103";"136";"189";"104";"41";"45";"47";"38";"44";"51";"72";"71";"79";"57";"83";"78";"73";"111";"79";"31";"32";"22";"19";"24";"25";"38";"31";"31";"27";"42";"24";"29";"34";"18";"13";"9";"6";"12";"8";"8";"6";"7";"10";"2";"8";"4";"6";"8";"5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
