

Kopieren Sie folgende Adresse und fügen Sie sie in Ihren Browser ein, um diese gestaltbare Tabelle erneut aufzurufen. (Der Link ist 7 Tage gültig.)
http://www.gbe-bund.de/gbe10/i?i=702:21132444D
 
Diagnosedaten der Krankenhäuser ab 2000 (Fälle, Berechnungs- und Belegungstage, durchschnittliche Verweildauer). Gliederungsmerkmale: Jahre, Behandlungsort, Alter, Geschlecht, Verweildauer                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
****************************************************************************************************
                                                                                                    
Diese Tabelle bezieht sich auf:
Behandlungsort:;Niedersachsen
Geschlecht:;Beide Geschlechter
Verweildauer:;alle Fälle
Sachverhalt:;Fälle
""
;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;" Alle Altersgruppen";;;;;;;;;;;;;;;" Unter 1 Jahr";;;;;;;;;;;;;;;" 1 Jahr bis unter 5 Jahre";;;;;;;;;;;;;;;" 5 bis unter 15 Jahre";;;;;;;;;;;;;;;" 15 bis unter 25 Jahre";;;;;;;;;;;;;;;" 25 bis unter 35 Jahre";;;;;;;;;;;;;;;" 35 bis unter 45 Jahre";;;;;;;;;;;;;;;" 45 bis unter 55 Jahre";;;;;;;;;;;;;;;" 55 bis unter 65 Jahre";;;;;;;;;;;;;;;" 65 bis unter 75 Jahre";;;;;;;;;;;;;;;" 75 Jahre und älter";;;;;;;;;;;;;;;" Unbekannt";;;;;;;;;;;;;;;
;" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";
" F10-F19 Psychische und Verhaltensstörungen durch psychotrope Substanzen";"44.040";"43.707";"43.733";"42.635";"42.497";"43.562";"42.547";"39.309";"37.236";"37.498";"36.428";"36.882";"37.297";"38.237";"37.672";"1";"";"2";"";"";"2";"2";"";"4";"4";"5";"5";"10";"10";"8";"3";"8";"2";"3";"3";"4";"2";"2";"1";"6";"1";"4";"8";"8";"17";"247";"303";"398";"352";"376";"439";"464";"369";"318";"354";"321";"337";"337";"278";"252";"5.441";"5.377";"6.052";"5.679";"5.694";"5.728";"5.401";"4.814";"4.549";"4.753";"4.446";"4.455";"4.666";"4.675";"4.677";"7.147";"6.964";"6.866";"6.682";"6.780";"6.763";"6.505";"5.865";"5.438";"5.686";"5.474";"5.822";"6.196";"7.020";"7.260";"8.998";"9.075";"9.213";"9.237";"9.970";"10.557";"10.785";"10.453";"10.465";"10.928";"10.861";"11.457";"11.555";"11.681";"11.716";"12.691";"13.032";"12.396";"12.147";"11.823";"12.246";"11.645";"10.740";"10.008";"9.390";"9.090";"8.778";"8.633";"8.254";"7.696";"6.777";"6.280";"6.114";"5.844";"5.272";"5.085";"4.977";"4.519";"4.099";"4.115";"4.064";"3.995";"4.041";"4.349";"4.347";"2.016";"2.022";"2.100";"2.156";"2.033";"2.195";"2.208";"2.046";"1.905";"1.844";"1.717";"1.617";"1.450";"1.548";"1.327";"719";"646";"590";"535";"546";"543";"558";"501";"449";"418";"448";"412";"401";"414";"372";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";
" F10 Psychische und Verhaltensstörungen durch Alkohol";"35.271";"34.947";"35.144";"34.361";"33.966";"34.848";"33.844";"31.183";"29.458";"29.489";"28.756";"28.732";"28.205";"28.504";"27.842";"";"";"1";"";"";"2";"";"";"";"1";"";"";"";"1";"2";"";"1";"";"";"2";"2";"";"";"";"1";"";"1";"2";"2";"2";"215";"272";"376";"336";"363";"420";"442";"359";"298";"337";"307";"314";"305";"237";"223";"3.692";"3.746";"4.405";"4.145";"4.093";"4.098";"3.661";"3.223";"2.769";"2.642";"2.353";"2.087";"1.899";"1.624";"1.480";"4.182";"4.020";"3.874";"3.664";"3.689";"3.586";"3.334";"2.919";"2.722";"2.942";"2.902";"3.036";"3.080";"3.550";"3.672";"6.943";"6.854";"7.104";"7.178";"7.706";"8.252";"8.511";"8.275";"8.419";"8.939";"8.976";"9.466";"9.426";"9.577";"9.718";"11.391";"11.747";"11.230";"11.054";"10.834";"11.210";"10.693";"9.854";"9.274";"8.710";"8.457";"8.227";"8.044";"7.665";"7.187";"6.412";"5.923";"5.757";"5.561";"4.961";"4.825";"4.735";"4.279";"3.887";"3.891";"3.841";"3.809";"3.848";"4.138";"4.108";"1.870";"1.873";"1.925";"2.012";"1.902";"2.046";"2.056";"1.897";"1.761";"1.709";"1.583";"1.503";"1.343";"1.430";"1.222";"566";"511";"472";"411";"416";"407";"412";"377";"328";"317";"336";"289";"258";"280";"228";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";
" F10.0 Psychische und Verhaltensstörungen durch Alkohol: Akute Intoxikation";"12.597";"12.179";"12.318";"11.598";"12.001";"11.400";"10.514";"8.847";"8.518";"8.487";"7.731";"6.713";"5.972";"5.300";"4.551";"";"";"";"";"";"2";"";"";"";"1";"";"";"";"1";"1";"";"";"";"";"2";"2";"";"";"";"1";"";"1";"2";"2";"2";"210";"270";"368";"329";"354";"413";"432";"352";"295";"335";"302";"303";"285";"208";"196";"3.063";"3.178";"3.681";"3.378";"3.466";"3.382";"2.977";"2.611";"2.252";"2.187";"1.888";"1.597";"1.359";"1.137";"994";"1.736";"1.593";"1.506";"1.333";"1.413";"1.283";"1.158";"958";"850";"969";"866";"809";"736";"778";"711";"2.032";"1.888";"1.888";"1.867";"2.024";"1.927";"1.924";"1.641";"1.837";"1.906";"1.831";"1.659";"1.521";"1.305";"1.193";"2.920";"2.894";"2.637";"2.547";"2.641";"2.461";"2.202";"1.803";"1.852";"1.708";"1.539";"1.300";"1.134";"970";"789";"1.728";"1.552";"1.472";"1.372";"1.339";"1.146";"1.083";"862";"851";"826";"805";"619";"627";"599";"454";"675";"587";"570";"593";"565";"618";"582";"486";"452";"422";"378";"346";"239";"237";"170";"233";"217";"196";"179";"197";"166";"156";"134";"129";"132";"122";"79";"69";"63";"41";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
" F10.1 Psychische und Verhaltensstörungen durch Alkohol: Schädlicher Gebrauch";"829";"827";"801";"881";"607";"582";"552";"552";"510";"517";"590";"796";"1.005";"1.265";"1.287";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"3";"1";"5";"6";"7";"5";"9";"4";"3";"";"4";"7";"11";"20";"13";"163";"160";"191";"194";"158";"131";"134";"103";"100";"75";"95";"112";"142";"153";"125";"146";"131";"133";"146";"96";"85";"67";"84";"61";"75";"68";"102";"130";"175";"197";"187";"162";"167";"137";"107";"117";"134";"138";"120";"138";"163";"211";"257";"340";"387";"186";"221";"169";"216";"134";"143";"103";"124";"120";"121";"140";"186";"230";"295";"279";"91";"89";"86";"129";"58";"59";"57";"51";"69";"60";"62";"105";"165";"177";"203";"40";"48";"40";"45";"29";"30";"34";"34";"28";"31";"46";"59";"57";"81";"65";"13";"15";"9";"8";"18";"12";"14";"14";"9";"17";"12";"14";"13";"24";"18";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
" F10.2 Psychische und Verhaltensstörungen durch Alkohol: Abhängigkeitssyndrom";"13.276";"13.530";"13.632";"13.446";"13.606";"14.408";"13.835";"13.033";"12.718";"13.364";"12.991";"13.459";"13.192";"13.736";"14.810";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"1";"";"";"";"";"1";"4";"3";"1";"4";"310";"283";"351";"399";"365";"424";"377";"324";"304";"268";"256";"253";"251";"216";"212";"1.465";"1.502";"1.462";"1.439";"1.482";"1.497";"1.359";"1.188";"1.231";"1.383";"1.373";"1.445";"1.480";"1.736";"1.937";"2.949";"3.037";"3.261";"3.271";"3.636";"4.052";"4.092";"3.969";"4.134";"4.706";"4.636";"4.976";"4.872";"5.167";"5.679";"5.066";"5.475";"5.283";"5.185";"5.233";"5.400";"5.107";"4.775";"4.548";"4.520";"4.336";"4.281";"4.184";"4.023";"4.163";"2.727";"2.493";"2.500";"2.372";"2.142";"2.195";"2.064";"1.959";"1.743";"1.769";"1.726";"1.849";"1.795";"1.912";"2.155";"624";"633";"662";"680";"660";"728";"737";"742";"672";"653";"570";"566";"535";"597";"582";"135";"107";"112";"100";"88";"111";"99";"76";"86";"65";"92";"85";"72";"84";"77";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";
" F10.3 Psychische und Verhaltensstörungen durch Alkohol: Entzugssyndrom";"7.205";"6.980";"6.815";"6.740";"6.165";"6.748";"7.150";"6.570";"5.814";"5.098";"5.036";"5.072";"5.135";"4.483";"3.556";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"1";"";"1";"";"";"";"";"";"";"";"";"";"116";"101";"159";"145";"95";"136";"137";"127";"90";"82";"83";"87";"80";"56";"42";"758";"706";"696";"664";"592";"631";"675";"567";"488";"411";"459";"490";"544";"537";"505";"1.578";"1.554";"1.548";"1.625";"1.642";"1.829";"1.990";"2.026";"1.863";"1.718";"1.749";"1.952";"1.975";"1.669";"1.421";"2.760";"2.730";"2.620";"2.567";"2.323";"2.662";"2.719";"2.466";"2.151";"1.757";"1.723";"1.640";"1.627";"1.374";"974";"1.541";"1.421";"1.294";"1.276";"1.066";"1.035";"1.166";"972";"840";"769";"717";"662";"667";"652";"493";"349";"378";"423";"401";"395";"407";"405";"352";"346";"318";"273";"200";"208";"163";"105";"103";"89";"74";"61";"52";"47";"58";"60";"36";"43";"32";"41";"34";"32";"16";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
" F10.4 Psychische und Verhaltensstörungen durch Alkohol: Entzugssyndrom mit Delir";"766";"779";"867";"942";"939";"1.060";"1.067";"1.295";"1.247";"1.310";"1.617";"1.857";"2.075";"2.648";"2.056";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"";"";"12";"5";"3";"9";"1";"6";"8";"12";"7";"11";"10";"22";"31";"30";"37";"48";"55";"54";"57";"75";"54";"48";"89";"76";"93";"102";"153";"155";"260";"187";"137";"149";"166";"187";"201";"238";"273";"328";"351";"365";"480";"528";"669";"874";"688";"283";"241";"329";"328";"326";"395";"378";"449";"453";"397";"510";"608";"659";"753";"597";"167";"190";"187";"208";"202";"227";"189";"227";"224";"285";"342";"362";"374";"511";"397";"86";"107";"94";"126";"116";"110";"141";"151";"107";"134";"145";"162";"163";"189";"125";"33";"32";"34";"27";"18";"30";"30";"39";"29";"25";"28";"22";"22";"31";"25";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
