

Kopieren Sie folgende Adresse und fügen Sie sie in Ihren Browser ein, um diese gestaltbare Tabelle erneut aufzurufen. (Der Link ist 7 Tage gültig.)
http://www.gbe-bund.de/gbe10/i?i=702:21132444D
 
Diagnosedaten der Krankenhäuser ab 2000 (Fälle, Berechnungs- und Belegungstage, durchschnittliche Verweildauer). Gliederungsmerkmale: Jahre, Behandlungsort, Alter, Geschlecht, Verweildauer                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
****************************************************************************************************
                                                                                                    
Diese Tabelle bezieht sich auf:
Behandlungsort:;Rheinland-Pfalz
Geschlecht:;Beide Geschlechter
Verweildauer:;alle Fälle
Sachverhalt:;Fälle
""
;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;" Alle Altersgruppen";;;;;;;;;;;;;;;" Unter 1 Jahr";;;;;;;;;;;;;;;" 1 Jahr bis unter 5 Jahre";;;;;;;;;;;;;;;" 5 bis unter 15 Jahre";;;;;;;;;;;;;;;" 15 bis unter 25 Jahre";;;;;;;;;;;;;;;" 25 bis unter 35 Jahre";;;;;;;;;;;;;;;" 35 bis unter 45 Jahre";;;;;;;;;;;;;;;" 45 bis unter 55 Jahre";;;;;;;;;;;;;;;" 55 bis unter 65 Jahre";;;;;;;;;;;;;;;" 65 bis unter 75 Jahre";;;;;;;;;;;;;;;" 75 Jahre und älter";;;;;;;;;;;;;;;" Unbekannt";;;;;;;;;;;;;;;
;" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";
" F10-F19 Psychische und Verhaltensstörungen durch psychotrope Substanzen";"19.514";"18.483";"18.773";"18.394";"18.482";"18.410";"18.271";"17.607";"17.297";"16.599";"15.801";"14.902";"14.589";"14.699";"14.295";"";"1";"1";"1";"";"";"";"1";"3";"";"6";"1";"4";"6";"8";"";"";"1";"2";"";"2";"3";"2";"";"5";"2";"2";"7";"12";"7";"181";"210";"246";"237";"215";"222";"262";"207";"231";"229";"171";"198";"195";"190";"171";"3.467";"3.140";"3.367";"3.389";"3.267";"3.220";"3.295";"3.062";"2.736";"2.672";"2.438";"2.255";"2.395";"2.301";"2.108";"3.219";"3.057";"2.872";"2.873";"2.858";"2.867";"2.737";"2.669";"2.588";"2.487";"2.331";"2.174";"2.298";"2.463";"2.326";"3.722";"3.548";"3.645";"3.506";"3.813";"3.964";"4.024";"4.178";"4.366";"4.339";"4.171";"4.156";"4.235";"4.131";"4.194";"4.746";"4.622";"4.807";"4.802";"4.873";"4.904";"4.840";"4.599";"4.447";"4.171";"4.060";"3.679";"3.192";"3.148";"3.017";"3.003";"2.734";"2.637";"2.387";"2.241";"2.100";"1.980";"1.827";"1.836";"1.609";"1.639";"1.601";"1.472";"1.586";"1.676";"830";"830";"867";"873";"916";"860";"860";"799";"843";"836";"734";"647";"620";"669";"588";"346";"341";"330";"324";"299";"271";"270";"263";"247";"251";"248";"188";"170";"193";"199";"";"";"";"";"";"";"";"";"";"";"1";"1";"1";"";"1";
" F10 Psychische und Verhaltensstörungen durch Alkohol";"15.321";"14.796";"15.429";"14.970";"14.893";"14.889";"14.665";"14.093";"13.949";"13.178";"12.715";"11.970";"11.390";"11.508";"11.183";"";"1";"";"";"";"";"";"";"2";"";"";"";"";"";"1";"";"";"";"";"";"1";"";"";"";"2";"";"";"1";"3";"1";"149";"196";"236";"224";"206";"213";"252";"202";"222";"212";"155";"179";"180";"174";"142";"2.265";"2.098";"2.484";"2.444";"2.281";"2.307";"2.219";"2.024";"1.729";"1.598";"1.347";"1.244";"1.220";"1.141";"985";"1.839";"1.806";"1.780";"1.772";"1.655";"1.590";"1.545";"1.533";"1.457";"1.394";"1.463";"1.289";"1.339";"1.504";"1.453";"2.891";"2.853";"2.953";"2.841";"3.076";"3.284";"3.353";"3.472";"3.706";"3.654";"3.594";"3.637";"3.622";"3.548";"3.556";"4.326";"4.263";"4.460";"4.430";"4.474";"4.530";"4.461";"4.246";"4.170";"3.877";"3.802";"3.415";"2.967";"2.934";"2.821";"2.839";"2.565";"2.503";"2.238";"2.134";"2.001";"1.867";"1.710";"1.732";"1.519";"1.539";"1.512";"1.381";"1.487";"1.588";"743";"755";"775";"780";"841";"769";"774";"722";"772";"745";"642";"567";"555";"598";"512";"269";"259";"238";"241";"226";"194";"194";"184";"159";"177";"172";"126";"124";"119";"123";"";"";"";"";"";"";"";"";"";"";"1";"1";"1";"";"1";
" F10.0 Psychische und Verhaltensstörungen durch Alkohol: Akute Intoxikation";"7.377";"7.102";"7.692";"7.615";"7.252";"7.240";"6.948";"6.522";"6.004";"5.029";"5.194";"4.661";"3.293";"3.081";"2.706";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"1";"";"";"";"2";"";"";"1";"3";"";"147";"195";"233";"219";"196";"197";"248";"195";"217";"205";"149";"171";"160";"159";"120";"2.036";"1.905";"2.272";"2.245";"2.020";"2.024";"2.020";"1.800";"1.522";"1.390";"1.165";"1.030";"967";"856";"719";"955";"940";"967";"966";"905";"883";"848";"787";"700";"607";"697";"531";"419";"452";"352";"1.124";"1.059";"1.206";"1.195";"1.226";"1.324";"1.234";"1.301";"1.300";"1.089";"1.125";"1.158";"738";"651";"692";"1.571";"1.581";"1.578";"1.685";"1.647";"1.648";"1.549";"1.492";"1.358";"1.008";"1.275";"1.111";"584";"518";"454";"1.085";"919";"942";"840";"805";"736";"632";"588";"570";"413";"481";"444";"252";"254";"252";"315";"340";"355";"338";"346";"329";"318";"267";"270";"229";"225";"175";"125";"150";"91";"144";"162";"139";"127";"107";"98";"99";"92";"67";"86";"76";"40";"46";"38";"25";"";"";"";"";"";"";"";"";"";"";"1";"1";"1";"";"";
" F10.1 Psychische und Verhaltensstörungen durch Alkohol: Schädlicher Gebrauch";"161";"142";"218";"196";"218";"269";"270";"314";"298";"302";"289";"445";"552";"681";"822";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"1";"";"2";"4";"10";"7";"3";"5";"3";"7";"5";"8";"17";"11";"12";"35";"28";"42";"39";"58";"61";"69";"69";"66";"57";"57";"65";"74";"84";"97";"27";"23";"32";"23";"20";"38";"39";"36";"38";"30";"37";"47";"75";"99";"91";"25";"23";"35";"42";"37";"59";"49";"74";"66";"64";"63";"137";"142";"188";"239";"38";"33";"49";"41";"38";"54";"57";"71";"60";"74";"57";"100";"132";"165";"225";"26";"21";"33";"23";"27";"29";"25";"28";"34";"42";"32";"65";"76";"87";"99";"3";"11";"16";"18";"19";"13";"20";"25";"24";"18";"21";"17";"29";"39";"41";"6";"3";"9";"6";"9";"8";"8";"6";"7";"10";"17";"6";"7";"8";"16";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";
" F10.2 Psychische und Verhaltensstörungen durch Alkohol: Abhängigkeitssyndrom";"3.699";"3.867";"4.279";"3.784";"3.959";"3.587";"3.953";"3.718";"4.117";"4.128";"3.538";"3.206";"3.890";"4.101";"4.339";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"1";"1";"";"113";"86";"95";"80";"131";"69";"76";"78";"76";"75";"51";"57";"97";"101";"85";"410";"448";"495";"458";"437";"349";"364";"404";"429";"438";"361";"299";"452";"499";"549";"851";"897";"1.022";"883";"1.008";"1.010";"1.108";"1.079";"1.242";"1.323";"1.197";"1.117";"1.452";"1.493";"1.555";"1.283";"1.426";"1.625";"1.492";"1.525";"1.407";"1.591";"1.357";"1.538";"1.520";"1.241";"1.098";"1.194";"1.226";"1.256";"804";"780";"833";"665";"619";"554";"610";"584";"559";"529";"499";"447";"524";"576";"704";"201";"191";"169";"176";"205";"172";"175";"182";"233";"218";"155";"161";"152";"173";"163";"37";"39";"40";"30";"34";"26";"29";"33";"39";"25";"34";"27";"18";"32";"27";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
" F10.3 Psychische und Verhaltensstörungen durch Alkohol: Entzugssyndrom";"3.339";"3.008";"2.602";"2.665";"2.692";"2.431";"2.633";"2.609";"2.542";"2.735";"2.558";"2.499";"2.267";"2.165";"2.004";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"2";"";"49";"50";"58";"60";"43";"40";"35";"56";"37";"51";"39";"59";"40";"38";"35";"392";"342";"246";"287";"250";"206";"234";"255";"238";"263";"290";"322";"282";"332";"335";"766";"759";"610";"623";"678";"645";"794";"833";"884";"970";"934";"908";"855";"764";"728";"1.227";"1.040";"1.014";"1.001";"1.045";"971";"997";"1.009";"892";"949";"856";"799";"688";"636";"549";"725";"663";"529";"525";"502";"427";"428";"324";"369";"363";"308";"310";"295";"284";"273";"146";"125";"125";"138";"139";"121";"125";"120";"107";"121";"116";"84";"95";"100";"75";"34";"29";"20";"31";"35";"21";"20";"12";"14";"18";"14";"17";"12";"9";"9";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
" F10.4 Psychische und Verhaltensstörungen durch Alkohol: Entzugssyndrom mit Delir";"366";"382";"335";"407";"418";"399";"513";"559";"577";"591";"642";"731";"861";"970";"802";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"3";"3";"2";"3";"4";"2";"5";"2";"7";"10";"4";"11";"11";"18";"17";"29";"31";"23";"24";"25";"33";"43";"40";"26";"32";"37";"58";"67";"81";"72";"69";"72";"46";"73";"95";"87";"126";"128";"130";"141";"182";"221";"292";"328";"240";"127";"120";"118";"137";"139";"149";"177";"210";"214";"217";"231";"210";"257";"280";"242";"85";"111";"83";"102";"87";"68";"92";"107";"121";"90";"112";"141";"143";"180";"152";"33";"36";"44";"48";"57";"46";"55";"60";"68";"86";"65";"72";"75";"70";"62";"20";"9";"19";"20";"11";"14";"15";"12";"11";"15";"11";"18";"16";"13";"13";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
