

Kopieren Sie folgende Adresse und fügen Sie sie in Ihren Browser ein, um diese gestaltbare Tabelle erneut aufzurufen. (Der Link ist 7 Tage gültig.)
http://www.gbe-bund.de/gbe10/i?i=702:21132444D
 
Diagnosedaten der Krankenhäuser ab 2000 (Fälle, Berechnungs- und Belegungstage, durchschnittliche Verweildauer). Gliederungsmerkmale: Jahre, Behandlungsort, Alter, Geschlecht, Verweildauer                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
****************************************************************************************************
                                                                                                    
Diese Tabelle bezieht sich auf:
Behandlungsort:;Saarland
Geschlecht:;Beide Geschlechter
Verweildauer:;alle Fälle
Sachverhalt:;Fälle
""
;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;" Alle Altersgruppen";;;;;;;;;;;;;;;" Unter 1 Jahr";;;;;;;;;;;;;;;" 1 Jahr bis unter 5 Jahre";;;;;;;;;;;;;;;" 5 bis unter 15 Jahre";;;;;;;;;;;;;;;" 15 bis unter 25 Jahre";;;;;;;;;;;;;;;" 25 bis unter 35 Jahre";;;;;;;;;;;;;;;" 35 bis unter 45 Jahre";;;;;;;;;;;;;;;" 45 bis unter 55 Jahre";;;;;;;;;;;;;;;" 55 bis unter 65 Jahre";;;;;;;;;;;;;;;" 65 bis unter 75 Jahre";;;;;;;;;;;;;;;" 75 Jahre und älter";;;;;;;;;;;;;;;" Unbekannt";;;;;;;;;;;;;;;
;" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";
" F10-F19 Psychische und Verhaltensstörungen durch psychotrope Substanzen";"6.063";"5.975";"5.493";"5.313";"5.180";"5.147";"5.268";"5.116";"4.941";"5.082";"4.717";"4.523";"4.308";"4.507";"4.777";"1";"";"";"";"";"1";"";"";"";"";"";"";"1";"2";"1";"1";"";"1";"";"";"1";"";"";"";"";"";"2";"3";"1";"3";"56";"50";"73";"72";"69";"62";"83";"63";"51";"63";"33";"48";"70";"63";"55";"1.040";"960";"997";"903";"962";"915";"943";"948";"858";"841";"772";"758";"714";"738";"720";"1.126";"1.103";"1.025";"929";"879";"823";"874";"811";"772";"739";"734";"671";"670";"737";"887";"1.076";"1.052";"888";"915";"972";"999";"1.082";"1.092";"1.104";"1.256";"1.242";"1.236";"1.210";"1.275";"1.436";"1.490";"1.480";"1.340";"1.406";"1.324";"1.384";"1.367";"1.262";"1.239";"1.286";"1.158";"1.110";"1.008";"973";"973";"851";"903";"815";"704";"618";"597";"567";"547";"536";"516";"447";"431";"440";"493";"477";"295";"286";"256";"295";"271";"290";"272";"308";"303";"294";"259";"207";"146";"175";"165";"127";"141";"98";"89";"85";"75";"80";"85";"78";"87";"72";"60";"46";"50";"60";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
" F10 Psychische und Verhaltensstörungen durch Alkohol";"4.397";"4.369";"4.058";"3.911";"3.873";"3.934";"4.030";"3.758";"3.633";"3.805";"3.578";"3.381";"3.217";"3.290";"3.477";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"1";"";"";"";"";"";"";"";"";"";"";"";"";"3";"";"1";"45";"47";"61";"66";"60";"60";"79";"59";"48";"61";"30";"37";"61";"53";"44";"650";"645";"691";"621";"664";"642";"629";"560";"493";"474";"416";"370";"347";"313";"308";"546";"518";"498";"416";"403";"389";"457";"392";"368";"382";"425";"358";"354";"392";"457";"735";"751";"612";"636";"712";"758";"811";"803";"834";"980";"992";"988";"982";"1.009";"1.149";"1.285";"1.237";"1.169";"1.221";"1.170";"1.217";"1.222";"1.124";"1.108";"1.135";"1.060";"1.019";"900";"881";"909";"780";"841";"734";"626";"566";"544";"531";"503";"483";"463";"404";"392";"402";"465";"440";"266";"241";"228";"261";"237";"269";"244";"261";"253";"260";"208";"176";"135";"148";"135";"90";"89";"65";"64";"61";"55";"57";"56";"46";"50";"43";"41";"33";"28";"33";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
" F10.0 Psychische und Verhaltensstörungen durch Alkohol: Akute Intoxikation";"2.092";"1.986";"1.944";"1.818";"1.940";"2.038";"2.069";"1.947";"1.844";"1.882";"1.732";"1.561";"1.280";"1.197";"1.051";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"1";"";"";"";"";"";"";"";"";"";"";"";"";"3";"";"1";"45";"46";"61";"66";"60";"59";"77";"54";"48";"60";"30";"34";"58";"50";"40";"600";"581";"644";"573";"607";"607";"576";"516";"452";"445";"374";"342";"313";"263";"250";"264";"234";"249";"189";"224";"221";"263";"232";"204";"236";"246";"190";"177";"187";"167";"270";"267";"224";"240";"298";"320";"347";"352";"378";"410";"447";"425";"318";"302";"272";"463";"427";"391";"392";"435";"458";"464";"427";"414";"399";"361";"339";"249";"206";"180";"276";"292";"245";"202";"186";"200";"204";"219";"198";"189";"161";"147";"102";"127";"97";"128";"90";"95";"115";"99";"138";"106";"123";"125";"119";"92";"70";"49";"56";"34";"46";"49";"35";"41";"31";"35";"32";"24";"25";"24";"21";"14";"11";"5";"9";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
" F10.1 Psychische und Verhaltensstörungen durch Alkohol: Schädlicher Gebrauch";"36";"54";"41";"67";"48";"38";"22";"32";"32";"28";"40";"59";"74";"90";"130";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"2";"1";"";"1";"";"3";"3";"2";"3";"5";"15";"13";"20";"16";"12";"9";"6";"8";"6";"7";"5";"7";"13";"16";"6";"8";"6";"8";"6";"4";"6";"5";"";"3";"8";"9";"9";"14";"19";"11";"5";"4";"8";"8";"5";"2";"4";"4";"11";"8";"17";"24";"28";"35";"6";"8";"9";"19";"7";"12";"1";"9";"7";"1";"12";"19";"13";"18";"28";"4";"11";"5";"6";"8";"2";"1";"7";"6";"5";"2";"5";"14";"7";"22";"1";"5";"3";"4";"1";"1";"1";"";"6";"";"2";"1";"4";"5";"4";"3";"2";"1";"2";"2";"1";"";"";"1";"1";"1";"";"";"3";"3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
" F10.2 Psychische und Verhaltensstörungen durch Alkohol: Abhängigkeitssyndrom";"1.348";"1.574";"1.353";"1.309";"1.033";"612";"715";"679";"703";"799";"767";"849";"900";"954";"1.307";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"";"";"";"";"";"";"1";"35";"37";"28";"18";"25";"12";"22";"19";"20";"12";"18";"11";"18";"29";"26";"178";"188";"180";"165";"123";"52";"79";"65";"73";"74";"78";"95";"96";"111";"168";"274";"350";"285";"284";"232";"160";"187";"169";"205";"262";"248";"281";"317";"338";"527";"460";"551";"504";"512";"408";"248";"295";"275";"258";"278";"288";"327";"310";"303";"398";"307";"346";"274";"243";"186";"100";"94";"103";"104";"102";"101";"94";"128";"132";"145";"74";"85";"70";"80";"53";"35";"35";"40";"38";"56";"32";"33";"23";"34";"35";"20";"17";"12";"7";"6";"5";"3";"6";"5";"15";"2";"8";"8";"7";"7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
" F10.3 Psychische und Verhaltensstörungen durch Alkohol: Entzugssyndrom";"726";"556";"503";"486";"649";"965";"896";"761";"732";"699";"640";"523";"625";"642";"496";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"6";"11";"2";"4";"14";"7";"18";"16";"11";"6";"10";"7";"5";"6";"4";"88";"78";"55";"46";"44";"99";"95";"72";"73";"54";"72";"48";"55";"60";"58";"159";"106";"79";"81";"143";"227";"225";"221";"195";"213";"212";"182";"236";"231";"194";"289";"191";"189";"200";"248";"393";"367";"301";"309";"305";"237";"206";"231";"236";"165";"141";"132";"144";"115";"137";"165";"132";"108";"107";"94";"67";"53";"76";"92";"56";"35";"29";"25";"34";"55";"66";"52";"39";"32";"24";"36";"26";"19";"15";"16";"8";"9";"9";"6";"8";"8";"7";"4";"5";"3";"6";"1";"3";"2";"3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
" F10.4 Psychische und Verhaltensstörungen durch Alkohol: Entzugssyndrom mit Delir";"92";"116";"109";"116";"98";"166";"168";"186";"170";"230";"230";"219";"210";"256";"311";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"1";"";"";"";"";"";"1";"";"1";"";"1";"";"";"1";"1";"";"1";"3";"1";"2";"1";"1";"1";"3";"8";"5";"5";"4";"13";"11";"16";"13";"12";"18";"11";"14";"16";"27";"16";"22";"11";"17";"24";"32";"33";"41";"41";"61";"56";"61";"64";"77";"90";"40";"35";"40";"56";"37";"71";"61";"71";"65";"93";"97";"83";"73";"86";"99";"19";"30";"37";"31";"19";"34";"36";"29";"33";"40";"38";"39";"39";"52";"67";"10";"14";"14";"6";"10";"14";"21";"21";"15";"19";"16";"19";"13";"15";"22";"3";"6";"1";"1";"4";"1";"5";"7";"2";"2";"4";"4";"6";"8";"5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
