

Kopieren Sie folgende Adresse und fügen Sie sie in Ihren Browser ein, um diese gestaltbare Tabelle erneut aufzurufen. (Der Link ist 7 Tage gültig.)
http://www.gbe-bund.de/gbe10/i?i=702:21132444D
 
Diagnosedaten der Krankenhäuser ab 2000 (Fälle, Berechnungs- und Belegungstage, durchschnittliche Verweildauer). Gliederungsmerkmale: Jahre, Behandlungsort, Alter, Geschlecht, Verweildauer                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
****************************************************************************************************
                                                                                                    
Diese Tabelle bezieht sich auf:
Behandlungsort:;Sachsen
Geschlecht:;Beide Geschlechter
Verweildauer:;alle Fälle
Sachverhalt:;Fälle
""
;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;" Alle Altersgruppen";;;;;;;;;;;;;;;" Unter 1 Jahr";;;;;;;;;;;;;;;" 1 Jahr bis unter 5 Jahre";;;;;;;;;;;;;;;" 5 bis unter 15 Jahre";;;;;;;;;;;;;;;" 15 bis unter 25 Jahre";;;;;;;;;;;;;;;" 25 bis unter 35 Jahre";;;;;;;;;;;;;;;" 35 bis unter 45 Jahre";;;;;;;;;;;;;;;" 45 bis unter 55 Jahre";;;;;;;;;;;;;;;" 55 bis unter 65 Jahre";;;;;;;;;;;;;;;" 65 bis unter 75 Jahre";;;;;;;;;;;;;;;" 75 Jahre und älter";;;;;;;;;;;;;;;" Unbekannt";;;;;;;;;;;;;;;
;" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";
" F10-F19 Psychische und Verhaltensstörungen durch psychotrope Substanzen";"22.313";"22.037";"22.243";"20.952";"21.436";"22.136";"20.623";"19.408";"18.779";"19.459";"18.510";"18.276";"18.125";"18.461";"18.723";"";"";"";"";"1";"";"";"4";"2";"";"3";"3";"6";"1";"5";"2";"1";"1";"";"";"";"1";"";"";"1";"2";"5";"5";"3";"6";"143";"151";"156";"150";"142";"134";"169";"124";"107";"187";"198";"212";"179";"176";"169";"2.820";"2.944";"3.115";"3.006";"3.048";"3.233";"3.108";"3.170";"2.953";"3.245";"2.953";"2.759";"2.676";"2.566";"2.516";"5.301";"4.881";"4.469";"3.875";"3.582";"3.334";"2.782";"2.502";"2.349";"2.332";"2.227";"2.214";"2.199";"2.549";"2.722";"3.582";"3.537";"3.800";"3.749";"4.195";"4.708";"4.777";"4.923";"4.973";"5.466";"5.519";"5.836";"5.905";"6.245";"6.652";"5.603";"5.765";"6.109";"5.993";"6.259";"6.581";"6.015";"5.392";"5.317";"5.287";"4.982";"4.829";"4.701";"4.539";"4.260";"3.498";"3.420";"3.267";"2.894";"2.867";"2.872";"2.507";"2.247";"2.100";"2.048";"1.851";"1.708";"1.793";"1.794";"1.825";"958";"991";"1.025";"1.010";"1.105";"1.092";"951";"830";"797";"738";"627";"603";"568";"506";"457";"406";"347";"301";"275";"237";"182";"313";"216";"181";"155";"148";"107";"93";"82";"111";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
" F10 Psychische und Verhaltensstörungen durch Alkohol";"17.188";"17.096";"17.525";"16.908";"17.723";"18.743";"17.676";"16.476";"15.906";"16.448";"15.713";"15.534";"15.499";"15.798";"16.006";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"";"";"";"";"";"";"";"";"";"";"1";"2";"1";"";"1";"107";"124";"136";"135";"131";"126";"159";"117";"93";"160";"155";"178";"148";"144";"114";"1.398";"1.437";"1.546";"1.548";"1.651";"1.939";"1.942";"1.719";"1.533";"1.599";"1.329";"1.108";"1.048";"876";"796";"2.750";"2.559";"2.364";"2.156";"2.050";"2.071";"1.878";"1.683";"1.583";"1.618";"1.643";"1.730";"1.771";"2.140";"2.296";"2.967";"3.048";"3.345";"3.407";"3.871";"4.334";"4.450";"4.656";"4.688";"5.218";"5.301";"5.605";"5.659";"5.986";"6.410";"5.400";"5.525";"5.852";"5.774";"6.068";"6.394";"5.813";"5.269";"5.178";"5.119";"4.848";"4.672";"4.586";"4.428";"4.148";"3.390";"3.279";"3.140";"2.783";"2.769";"2.769";"2.363";"2.158";"2.009";"1.965";"1.766";"1.622";"1.714";"1.719";"1.758";"870";"880";"925";"910";"1.014";"995";"852";"741";"707";"663";"564";"542";"511";"459";"405";"306";"244";"217";"195";"169";"115";"219";"133";"115";"106";"106";"75";"61";"46";"76";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
" F10.0 Psychische und Verhaltensstörungen durch Alkohol: Akute Intoxikation";"5.809";"5.512";"5.561";"5.089";"5.249";"5.231";"4.767";"4.313";"3.806";"4.153";"3.536";"2.705";"2.168";"2.140";"2.065";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"2";"1";"";"1";"100";"120";"133";"134";"129";"120";"155";"112";"91";"153";"148";"163";"137";"135";"87";"1.124";"1.174";"1.224";"1.178";"1.211";"1.271";"1.358";"1.301";"1.161";"1.159";"962";"730";"642";"526";"438";"1.088";"980";"861";"743";"760";"644";"564";"504";"420";"443";"402";"339";"244";"282";"284";"828";"756";"858";"788";"870";"946";"886";"861";"780";"983";"854";"637";"535";"544";"637";"1.366";"1.277";"1.278";"1.208";"1.248";"1.306";"1.069";"906";"814";"861";"732";"507";"363";"383";"376";"855";"810";"800";"656";"635";"581";"453";"400";"326";"375";"283";"214";"160";"195";"170";"297";"290";"302";"292";"324";"311";"210";"175";"170";"147";"113";"86";"71";"59";"50";"151";"105";"105";"90";"72";"52";"72";"54";"44";"32";"41";"27";"15";"16";"22";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
" F10.1 Psychische und Verhaltensstörungen durch Alkohol: Schädlicher Gebrauch";"322";"313";"325";"240";"218";"326";"288";"305";"290";"276";"286";"367";"394";"403";"460";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"6";"4";"1";"1";"2";"3";"4";"5";"1";"4";"6";"15";"8";"8";"23";"67";"38";"43";"56";"42";"87";"67";"73";"66";"54";"54";"78";"80";"69";"90";"77";"68";"54";"49";"33";"50";"44";"36";"29";"38";"43";"55";"37";"51";"64";"49";"49";"68";"44";"29";"58";"60";"71";"68";"67";"78";"98";"118";"127";"132";"61";"73";"78";"49";"53";"58";"68";"75";"71";"68";"68";"70";"93";"94";"85";"36";"60";"52";"15";"31";"50";"20";"22";"30";"25";"22";"29";"40";"37";"51";"15";"8";"23";"22";"22";"14";"22";"17";"19";"15";"12";"13";"17";"12";"11";"11";"13";"6";"4";"6";"6";"3";"6";"6";"5";"3";"9";"1";"5";"4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
" F10.2 Psychische und Verhaltensstörungen durch Alkohol: Abhängigkeitssyndrom";"7.909";"8.020";"8.164";"8.136";"8.462";"9.061";"8.408";"7.516";"7.484";"7.200";"6.633";"6.758";"7.610";"7.707";"8.351";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"2";"";"";"";"";"";"";"2";"";"";"2";"1";"";"171";"183";"237";"259";"323";"461";"378";"240";"235";"269";"208";"200";"223";"188";"171";"1.275";"1.227";"1.149";"1.080";"989";"1.040";"900";"798";"770";"717";"677";"790";"944";"1.109";"1.308";"1.580";"1.664";"1.794";"1.901";"2.125";"2.384";"2.400";"2.397";"2.490";"2.475";"2.522";"2.710";"3.050";"3.132";"3.595";"2.856";"2.952";"3.162";"3.157";"3.287";"3.401";"3.177";"2.731";"2.716";"2.574";"2.258";"2.191";"2.384";"2.303";"2.259";"1.635";"1.600";"1.443";"1.368";"1.332";"1.392";"1.174";"1.053";"992";"890";"764";"654";"833";"791";"822";"312";"336";"325";"327";"360";"357";"340";"273";"259";"243";"180";"200";"165";"173";"173";"79";"58";"52";"44";"46";"26";"39";"24";"22";"30";"24";"13";"9";"10";"21";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
" F10.3 Psychische und Verhaltensstörungen durch Alkohol: Entzugssyndrom";"2.038";"2.108";"2.181";"2.272";"2.533";"2.799";"2.968";"3.057";"3.062";"3.414";"3.702";"3.807";"3.461";"3.599";"3.028";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"23";"30";"28";"38";"56";"90";"116";"80";"62";"96";"88";"77";"68";"58";"44";"242";"228";"224";"229";"223";"278";"318";"286";"305";"351";"422";"426";"420";"524";"447";"353";"403";"462";"501";"652";"725";"839";"1.025";"1.036";"1.292";"1.381";"1.579";"1.400";"1.524";"1.322";"760";"830";"885";"944";"996";"1.126";"1.061";"1.100";"1.112";"1.128";"1.261";"1.236";"1.097";"1.042";"826";"523";"469";"473";"413";"439";"423";"429";"426";"397";"411";"418";"379";"350";"366";"325";"122";"128";"98";"118";"150";"151";"136";"123";"130";"121";"116";"104";"111";"81";"55";"15";"20";"11";"29";"17";"6";"69";"17";"20";"15";"16";"6";"15";"4";"9";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
" F10.4 Psychische und Verhaltensstörungen durch Alkohol: Entzugssyndrom mit Delir";"395";"450";"478";"477";"595";"677";"639";"678";"728";"836";"940";"1.131";"1.114";"1.254";"1.157";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"2";"1";"4";"1";"4";"8";"7";"12";"3";"4";"5";"9";"18";"16";"8";"30";"26";"23";"28";"33";"33";"28";"34";"41";"47";"68";"96";"86";"138";"124";"75";"92";"75";"80";"111";"147";"180";"199";"221";"309";"343";"412";"387";"487";"473";"146";"158";"185";"201";"241";"289";"251";"259";"290";"270";"315";"391";"394";"406";"341";"94";"114";"115";"119";"136";"131";"111";"121";"117";"137";"146";"153";"154";"158";"172";"29";"39";"56";"39";"56";"58";"47";"45";"47";"59";"58";"66";"67";"48";"33";"19";"20";"20";"9";"14";"11";"15";"8";"9";"10";"5";"4";"8";"1";"4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
