

Kopieren Sie folgende Adresse und fügen Sie sie in Ihren Browser ein, um diese gestaltbare Tabelle erneut aufzurufen. (Der Link ist 7 Tage gültig.)
http://www.gbe-bund.de/gbe10/i?i=702:21132444D
 
Diagnosedaten der Krankenhäuser ab 2000 (Fälle, Berechnungs- und Belegungstage, durchschnittliche Verweildauer). Gliederungsmerkmale: Jahre, Behandlungsort, Alter, Geschlecht, Verweildauer                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
****************************************************************************************************
                                                                                                    
Diese Tabelle bezieht sich auf:
Behandlungsort:;Thüringen
Geschlecht:;Beide Geschlechter
Verweildauer:;alle Fälle
Sachverhalt:;Fälle
""
;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;" Alle Altersgruppen";;;;;;;;;;;;;;;" Unter 1 Jahr";;;;;;;;;;;;;;;" 1 Jahr bis unter 5 Jahre";;;;;;;;;;;;;;;" 5 bis unter 15 Jahre";;;;;;;;;;;;;;;" 15 bis unter 25 Jahre";;;;;;;;;;;;;;;" 25 bis unter 35 Jahre";;;;;;;;;;;;;;;" 35 bis unter 45 Jahre";;;;;;;;;;;;;;;" 45 bis unter 55 Jahre";;;;;;;;;;;;;;;" 55 bis unter 65 Jahre";;;;;;;;;;;;;;;" 65 bis unter 75 Jahre";;;;;;;;;;;;;;;" 75 Jahre und älter";;;;;;;;;;;;;;;" Unbekannt";;;;;;;;;;;;;;;
;" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";
" F10-F19 Psychische und Verhaltensstörungen durch psychotrope Substanzen";"12.524";"12.647";"12.744";"12.001";"11.967";"11.618";"11.208";"10.681";"10.123";"10.374";"10.321";"9.686";"9.830";"9.927";"9.425";"";"";"";"";"";"";"";"1";"";"";"1";"";"1";"1";"";"";"1";"";"";"";"";"3";"1";"";"";"3";"3";"1";"5";"5";"95";"112";"107";"109";"95";"98";"94";"80";"73";"114";"124";"107";"150";"149";"148";"1.473";"1.749";"1.726";"1.656";"1.775";"1.777";"1.823";"1.848";"1.723";"1.913";"1.978";"1.800";"1.632";"1.615";"1.376";"2.698";"2.626";"2.623";"2.301";"2.111";"1.951";"1.630";"1.372";"1.226";"1.236";"1.215";"1.288";"1.249";"1.339";"1.323";"2.120";"2.192";"2.188";"2.362";"2.527";"2.691";"2.750";"2.856";"2.891";"3.006";"3.175";"3.078";"3.361";"3.483";"3.390";"3.470";"3.502";"3.676";"3.417";"3.506";"3.268";"3.171";"2.884";"2.820";"2.737";"2.555";"2.253";"2.229";"2.117";"1.995";"1.997";"1.835";"1.752";"1.553";"1.334";"1.251";"1.218";"1.123";"938";"921";"834";"804";"898";"913";"894";"489";"492";"537";"484";"524";"485";"430";"438";"370";"385";"357";"301";"266";"240";"242";"182";"138";"135";"119";"95";"97";"89";"78";"82";"62";"79";"52";"43";"65";"52";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
" F10 Psychische und Verhaltensstörungen durch Alkohol";"9.813";"9.808";"10.115";"9.762";"9.734";"9.580";"9.401";"8.898";"8.441";"8.412";"8.289";"7.763";"8.081";"8.185";"7.948";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"1";"1";"";"";"";"1";"";"1";"1";"83";"100";"99";"102";"90";"92";"90";"74";"67";"101";"102";"93";"133";"118";"130";"759";"864";"897";"927";"972";"991";"999";"916";"796";"778";"695";"629";"543";"562";"440";"1.372";"1.347";"1.399";"1.295";"1.157";"1.162";"1.018";"876";"804";"815";"842";"905";"935";"1.044";"1.099";"1.780";"1.855";"1.943";"2.160";"2.323";"2.495";"2.594";"2.724";"2.777";"2.840";"3.048";"2.928";"3.209";"3.311";"3.270";"3.335";"3.377";"3.528";"3.285";"3.395";"3.156";"3.069";"2.790";"2.722";"2.642";"2.458";"2.160";"2.163";"2.036";"1.925";"1.919";"1.751";"1.676";"1.479";"1.262";"1.191";"1.170";"1.067";"886";"858";"781";"753";"840";"863";"849";"442";"428";"486";"430";"465";"439";"392";"399";"334";"339";"311";"264";"237";"216";"205";"123";"86";"87";"84";"70";"54";"68";"51";"55";"39";"52";"30";"21";"33";"29";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
" F10.0 Psychische und Verhaltensstörungen durch Alkohol: Akute Intoxikation";"3.348";"3.376";"3.506";"3.208";"3.025";"2.738";"2.496";"2.089";"1.776";"2.013";"1.810";"1.426";"1.313";"1.449";"1.288";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"1";"";"";"";"";"";"1";"1";"82";"100";"99";"98";"89";"86";"86";"70";"66";"101";"97";"88";"122";"107";"115";"622";"678";"716";"700";"732";"717";"720";"640";"559";"593";"516";"454";"343";"384";"251";"542";"488";"592";"507";"421";"360";"292";"234";"219";"202";"213";"164";"153";"181";"178";"501";"517";"520";"557";"546";"541";"488";"411";"385";"446";"463";"344";"399";"449";"414";"890";"919";"925";"813";"762";"622";"541";"394";"338";"411";"313";"213";"182";"203";"198";"498";"481";"456";"357";"296";"239";"247";"206";"129";"150";"127";"102";"84";"93";"103";"149";"146";"157";"146";"145";"151";"96";"111";"63";"90";"65";"47";"25";"25";"21";"64";"47";"41";"30";"34";"22";"25";"22";"17";"20";"16";"14";"5";"6";"7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
" F10.1 Psychische und Verhaltensstörungen durch Alkohol: Schädlicher Gebrauch";"141";"143";"124";"142";"182";"181";"166";"168";"116";"114";"171";"213";"239";"200";"253";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"4";"1";"6";"3";"4";"";"";"4";"5";"8";"6";"8";"17";"23";"19";"30";"34";"39";"37";"46";"33";"26";"40";"36";"38";"33";"45";"29";"30";"27";"29";"38";"29";"20";"19";"14";"16";"27";"32";"31";"24";"37";"25";"24";"26";"20";"27";"32";"35";"42";"25";"31";"51";"62";"68";"64";"75";"29";"35";"28";"33";"39";"37";"33";"40";"24";"19";"28";"46";"52";"37";"40";"29";"17";"16";"17";"23";"25";"24";"11";"13";"12";"13";"20";"29";"25";"33";"6";"12";"7";"6";"16";"9";"12";"4";"7";"9";"8";"11";"12";"11";"13";"5";"2";"1";"3";"4";"4";"2";"2";"";"1";"";"1";"1";"";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
" F10.2 Psychische und Verhaltensstörungen durch Alkohol: Abhängigkeitssyndrom";"2.982";"2.809";"3.281";"3.326";"3.352";"3.292";"3.853";"3.636";"3.733";"3.600";"3.116";"2.897";"3.074";"3.592";"4.013";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"1";"1";"";"66";"80";"103";"123";"141";"134";"166";"146";"128";"107";"85";"87";"94";"86";"100";"413";"415";"431";"471";"419";"429";"452";"363";"340";"366";"306";"321";"349";"504";"583";"634";"606";"702";"836";"895";"933";"1.208";"1.282";"1.406";"1.361";"1.265";"1.234";"1.304";"1.568";"1.829";"1.131";"1.071";"1.329";"1.192";"1.300";"1.210";"1.420";"1.275";"1.356";"1.270";"1.063";"879";"899";"963";"1.039";"615";"535";"590";"568";"480";"468";"492";"438";"382";"363";"304";"287";"336";"378";"380";"109";"91";"119";"119";"110";"112";"105";"124";"110";"123";"84";"86";"84";"85";"72";"14";"11";"7";"17";"7";"6";"10";"8";"10";"10";"9";"3";"7";"7";"10";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
" F10.3 Psychische und Verhaltensstörungen durch Alkohol: Entzugssyndrom";"2.865";"2.870";"2.605";"2.500";"2.520";"2.742";"2.296";"2.375";"2.167";"1.988";"2.327";"2.298";"2.317";"1.730";"1.060";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"51";"76";"46";"57";"56";"84";"64";"68";"68";"42";"44";"44";"50";"35";"15";"356";"363";"304";"254";"241";"312";"225";"232";"192";"197";"238";"314";"311";"231";"178";"554";"618";"616";"664";"723";"846";"754";"842";"811";"808";"1.008";"997";"1.040";"766";"453";"1.135";"1.158";"1.063";"1.027";"1.036";"1.056";"874";"859";"771";"680";"768";"713";"669";"495";"283";"626";"549";"462";"395";"348";"338";"272";"287";"242";"191";"196";"175";"200";"170";"109";"121";"93";"102";"87";"105";"99";"100";"81";"69";"67";"64";"51";"46";"26";"21";"22";"13";"12";"16";"11";"7";"6";"6";"14";"3";"9";"3";"1";"6";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
" F10.4 Psychische und Verhaltensstörungen durch Alkohol: Entzugssyndrom mit Delir";"258";"347";"298";"317";"354";"379";"371";"377";"376";"391";"538";"631";"684";"761";"741";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"1";"3";"1";"2";"4";"2";"6";"3";"5";"5";"4";"";"4";"";"14";"12";"19";"36";"28";"21";"18";"24";"23";"19";"25";"20";"46";"62";"72";"80";"79";"41";"66";"58";"60";"86";"109";"85";"108";"109";"136";"178";"234";"270";"317";"306";"80";"118";"104";"132";"162";"131";"125";"138";"142";"150";"191";"206";"224";"217";"202";"88";"81";"60";"63";"51";"69";"83";"69";"49";"66";"76";"96";"91";"97";"114";"23";"39";"34";"31";"32";"31";"37";"31";"38";"13";"38";"25";"26";"32";"25";"4";"6";"12";"6";"3";"9";"15";"7";"8";"2";"9";"4";"1";"3";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
