

Kopieren Sie folgende Adresse und fügen Sie sie in Ihren Browser ein, um diese gestaltbare Tabelle erneut aufzurufen. (Der Link ist 7 Tage gültig.)
http://www.gbe-bund.de/gbe10/i?i=703:21305838D
 
Diagnosedaten der Krankenhäuser ab 2000 (Fälle, Fälle je 100000 Einwohner). Gliederungsmerkmale: Jahre, Wohnsitz, Alter, Geschlecht, Verweildauer, Art der Standardisierung                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
****************************************************************************************************
                                                                                                    
Diese Tabelle bezieht sich auf:
Verweildauer:;alle Fälle
ICD10:;F10.0 Psychische und Verhaltensstörungen durch Alkohol: Akute Intoxikation
Sachverhalt:;Fälle
Art der Standardisierung:;Standardbevölkerung &quot;Deutschland 2011&quot;
""
;;;"";;;;;;;;;;;;;;;;;;;
;;;" Baden-Württemberg";" Bayern";" Berlin";" Brandenburg";" Bremen";" Hamburg";" Hessen";" Mecklenburg-Vorpommern";" Niedersachsen";" Nordrhein-Westfalen";" Rheinland-Pfalz";" Saarland";" Sachsen";" Sachsen-Anhalt";" Schleswig-Holstein";" Thüringen";" Früheres Bundesgebiet und Berlin-Ost";" Neue Länder ohne Berlin-Ost";" Ausland oder unbekannt";
"    2014";"    Männlich";"             Unter 1 Jahr";"";"";"";"";"";"";"10";"";"";"1";"";"";"";"";"1";"";"12";"";"1";
;;"             1 Jahr bis unter 5 Jahre";"";"1";"";"";"";"";"1";"";"";"3";"";"";"";"";"";"";"5";"";"";
;;"             5 bis unter 10 Jahre";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";
;;"             10 bis unter 15 Jahre";"155";"237";"13";"41";"11";"14";"87";"25";"101";"267";"49";"19";"41";"42";"35";"36";"988";"185";"4";
;;"             15 bis unter 20 Jahre";"1.534";"2.637";"154";"179";"80";"98";"739";"147";"1.161";"2.661";"873";"259";"421";"260";"354";"245";"10.550";"1.252";"92";
;;"             20 bis unter 25 Jahre";"954";"1.787";"115";"83";"60";"41";"386";"86";"826";"1.555";"479";"141";"287";"218";"264";"161";"6.608";"835";"165";
;;"                25 bis unter 30 Jahre";"734";"1.209";"142";"141";"33";"47";"326";"146";"589";"1.068";"354";"94";"445";"235";"225";"224";"4.821";"1.191";"141";
;;"                30 bis unter 35 Jahre";"710";"1.040";"147";"131";"27";"50";"301";"148";"695";"1.034";"329";"97";"420";"239";"161";"180";"4.591";"1.118";"149";
;;"                35 bis unter 40 Jahre";"713";"982";"171";"116";"35";"78";"384";"163";"710";"1.254";"348";"82";"305";"237";"210";"185";"4.967";"1.006";"171";
;;"                40 bis unter 45 Jahre";"741";"1.167";"210";"176";"46";"88";"429";"175";"790";"1.544";"411";"90";"319";"308";"301";"205";"5.817";"1.183";"171";
;;"             45 bis unter 50 Jahre";"1.037";"1.397";"236";"254";"83";"66";"553";"255";"1.024";"2.101";"510";"152";"494";"445";"379";"324";"7.538";"1.772";"125";
;;"             50 bis unter 55 Jahre";"996";"1.446";"212";"328";"55";"91";"609";"372";"1.054";"2.081";"561";"174";"539";"494";"411";"344";"7.690";"2.077";"99";
;;"             55 bis unter 60 Jahre";"771";"1.143";"163";"212";"39";"43";"375";"221";"780";"1.625";"472";"127";"384";"314";"245";"236";"5.783";"1.367";"68";
;;"             60 bis unter 65 Jahre";"518";"783";"105";"166";"32";"44";"259";"143";"493";"1.149";"307";"72";"317";"209";"140";"160";"3.902";"995";"43";
;;"          65 bis unter 70 Jahre";"302";"450";"77";"55";"9";"15";"124";"37";"279";"490";"151";"36";"115";"85";"79";"59";"2.012";"351";"19";
;;"          70 bis unter 75 Jahre";"190";"341";"39";"31";"16";"12";"111";"36";"182";"342";"100";"54";"81";"65";"70";"51";"1.457";"264";"12";
;;"             75 bis unter 80 Jahre";"163";"228";"13";"30";"5";"5";"53";"30";"99";"231";"70";"20";"64";"41";"46";"35";"933";"200";"";
