

Kopieren Sie folgende Adresse und fügen Sie sie in Ihren Browser ein, um diese gestaltbare Tabelle erneut aufzurufen. (Der Link ist 7 Tage gültig.)
http://www.gbe-bund.de/gbe10/i?i=703:21305838D
 
Diagnosedaten der Krankenhäuser ab 2000 (Fälle, Fälle je 100000 Einwohner). Gliederungsmerkmale: Jahre, Wohnsitz, Alter, Geschlecht, Verweildauer, Art der Standardisierung                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
****************************************************************************************************
                                                                                                    
Diese Tabelle bezieht sich auf:
Verweildauer:;alle Fälle
ICD10:;K70 Alkoholische Leberkrankheit
Sachverhalt:;Fälle
Art der Standardisierung:;Standardbevölkerung &quot;Deutschland 2011&quot;
""
;;;"";;;;;;;;;;;;;;;;;;;
;;;" Baden-Württemberg";" Bayern";" Berlin";" Brandenburg";" Bremen";" Hamburg";" Hessen";" Mecklenburg-Vorpommern";" Niedersachsen";" Nordrhein-Westfalen";" Rheinland-Pfalz";" Saarland";" Sachsen";" Sachsen-Anhalt";" Schleswig-Holstein";" Thüringen";" Früheres Bundesgebiet und Berlin-Ost";" Neue Länder ohne Berlin-Ost";" Ausland oder unbekannt";
"    2014";"    Männlich";"             Unter 1 Jahr";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;;"             1 Jahr bis unter 5 Jahre";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;;"             5 bis unter 10 Jahre";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;;"             10 bis unter 15 Jahre";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
;;"             15 bis unter 20 Jahre";"";"1";"";"";"";"2";"";"";"";"1";"";"";"";"";"";"";"4";"";"";
;;"             20 bis unter 25 Jahre";"4";"";"2";"1";"";"1";"2";"";"";"2";"";"";"2";"";"1";"1";"12";"4";"1";
;;"                25 bis unter 30 Jahre";"4";"8";"9";"5";"";"2";"5";"5";"5";"28";"2";"4";"13";"8";"7";"16";"74";"47";"1";
;;"                30 bis unter 35 Jahre";"31";"28";"26";"14";"";"5";"20";"24";"20";"77";"19";"2";"21";"7";"14";"15";"242";"81";"1";
;;"                35 bis unter 40 Jahre";"65";"74";"30";"16";"9";"22";"29";"28";"34";"148";"21";"11";"45";"37";"18";"34";"461";"160";"6";
;;"                40 bis unter 45 Jahre";"117";"149";"81";"82";"23";"48";"95";"34";"118";"293";"33";"28";"132";"75";"40";"49";"1.025";"372";"3";
;;"             45 bis unter 50 Jahre";"286";"379";"109";"166";"15";"69";"177";"97";"188";"538";"87";"32";"247";"129";"108";"121";"1.988";"760";"6";
;;"             50 bis unter 55 Jahre";"438";"667";"195";"205";"36";"81";"210";"172";"267";"762";"178";"55";"383";"225";"120";"166";"3.009";"1.151";"7";
;;"             55 bis unter 60 Jahre";"423";"676";"211";"246";"27";"93";"221";"148";"327";"836";"230";"73";"439";"260";"102";"200";"3.219";"1.293";"22";
;;"             60 bis unter 65 Jahre";"564";"661";"226";"248";"21";"68";"269";"219";"311";"800";"238";"70";"510";"227";"133";"219";"3.361";"1.423";"5";
;;"          65 bis unter 70 Jahre";"374";"535";"138";"175";"46";"65";"241";"94";"196";"564";"170";"62";"285";"164";"97";"139";"2.488";"857";"10";
;;"          70 bis unter 75 Jahre";"368";"442";"148";"100";"26";"61";"200";"73";"186";"459";"164";"49";"214";"101";"91";"105";"2.194";"593";"2";
;;"             75 bis unter 80 Jahre";"262";"269";"85";"61";"9";"35";"89";"58";"95";"273";"98";"21";"136";"70";"59";"68";"1.295";"393";"1";
;;"             80 bis unter 85 Jahre";"98";"84";"18";"23";"3";"6";"34";"11";"26";"102";"30";"12";"42";"11";"15";"25";"428";"112";"";
;;"             85 bis unter 90 Jahre";"17";"17";"7";"";"";"2";"2";"1";"14";"36";"7";"1";"5";"2";"3";"4";"106";"12";"";
