

Kopieren Sie folgende Adresse und fügen Sie sie in Ihren Browser ein, um diese gestaltbare Tabelle erneut aufzurufen. (Der Link ist 7 Tage gültig.)
http://www.gbe-bund.de/gbe10/i?i=702:21132444D
 
Diagnosedaten der Krankenhäuser ab 2000 (Fälle, Berechnungs- und Belegungstage, durchschnittliche Verweildauer). Gliederungsmerkmale: Jahre, Behandlungsort, Alter, Geschlecht, Verweildauer                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
****************************************************************************************************
                                                                                                    
Diese Tabelle bezieht sich auf:
Behandlungsort:;Brandenburg
Geschlecht:;Beide Geschlechter
Verweildauer:;alle Fälle
Sachverhalt:;Fälle
""
;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;" Alle Altersgruppen";;;;;;;;;;;;;;;" Unter 1 Jahr";;;;;;;;;;;;;;;" 1 Jahr bis unter 5 Jahre";;;;;;;;;;;;;;;" 5 bis unter 15 Jahre";;;;;;;;;;;;;;;" 15 bis unter 25 Jahre";;;;;;;;;;;;;;;" 25 bis unter 35 Jahre";;;;;;;;;;;;;;;" 35 bis unter 45 Jahre";;;;;;;;;;;;;;;" 45 bis unter 55 Jahre";;;;;;;;;;;;;;;" 55 bis unter 65 Jahre";;;;;;;;;;;;;;;" 65 bis unter 75 Jahre";;;;;;;;;;;;;;;" 75 Jahre und älter";;;;;;;;;;;;;;;" Unbekannt";;;;;;;;;;;;;;;
;" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";
" F10-F19 Psychische und Verhaltensstörungen durch psychotrope Substanzen";"12.529";"12.079";"12.122";"11.856";"11.449";"11.673";"12.011";"11.939";"11.516";"12.611";"12.003";"11.261";"11.569";"11.971";"11.970";"";"";"3";"1";"";"";"3";"";"";"";"1";"";"5";"1";"";"";"2";"1";"";"";"1";"1";"1";"3";"";"1";"";"2";"2";"5";"116";"112";"106";"98";"82";"112";"110";"76";"89";"113";"106";"117";"148";"133";"112";"1.046";"1.037";"1.125";"1.159";"1.135";"1.183";"1.343";"1.352";"1.287";"1.555";"1.357";"1.070";"1.046";"1.107";"900";"1.954";"1.872";"1.772";"1.651";"1.543";"1.391";"1.328";"1.137";"1.102";"1.169";"1.198";"1.174";"1.315";"1.527";"1.689";"2.138";"2.041";"2.153";"2.291";"2.498";"2.699";"2.958";"3.209";"3.431";"3.967";"4.188";"4.177";"4.450";"4.771";"4.902";"4.189";"4.095";"4.175";"4.145";"3.957";"4.112";"4.186";"4.206";"3.820";"3.915";"3.555";"3.188";"3.064";"2.934";"2.665";"2.325";"2.204";"2.045";"1.894";"1.530";"1.493";"1.397";"1.258";"1.162";"1.250";"1.097";"1.066";"1.104";"1.097";"1.291";"563";"536";"578";"499";"560";"561";"588";"582";"534";"544";"424";"404";"373";"333";"354";"198";"180";"164";"118";"144";"121";"97";"118";"88";"98";"76";"65";"62";"66";"52";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
" F10 Psychische und Verhaltensstörungen durch Alkohol";"10.800";"10.509";"10.611";"10.463";"10.105";"10.441";"10.705";"10.661";"10.294";"11.140";"10.638";"10.089";"10.508";"10.822";"11.070";"";"";"";"";"";"";"1";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"1";"";"1";"";"";"";"";"";"";"80";"93";"91";"84";"72";"103";"96";"71";"81";"100";"84";"85";"117";"102";"83";"543";"550";"629";"684";"673";"751";"855";"793";"726";"836";"671";"519";"540";"492";"419";"1.280";"1.261";"1.231";"1.151";"1.055";"987";"935";"832";"789";"869";"918";"959";"1.136";"1.333";"1.547";"1.918";"1.861";"1.985";"2.150";"2.343";"2.541";"2.793";"3.051";"3.277";"3.771";"4.011";"4.002";"4.283";"4.610";"4.790";"4.054";"3.969";"4.044";"4.024";"3.835";"3.994";"4.070";"4.075";"3.743";"3.805";"3.443";"3.099";"2.990";"2.871";"2.608";"2.263";"2.141";"1.979";"1.829";"1.492";"1.453";"1.341";"1.216";"1.123";"1.198";"1.066";"1.013";"1.061";"1.061";"1.260";"515";"490";"528";"451";"516";"521";"540";"539";"494";"490";"393";"372";"342";"305";"329";"147";"144";"124";"90";"119";"91";"73";"84";"60";"71";"51";"40";"39";"48";"34";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
" F10.0 Psychische und Verhaltensstörungen durch Alkohol: Akute Intoxikation";"2.584";"2.418";"2.531";"2.363";"2.144";"2.477";"2.747";"2.866";"2.248";"2.755";"2.117";"1.577";"1.742";"1.217";"1.003";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"1";"";"";"";"";"";"";"80";"87";"87";"82";"70";"98";"92";"71";"77";"95";"83";"79";"101";"87";"72";"400";"428";"477";"487";"488";"532";"641";"613";"561";"631";"509";"344";"353";"297";"227";"366";"343";"338";"307";"273";"302";"256";"251";"180";"233";"196";"143";"193";"137";"129";"373";"315";"387";"370";"362";"473";"576";"675";"516";"764";"629";"475";"558";"361";"319";"762";"707";"717";"695";"589";"692";"817";"875";"610";"714";"470";"352";"364";"196";"147";"436";"390";"355";"288";"233";"265";"231";"246";"187";"205";"158";"134";"123";"99";"81";"122";"108";"119";"99";"92";"88";"112";"118";"103";"94";"62";"44";"41";"33";"24";"45";"40";"51";"35";"37";"27";"21";"17";"13";"19";"10";"6";"9";"7";"4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
" F10.1 Psychische und Verhaltensstörungen durch Alkohol: Schädlicher Gebrauch";"110";"105";"121";"110";"131";"141";"178";"146";"151";"151";"132";"177";"190";"218";"167";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"2";"1";"2";"5";"3";"";"2";"3";"";"4";"10";"11";"11";"22";"16";"23";"23";"19";"33";"36";"29";"34";"45";"31";"35";"48";"40";"34";"18";"21";"16";"19";"21";"15";"22";"18";"15";"16";"14";"19";"13";"26";"19";"16";"12";"18";"22";"27";"35";"35";"24";"45";"41";"35";"54";"47";"82";"50";"30";"28";"28";"20";"32";"35";"54";"43";"37";"24";"33";"41";"41";"40";"24";"12";"11";"16";"21";"15";"14";"11";"16";"9";"14";"13";"15";"26";"13";"18";"9";"9";"11";"3";"10";"2";"11";"11";"7";"6";"4";"6";"4";"5";"8";"3";"3";"7";"1";"5";"2";"6";"5";"2";"2";"2";"3";"1";"1";"3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
" F10.2 Psychische und Verhaltensstörungen durch Alkohol: Abhängigkeitssyndrom";"2.093";"2.182";"2.287";"2.419";"2.329";"3.121";"2.796";"2.627";"3.184";"2.880";"2.943";"3.162";"2.532";"3.095";"3.684";"";"";"";"";"";"";"1";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"1";"";"1";"2";"1";"2";"6";"1";"";"55";"35";"46";"79";"57";"93";"83";"61";"58";"68";"65";"66";"58";"60";"64";"259";"296";"277";"291";"248";"285";"273";"215";"252";"230";"263";"319";"278";"414";"546";"409";"399";"446";"492";"586";"816";"745";"835";"1.124";"1.098";"1.165";"1.281";"1.091";"1.366";"1.693";"772";"827";"943";"973";"975";"1.319";"1.140";"1.088";"1.236";"1.041";"1.053";"1.057";"748";"877";"872";"487";"484";"451";"472";"351";"442";"402";"300";"362";"316";"285";"316";"269";"300";"402";"87";"115";"111";"97";"92";"151";"141";"113";"138";"107";"98";"113";"77";"64";"97";"24";"26";"13";"14";"20";"15";"10";"15";"13";"18";"12";"8";"5";"13";"10";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
" F10.3 Psychische und Verhaltensstörungen durch Alkohol: Entzugssyndrom";"5.238";"4.961";"4.839";"4.708";"4.559";"3.686";"3.850";"3.733";"3.434";"3.781";"3.816";"3.474";"4.147";"4.308";"3.928";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"61";"68";"78";"87";"101";"87";"89";"76";"65";"71";"49";"59";"67";"68";"63";"607";"562";"562";"482";"476";"342";"338";"301";"289";"328";"358";"368";"514";"586";"589";"1.032";"1.045";"1.047";"1.121";"1.209";"1.004";"1.187";"1.194";"1.215";"1.441";"1.637";"1.583";"1.887";"2.036";"1.843";"2.191";"2.078";"2.027";"1.993";"1.854";"1.536";"1.557";"1.535";"1.360";"1.380";"1.294";"1.074";"1.231";"1.165";"951";"1.094";"993";"924";"833";"710";"538";"511";"432";"375";"402";"377";"296";"350";"355";"395";"214";"179";"175";"173";"181";"159";"150";"170";"110";"146";"90";"82";"91";"92";"83";"39";"36";"26";"19";"28";"20";"18";"25";"19";"13";"11";"12";"7";"6";"4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
" F10.4 Psychische und Verhaltensstörungen durch Alkohol: Entzugssyndrom mit Delir";"473";"487";"477";"452";"519";"601";"705";"801";"779";"904";"925";"1.016";"1.043";"1.190";"1.311";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"3";"2";"2";"2";"5";"3";"2";"3";"3";"11";"7";"6";"6";"11";"12";"22";"28";"29";"28";"21";"31";"37";"33";"40";"45";"59";"78";"89";"99";"147";"71";"69";"63";"84";"99";"142";"166";"218";"256";"263";"349";"416";"416";"493";"536";"202";"204";"194";"196";"236";"252";"341";"359";"313";"396";"341";"331";"326";"381";"356";"123";"132";"120";"100";"95";"101";"98";"121";"105";"135";"106";"128";"145";"138";"197";"40";"32";"58";"39";"53";"61";"55";"59";"56";"48";"60";"51";"51";"58";"55";"12";"20";"11";"3";"10";"11";"6";"8";"6";"6";"3";"6";"10";"9";"8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
