

Kopieren Sie folgende Adresse und fügen Sie sie in Ihren Browser ein, um diese gestaltbare Tabelle erneut aufzurufen. (Der Link ist 7 Tage gültig.)
http://www.gbe-bund.de/gbe10/i?i=702:21132444D
 
Diagnosedaten der Krankenhäuser ab 2000 (Fälle, Berechnungs- und Belegungstage, durchschnittliche Verweildauer). Gliederungsmerkmale: Jahre, Behandlungsort, Alter, Geschlecht, Verweildauer                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
****************************************************************************************************
                                                                                                    
Diese Tabelle bezieht sich auf:
Behandlungsort:;Bayern
Geschlecht:;Beide Geschlechter
Verweildauer:;alle Fälle
Sachverhalt:;Fälle
""
;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;" Alle Altersgruppen";;;;;;;;;;;;;;;" Unter 1 Jahr";;;;;;;;;;;;;;;" 1 Jahr bis unter 5 Jahre";;;;;;;;;;;;;;;" 5 bis unter 15 Jahre";;;;;;;;;;;;;;;" 15 bis unter 25 Jahre";;;;;;;;;;;;;;;" 25 bis unter 35 Jahre";;;;;;;;;;;;;;;" 35 bis unter 45 Jahre";;;;;;;;;;;;;;;" 45 bis unter 55 Jahre";;;;;;;;;;;;;;;" 55 bis unter 65 Jahre";;;;;;;;;;;;;;;" 65 bis unter 75 Jahre";;;;;;;;;;;;;;;" 75 Jahre und älter";;;;;;;;;;;;;;;" Unbekannt";;;;;;;;;;;;;;;
;" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";
" F10-F19 Psychische und Verhaltensstörungen durch psychotrope Substanzen";"68.862";"66.941";"65.439";"64.969";"63.849";"62.728";"61.367";"58.597";"54.584";"55.109";"54.228";"53.519";"53.278";"53.737";"50.303";"2";"1";"7";"1";"2";"4";"";"1";"6";"5";"2";"12";"7";"12";"22";"3";"2";"5";"3";"1";"6";"5";"2";"5";"10";"5";"8";"8";"13";"20";"690";"739";"802";"900";"886";"829";"893";"750";"677";"739";"639";"595";"610";"599";"508";"11.398";"11.288";"11.950";"12.184";"11.723";"11.094";"10.737";"10.092";"9.040";"9.441";"9.223";"8.779";"8.795";"8.661";"7.862";"13.175";"12.565";"11.603";"11.177";"11.069";"10.732";"10.050";"9.728";"9.023";"8.858";"9.103";"9.289";"9.448";"9.989";"9.739";"13.483";"12.944";"12.637";"12.964";"13.301";"13.758";"14.198";"13.927";"13.594";"13.922";"14.592";"14.821";"15.195";"15.448";"14.430";"16.507";"16.378";"16.142";"15.925";"15.465";"14.872";"14.564";"14.124";"12.717";"12.628";"12.136";"11.723";"11.177";"11.005";"10.072";"9.220";"8.805";"8.182";"7.703";"7.383";"7.280";"6.839";"6.426";"6.068";"6.186";"5.707";"5.498";"5.587";"5.535";"5.363";"3.282";"3.187";"3.182";"3.227";"3.178";"3.262";"3.247";"2.794";"2.745";"2.649";"2.209";"2.103";"1.890";"1.865";"1.691";"1.102";"1.032";"929";"885";"841";"891";"834";"753";"709";"671";"612";"690";"561";"609";"596";"";"";"";"";"";"";"";"";"";"";"";"1";"";"1";"";
" F10 Psychische und Verhaltensstörungen durch Alkohol";"53.717";"53.361";"53.002";"52.196";"51.266";"50.489";"49.147";"46.254";"43.007";"43.687";"42.658";"41.735";"41.480";"41.523";"38.617";"";"1";"5";"";"1";"1";"";"";"1";"1";"";"1";"";"3";"2";"1";"";"3";"";"1";"2";"1";"";"2";"3";"1";"4";"5";"4";"7";"584";"680";"739";"834";"842";"798";"864";"736";"640";"718";"601";"557";"576";"557";"461";"8.149";"8.252";"8.960";"8.915";"8.602";"8.057";"7.488";"6.595";"5.493";"5.630";"5.181";"4.613";"4.312";"3.902";"3.342";"7.327";"7.146";"6.798";"6.311";"6.161";"5.787";"5.360";"4.974";"4.780";"4.900";"4.941";"5.174";"5.417";"5.763";"5.693";"10.024";"10.077";"10.131";"10.480";"10.664";"11.280";"11.648";"11.514";"11.342";"11.785";"12.562";"12.698";"13.192";"13.498";"12.597";"14.983";"15.063";"14.894";"14.689";"14.360";"13.860";"13.569";"13.158";"11.878";"11.761";"11.441";"11.033";"10.511";"10.411";"9.490";"8.676";"8.325";"7.781";"7.274";"7.001";"6.933";"6.520";"6.126";"5.791";"5.917";"5.414";"5.231";"5.319";"5.275";"5.074";"3.057";"2.939";"2.921";"2.990";"2.968";"3.063";"3.054";"2.588";"2.540";"2.470";"2.057";"1.899";"1.750";"1.670";"1.541";"916";"878";"770";"703";"666";"708";"643";"563";"540";"502";"460";"524";"398";"439";"410";"";"";"";"";"";"";"";"";"";"";"";"1";"";"1";"";
" F10.0 Psychische und Verhaltensstörungen durch Alkohol: Akute Intoxikation";"22.903";"22.795";"23.082";"22.141";"21.464";"20.679";"19.715";"17.443";"15.093";"15.736";"14.172";"12.527";"11.645";"10.737";"8.617";"";"1";"2";"";"1";"1";"";"";"1";"1";"";"";"";"2";"";"1";"";"1";"";"1";"2";"1";"";"2";"3";"1";"3";"5";"4";"5";"580";"673";"733";"824";"822";"782";"845";"719";"625";"707";"587";"533";"544";"499";"379";"7.279";"7.381";"8.069";"7.924";"7.561";"7.065";"6.547";"5.727";"4.745";"4.973";"4.388";"3.807";"3.385";"2.997";"2.307";"3.375";"3.314";"3.231";"2.909";"2.846";"2.648";"2.439";"2.133";"1.863";"1.902";"1.763";"1.666";"1.638";"1.531";"1.438";"3.179";"3.155";"3.041";"3.022";"2.997";"3.063";"3.080";"2.887";"2.637";"2.819";"2.776";"2.579";"2.492";"2.395";"1.861";"4.030";"4.164";"4.117";"3.815";"3.661";"3.550";"3.393";"3.085";"2.589";"2.610";"2.385";"2.020";"1.833";"1.728";"1.334";"2.696";"2.439";"2.379";"2.131";"2.068";"1.992";"1.896";"1.623";"1.502";"1.563";"1.323";"1.138";"1.097";"1.020";"852";"1.220";"1.160";"1.103";"1.154";"1.147";"1.178";"1.190";"967";"845";"900";"722";"569";"501";"421";"335";"543";"508";"406";"362";"360";"398";"324";"302";"284";"258";"227";"212";"150";"140";"106";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
" F10.1 Psychische und Verhaltensstörungen durch Alkohol: Schädlicher Gebrauch";"984";"928";"940";"1.042";"1.101";"1.033";"943";"1.003";"877";"859";"979";"1.462";"2.027";"2.190";"2.375";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"2";"";"";"";"";"";"";"";"";"1";"";"";"2";"2";"7";"4";"9";"15";"8";"10";"10";"10";"7";"8";"12";"19";"25";"41";"189";"184";"235";"270";"286";"228";"181";"182";"173";"137";"181";"196";"299";"291";"317";"215";"183";"174";"184";"183";"166";"136";"153";"135";"124";"147";"224";"280";"335";"359";"178";"169";"163";"191";"190";"211";"192";"232";"192";"220";"243";"393";"583";"629";"636";"221";"234";"171";"199";"215";"202";"210";"220";"197";"189";"213";"335";"436";"476";"530";"103";"89";"116";"111";"117";"124";"105";"120";"93";"116";"119";"185";"261";"273";"333";"47";"34";"54";"57";"76";"63";"79";"68";"56";"50";"59";"74";"105";"106";"118";"29";"28";"21";"21";"19";"31";"30";"18";"21";"16";"9";"41";"44";"55";"39";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
" F10.2 Psychische und Verhaltensstörungen durch Alkohol: Abhängigkeitssyndrom";"21.109";"19.918";"19.622";"19.436";"19.377";"19.679";"19.086";"19.982";"19.269";"20.003";"20.806";"21.535";"21.484";"21.704";"21.719";"";"";"3";"";"";"";"";"";"";"";"";"";"";"1";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"3";"2";"4";"3";"2";"";"4";"5";"4";"11";"10";"521";"488";"514";"527";"568";"583";"584";"536";"437";"409";"495";"499";"502";"474";"497";"2.744";"2.586";"2.469";"2.286";"2.314";"2.271";"2.054";"2.051";"2.155";"2.321";"2.513";"2.764";"2.884";"3.215";"3.231";"4.853";"4.702";"4.896";"5.133";"5.359";"5.653";"5.939";"6.283";"6.387";"6.749";"7.584";"7.896";"8.181";"8.323";"8.373";"7.821";"7.252";"7.187";"7.151";"7.026";"6.930";"6.763";"7.165";"6.548";"6.673";"6.668";"6.767";"6.446";"6.271";"6.053";"3.943";"3.760";"3.458";"3.192";"3.068";"3.126";"2.765";"2.935";"2.746";"2.879";"2.727";"2.763";"2.730";"2.686";"2.802";"1.068";"966";"957";"992";"913";"989";"873";"892";"880";"862";"712";"720";"643";"622";"624";"159";"164";"137";"155";"126";"125";"104";"117";"114";"110";"103";"120";"94";"100";"127";"";"";"";"";"";"";"";"";"";"";"";"1";"";"1";"";
" F10.3 Psychische und Verhaltensstörungen durch Alkohol: Entzugssyndrom";"7.057";"7.789";"7.347";"7.475";"7.189";"6.822";"6.520";"5.333";"5.211";"4.458";"3.900";"3.401";"3.120";"2.987";"1.931";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"127";"144";"112";"144";"128";"130";"110";"85";"91";"70";"61";"42";"36";"30";"22";"866";"944";"816";"797";"698";"593";"586";"503";"506";"420";"360";"353";"371";"384";"255";"1.618";"1.773";"1.758";"1.825";"1.812";"1.937";"1.894";"1.600";"1.595";"1.462";"1.330";"1.230";"1.190";"1.157";"725";"2.443";"2.853";"2.787";"2.833";"2.756";"2.475";"2.342";"1.934";"1.815";"1.471";"1.330";"1.097";"892";"867";"559";"1.469";"1.543";"1.343";"1.345";"1.254";"1.181";"1.081";"869";"841";"727";"596";"481";"484";"413";"295";"451";"473";"444";"453";"481";"454";"445";"306";"343";"280";"195";"178";"129";"110";"59";"83";"59";"87";"78";"60";"51";"62";"36";"20";"28";"28";"20";"18";"26";"16";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
" F10.4 Psychische und Verhaltensstörungen durch Alkohol: Entzugssyndrom mit Delir";"876";"1.039";"1.017";"1.080";"1.084";"1.259";"1.367";"1.352";"1.448";"1.418";"1.554";"1.405";"1.567";"1.764";"1.238";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"1";"";"";"";"1";"1";"3";"1";"4";"9";"7";"14";"11";"17";"10";"7";"13";"9";"12";"14";"22";"21";"18";"81";"83";"66";"80";"81";"78";"88";"93";"78";"81";"122";"107";"150";"156";"140";"147";"189";"172";"201";"205";"293";"297";"350";"388";"361";"438";"380";"465";"573";"384";"265";"329";"348";"396";"371";"417";"436";"448";"450";"500";"505";"480";"486";"526";"359";"225";"243";"217";"229";"236";"255";"308";"276";"305";"295";"323";"272";"304";"343";"212";"115";"134";"160";"126";"138";"156";"177";"146";"174";"145";"127";"103";"114";"107";"97";"39";"52";"46";"34";"42";"43";"51";"31";"40";"27";"27";"48";"25";"35";"27";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
