

Kopieren Sie folgende Adresse und fügen Sie sie in Ihren Browser ein, um diese gestaltbare Tabelle erneut aufzurufen. (Der Link ist 7 Tage gültig.)
http://www.gbe-bund.de/gbe10/i?i=702:21132444D
 
Diagnosedaten der Krankenhäuser ab 2000 (Fälle, Berechnungs- und Belegungstage, durchschnittliche Verweildauer). Gliederungsmerkmale: Jahre, Behandlungsort, Alter, Geschlecht, Verweildauer                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
****************************************************************************************************
                                                                                                    
Diese Tabelle bezieht sich auf:
Behandlungsort:;Hessen
Geschlecht:;Beide Geschlechter
Verweildauer:;alle Fälle
Sachverhalt:;Fälle
""
;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;" Alle Altersgruppen";;;;;;;;;;;;;;;" Unter 1 Jahr";;;;;;;;;;;;;;;" 1 Jahr bis unter 5 Jahre";;;;;;;;;;;;;;;" 5 bis unter 15 Jahre";;;;;;;;;;;;;;;" 15 bis unter 25 Jahre";;;;;;;;;;;;;;;" 25 bis unter 35 Jahre";;;;;;;;;;;;;;;" 35 bis unter 45 Jahre";;;;;;;;;;;;;;;" 45 bis unter 55 Jahre";;;;;;;;;;;;;;;" 55 bis unter 65 Jahre";;;;;;;;;;;;;;;" 65 bis unter 75 Jahre";;;;;;;;;;;;;;;" 75 Jahre und älter";;;;;;;;;;;;;;;" Unbekannt";;;;;;;;;;;;;;;
;" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";
" F10-F19 Psychische und Verhaltensstörungen durch psychotrope Substanzen";"30.609";"30.283";"30.428";"29.742";"29.976";"30.593";"29.770";"27.857";"27.007";"27.098";"26.036";"26.443";"25.741";"25.727";"24.375";"11";"1";"";"1";"";"2";"2";"1";"";"2";"2";"5";"7";"6";"19";"2";"3";"1";"";"1";"8";"1";"2";"1";"2";"3";"3";"8";"10";"18";"249";"266";"330";"346";"293";"310";"325";"276";"231";"234";"241";"240";"190";"201";"220";"3.589";"3.791";"3.881";"3.784";"3.755";"3.810";"3.770";"3.513";"3.421";"3.588";"3.516";"3.557";"3.588";"3.648";"3.629";"5.558";"5.640";"5.622";"5.414";"5.618";"5.689";"5.600";"5.278";"5.124";"5.070";"4.838";"5.234";"5.241";"5.533";"5.351";"6.745";"6.763";"6.585";"6.776";"7.254";"8.017";"7.704";"7.491";"7.456";"7.693";"7.503";"7.813";"7.552";"7.667";"7.085";"8.456";"8.105";"8.393";"8.016";"7.965";"7.788";"7.629";"6.812";"6.581";"6.428";"6.183";"5.850";"5.440";"5.083";"4.568";"4.230";"4.053";"3.984";"3.793";"3.471";"3.351";"3.263";"2.972";"2.781";"2.691";"2.503";"2.608";"2.611";"2.456";"2.451";"1.303";"1.245";"1.204";"1.246";"1.269";"1.263";"1.143";"1.235";"1.119";"1.085";"1.004";"850";"849";"828";"746";"466";"416";"428";"366";"350";"355";"333";"277";"292";"305";"243";"282";"254";"284";"288";"";"";"";"";"";"";"";"";"1";"";"";"1";"1";"11";"";
" F10 Psychische und Verhaltensstörungen durch Alkohol";"21.815";"21.579";"22.059";"21.375";"21.103";"21.550";"21.081";"19.609";"18.538";"18.805";"18.025";"18.099";"17.379";"16.730";"15.682";"11";"1";"";"";"";"";"";"";"";"";"";"1";"3";"";"6";"2";"";"1";"";"";"2";"";"";"";"2";"";"2";"5";"4";"3";"210";"229";"304";"315";"266";"286";"305";"266";"216";"216";"225";"203";"173";"159";"186";"2.135";"2.331";"2.559";"2.447";"2.333";"2.318";"2.232";"1.967";"1.662";"1.595";"1.426";"1.327";"1.197";"1.121";"1.036";"2.636";"2.689";"2.687";"2.352";"2.252";"2.230";"2.165";"2.061";"1.842";"1.947";"1.865";"2.041";"2.002";"1.957";"1.968";"4.388";"4.433";"4.341";"4.572";"4.838";"5.456";"5.398";"5.284";"5.282";"5.601";"5.579";"5.877";"5.728";"5.799";"5.290";"7.164";"6.840";"7.191";"6.860";"6.844";"6.750";"6.688";"5.966";"5.776";"5.706";"5.535";"5.270";"4.913";"4.526";"4.114";"3.794";"3.670";"3.642";"3.473";"3.197";"3.120";"3.029";"2.770";"2.581";"2.523";"2.332";"2.425";"2.453";"2.275";"2.270";"1.144";"1.090";"1.063";"1.114";"1.119";"1.132";"1.029";"1.124";"995";"991";"912";"762";"737";"712";"652";"331";"296";"271";"242";"254";"256";"235";"171";"183";"224";"151";"190";"168";"166";"157";"";"";"";"";"";"";"";"";"1";"";"";"1";"";"11";"";
" F10.0 Psychische und Verhaltensstörungen durch Alkohol: Akute Intoxikation";"6.870";"6.835";"7.332";"6.914";"6.712";"6.732";"6.299";"5.685";"5.316";"5.614";"5.259";"4.825";"4.125";"3.988";"3.690";"11";"1";"";"";"";"";"";"";"";"";"";"";"2";"";"5";"2";"";"1";"";"";"2";"";"";"";"2";"";"2";"5";"4";"3";"206";"224";"296";"305";"259";"278";"290";"255";"215";"216";"215";"198";"168";"145";"156";"1.769";"1.912";"2.142";"2.035";"1.924";"1.902";"1.832";"1.606";"1.377";"1.341";"1.171";"1.094";"942";"844";"749";"862";"941";"953";"791";"777";"753";"682";"677";"581";"668";"618";"616";"544";"582";"545";"1.090";"1.057";"1.068";"1.069";"1.129";"1.219";"1.168";"1.095";"1.167";"1.299";"1.300";"1.218";"1.047";"1.056";"972";"1.575";"1.438";"1.568";"1.540";"1.500";"1.426";"1.325";"1.130";"1.079";"1.105";"1.120";"981";"759";"717";"711";"863";"807";"854";"765";"687";"707";"627";"525";"547";"553";"519";"450";"430";"417";"349";"339";"311";"335";"297";"308";"325";"271";"335";"275";"331";"262";"217";"168";"180";"157";"153";"144";"115";"112";"128";"120";"104";"62";"75";"99";"54";"48";"60";"42";"43";"";"";"";"";"";"";"";"";"";"";"";"1";"";"1";"";
" F10.1 Psychische und Verhaltensstörungen durch Alkohol: Schädlicher Gebrauch";"345";"372";"426";"422";"476";"482";"377";"410";"337";"289";"346";"467";"511";"669";"847";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"1";"4";"8";"6";"5";"7";"10";"1";"";"6";"3";"3";"12";"23";"55";"80";"92";"97";"108";"105";"76";"69";"47";"39";"55";"59";"59";"97";"112";"78";"50";"70";"62";"73";"69";"55";"48";"49";"49";"50";"67";"64";"87";"101";"63";"66";"63";"70";"87";"107";"84";"97";"83";"68";"90";"136";"142";"204";"232";"79";"84";"105";"93";"107";"96";"80";"101";"92";"72";"79";"103";"124";"144";"188";"36";"61";"53";"55";"58";"51";"50";"51";"41";"36";"40";"57";"84";"79";"122";"20";"14";"27";"30";"29";"41";"19";"26";"18";"17";"21";"28";"28";"33";"51";"10";"16";"12";"7";"8";"8";"6";"8";"5";"8";"5";"13";"7";"13";"18";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";
" F10.2 Psychische und Verhaltensstörungen durch Alkohol: Abhängigkeitssyndrom";"9.454";"9.348";"9.307";"8.807";"8.840";"8.796";"8.985";"8.781";"8.270";"8.254";"7.566";"8.139";"8.241";"8.072";"7.845";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"4";"2";"2";"";"";"6";"1";"";"";"3";"";"";"2";"2";"205";"228";"218";"205";"205";"214";"220";"216";"176";"156";"140";"112";"135";"115";"109";"1.164";"1.192";"1.135";"988";"919";"897";"926";"926";"844";"840";"768";"942";"950";"937";"1.004";"2.106";"2.171";"2.158";"2.225";"2.301";"2.595";"2.666";"2.751";"2.724";"2.845";"2.697";"3.040";"3.122";"3.252";"3.038";"3.661";"3.507";"3.617";"3.369";"3.441";"3.221";"3.319";"3.107";"2.961";"2.892";"2.650";"2.648";"2.622";"2.392";"2.294";"1.815";"1.767";"1.725";"1.556";"1.537";"1.411";"1.439";"1.336";"1.161";"1.161";"993";"1.107";"1.108";"1.051";"1.130";"422";"420";"385";"399";"393";"407";"358";"399";"357";"315";"281";"250";"275";"265";"225";"81";"59";"67";"63";"44";"51";"51";"45";"47";"45";"34";"40";"29";"58";"42";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
" F10.3 Psychische und Verhaltensstörungen durch Alkohol: Entzugssyndrom";"4.285";"4.103";"4.003";"4.032";"3.822";"4.210";"4.226";"3.406";"3.154";"3.148";"3.304";"3.083";"2.790";"2.244";"1.404";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"86";"86";"83";"77";"73";"77";"80";"49";"43";"44";"46";"35";"36";"26";"13";"477";"435";"460";"432";"399";"420";"426";"337";"293";"320";"344";"313";"313";"232";"151";"1.000";"980";"911";"999";"1.069";"1.254";"1.271";"1.070";"994";"1.064";"1.124";"1.091";"1.011";"824";"507";"1.608";"1.546";"1.571";"1.500";"1.379";"1.604";"1.577";"1.215";"1.134";"1.145";"1.185";"1.084";"898";"729";"410";"850";"797";"755";"797";"665";"662";"658";"544";"499";"424";"416";"439";"420";"336";"263";"223";"224";"187";"207";"207";"168";"188";"175";"170";"130";"169";"99";"99";"77";"52";"41";"35";"36";"20";"30";"25";"26";"16";"21";"21";"20";"22";"12";"11";"8";"";"";"";"";"";"";"";"";"";"";"";"";"";"9";"";
" F10.4 Psychische und Verhaltensstörungen durch Alkohol: Entzugssyndrom mit Delir";"490";"514";"550";"702";"684";"781";"690";"743";"867";"889";"975";"940";"1.033";"1.054";"1.058";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"1";"1";"";"";"2";"4";"4";"5";"4";"5";"9";"4";"9";"8";"6";"15";"11";"6";"10";"33";"33";"34";"44";"40";"60";"41";"47";"49";"50";"59";"68";"97";"78";"91";"95";"119";"93";"151";"160";"201";"146";"191";"233";"249";"276";"291";"281";"327";"372";"164";"166";"218";"237";"260";"259";"252";"247";"321";"321";"339";"274";"334";"365";"301";"110";"135";"126";"166";"129";"157";"139";"161";"167";"165";"190";"182";"211";"202";"200";"65";"45";"58";"81";"72";"80";"79";"79";"71";"76";"90";"80";"80";"62";"67";"21";"12";"17";"18";"19";"18";"24";"14";"17";"20";"15";"29";"18";"13";"17";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";
