

Kopieren Sie folgende Adresse und fügen Sie sie in Ihren Browser ein, um diese gestaltbare Tabelle erneut aufzurufen. (Der Link ist 7 Tage gültig.)
http://www.gbe-bund.de/gbe10/i?i=702:21132444D
 
Diagnosedaten der Krankenhäuser ab 2000 (Fälle, Berechnungs- und Belegungstage, durchschnittliche Verweildauer). Gliederungsmerkmale: Jahre, Behandlungsort, Alter, Geschlecht, Verweildauer                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
****************************************************************************************************
                                                                                                    
Diese Tabelle bezieht sich auf:
Behandlungsort:;Mecklenburg-Vorpommern
Geschlecht:;Beide Geschlechter
Verweildauer:;alle Fälle
Sachverhalt:;Fälle
""
;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;" Alle Altersgruppen";;;;;;;;;;;;;;;" Unter 1 Jahr";;;;;;;;;;;;;;;" 1 Jahr bis unter 5 Jahre";;;;;;;;;;;;;;;" 5 bis unter 15 Jahre";;;;;;;;;;;;;;;" 15 bis unter 25 Jahre";;;;;;;;;;;;;;;" 25 bis unter 35 Jahre";;;;;;;;;;;;;;;" 35 bis unter 45 Jahre";;;;;;;;;;;;;;;" 45 bis unter 55 Jahre";;;;;;;;;;;;;;;" 55 bis unter 65 Jahre";;;;;;;;;;;;;;;" 65 bis unter 75 Jahre";;;;;;;;;;;;;;;" 75 Jahre und älter";;;;;;;;;;;;;;;" Unbekannt";;;;;;;;;;;;;;;
;" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";
" F10-F19 Psychische und Verhaltensstörungen durch psychotrope Substanzen";"11.181";"11.083";"11.313";"11.394";"11.570";"11.888";"11.869";"11.350";"10.912";"11.023";"10.421";"10.870";"10.949";"11.399";"11.474";"";"";"";"";"";"1";"";"1";"1";"1";"1";"2";"1";"";"";"";"";"";"";"";"2";"3";"";"1";"2";"1";"3";"";"4";"2";"95";"112";"104";"78";"99";"109";"92";"87";"91";"102";"101";"106";"91";"108";"117";"882";"953";"1.060";"1.185";"1.253";"1.267";"1.413";"1.436";"1.433";"1.517";"1.451";"1.357";"1.371";"1.316";"1.211";"1.847";"1.680";"1.866";"1.780";"1.779";"1.539";"1.489";"1.340";"1.217";"1.212";"1.156";"1.288";"1.255";"1.472";"1.547";"2.078";"2.033";"2.012";"2.066";"2.344";"2.675";"3.100";"3.135";"3.223";"3.480";"3.473";"3.894";"4.133";"4.527";"4.735";"3.646";"3.789";"3.937";"4.017";"4.135";"4.310";"3.921";"3.760";"3.473";"3.323";"2.959";"2.932";"2.822";"2.605";"2.436";"2.074";"1.979";"1.835";"1.752";"1.461";"1.437";"1.300";"1.062";"928";"894";"867";"894";"869";"978";"1.094";"402";"392";"349";"383";"392";"444";"443";"453";"452";"419";"341";"351";"358";"339";"290";"157";"145";"150";"133";"107";"104";"108";"76";"93";"73";"71";"43";"49";"50";"41";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";
" F10 Psychische und Verhaltensstörungen durch Alkohol";"9.729";"9.840";"10.042";"10.015";"10.263";"10.665";"10.632";"10.184";"9.660";"9.759";"9.125";"9.580";"9.769";"10.211";"10.346";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"2";"";"78";"97";"90";"65";"91";"104";"84";"83";"75";"88";"89";"84";"67";"79";"97";"472";"570";"676";"714";"808";"813";"908";"917";"815";"817";"714";"621";"582";"562";"478";"1.304";"1.244";"1.400";"1.282";"1.326";"1.155";"1.141";"1.006";"931";"954";"925";"1.076";"1.107";"1.303";"1.417";"1.879";"1.891";"1.907";"1.958";"2.198";"2.541";"2.955";"3.021";"3.099";"3.374";"3.338";"3.760";"4.031";"4.417";"4.611";"3.522";"3.678";"3.780";"3.874";"3.993";"4.194";"3.817";"3.654";"3.375";"3.228";"2.886";"2.841";"2.769";"2.548";"2.378";"1.987";"1.900";"1.770";"1.693";"1.404";"1.383";"1.248";"1.027";"893";"863";"817";"850";"843";"950";"1.062";"376";"352";"310";"346";"360";"406";"402";"420";"423";"386";"316";"322";"335";"317";"271";"111";"108";"109";"83";"83";"69";"77";"56";"49";"48";"40";"26";"35";"33";"31";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";
" F10.0 Psychische und Verhaltensstörungen durch Alkohol: Akute Intoxikation";"2.648";"2.705";"2.631";"2.559";"2.556";"2.544";"2.366";"2.481";"2.199";"2.154";"1.782";"1.459";"1.041";"1.050";"952";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"75";"90";"88";"62";"86";"99";"83";"80";"69";"88";"86";"76";"62";"62";"90";"369";"414";"498";"487";"541";"553";"568";"625";"558";"544";"488";"359";"311";"274";"219";"372";"350";"382";"354";"331";"302";"275";"245";"254";"220";"205";"172";"119";"117";"125";"439";"437";"400";"406";"429";"421";"494";"554";"474";"525";"436";"413";"267";"313";"321";"799";"817";"748";"756";"746";"758";"616";"658";"577";"512";"370";"308";"186";"164";"108";"451";"448";"396";"366";"289";"276";"230";"203";"145";"147";"125";"89";"60";"86";"70";"102";"105";"87";"98";"100";"115";"79";"102";"101";"97";"61";"38";"30";"30";"16";"41";"44";"32";"30";"34";"20";"21";"14";"21";"21";"11";"4";"6";"3";"3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
" F10.1 Psychische und Verhaltensstörungen durch Alkohol: Schädlicher Gebrauch";"112";"123";"115";"97";"136";"137";"143";"147";"113";"117";"130";"165";"173";"286";"229";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"2";"1";"";"3";"5";"5";"1";"3";"3";"";"2";"5";"3";"6";"1";"10";"23";"15";"21";"26";"33";"41";"28";"25";"22";"31";"49";"50";"37";"39";"15";"23";"23";"19";"23";"19";"16";"20";"8";"14";"22";"14";"19";"46";"38";"23";"19";"24";"5";"26";"18";"28";"35";"32";"33";"28";"48";"61";"109";"75";"30";"25";"32";"28";"31";"43";"32";"34";"28";"22";"29";"26";"26";"58";"33";"20";"22";"12";"12";"15";"11";"11";"16";"9";"16";"8";"13";"8";"17";"28";"9";"6";"6";"5";"9";"8";"13";"8";"8";"10";"7";"9";"6";"7";"13";"3";"4";"3";"4";"1";"";"1";"3";"";"";"3";"1";"";"5";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
" F10.2 Psychische und Verhaltensstörungen durch Alkohol: Abhängigkeitssyndrom";"3.942";"3.990";"3.991";"4.070";"4.327";"4.749";"4.836";"4.366";"3.859";"4.020";"3.654";"3.814";"3.878";"3.211";"3.556";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"";"";"1";"";"";"";"64";"86";"109";"158";"183";"164";"199";"172";"147";"155";"124";"117";"108";"114";"102";"586";"545";"621";"557";"652";"527";"537";"447";"373";"407";"355";"449";"444";"447";"490";"805";"845";"802";"886";"993";"1.249";"1.459";"1.433";"1.420";"1.509";"1.463";"1.576";"1.691";"1.473";"1.679";"1.513";"1.622";"1.636";"1.626";"1.792";"2.022";"1.922";"1.738";"1.448";"1.475";"1.296";"1.221";"1.162";"849";"861";"830";"756";"696";"711";"583";"636";"566";"428";"355";"354";"319";"329";"329";"233";"328";"118";"117";"96";"111";"111";"129";"131";"135";"107";"110";"91";"115";"138";"89";"87";"26";"19";"31";"21";"13";"22";"22";"13";"7";"10";"6";"6";"6";"6";"8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";
" F10.3 Psychische und Verhaltensstörungen durch Alkohol: Entzugssyndrom";"2.443";"2.470";"2.708";"2.726";"2.613";"2.463";"2.457";"2.366";"2.457";"2.367";"2.488";"2.907";"3.235";"3.135";"3.746";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"6";"";"";"";"";"";"";"";"";"1";"1";"1";"";"";"27";"46";"47";"38";"50";"56";"88";"80";"75";"78";"60";"72";"82";"63";"83";"294";"297";"342";"319";"286";"271";"277";"243";"236";"257";"274";"348";"394";"442";"577";"531";"513";"587";"581";"634";"672";"764";"765";"881";"919";"1.001";"1.266";"1.469";"1.416";"1.750";"970";"1.007";"1.136";"1.207";"1.156";"1.050";"940";"921";"938";"834";"855";"892";"929";"862";"887";"518";"520";"506";"493";"396";"327";"284";"262";"229";"190";"208";"239";"273";"277";"367";"81";"59";"65";"74";"81";"76";"89";"89";"92";"83";"80";"83";"79";"69";"74";"22";"22";"25";"14";"10";"11";"15";"6";"6";"6";"9";"6";"8";"6";"8";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
" F10.4 Psychische und Verhaltensstörungen durch Alkohol: Entzugssyndrom mit Delir";"357";"371";"366";"370";"428";"588";"601";"627";"695";"809";"814";"967";"1.127";"1.304";"1.431";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"2";"3";"4";"3";"7";"6";"4";"13";"3";"14";"17";"18";"10";"22";"19";"19";"18";"25";"30";"28";"41";"48";"45";"59";"81";"109";"128";"159";"59";"67";"63";"63";"95";"155";"159";"186";"224";"306";"341";"382";"443";"554";"638";"136";"151";"156";"181";"173";"245";"230";"244";"269";"305";"250";"314";"379";"362";"380";"96";"93";"91";"69";"80";"97";"111";"91";"91";"86";"102";"127";"126";"180";"192";"33";"32";"27";"28";"33";"50";"56";"49";"54";"47";"50";"45";"46";"57";"50";"11";"8";"8";"8";"18";"8";"10";"10";"5";"6";"9";"4";"7";"5";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
