

Kopieren Sie folgende Adresse und fügen Sie sie in Ihren Browser ein, um diese gestaltbare Tabelle erneut aufzurufen. (Der Link ist 7 Tage gültig.)
http://www.gbe-bund.de/gbe10/i?i=702:21132444D
 
Diagnosedaten der Krankenhäuser ab 2000 (Fälle, Berechnungs- und Belegungstage, durchschnittliche Verweildauer). Gliederungsmerkmale: Jahre, Behandlungsort, Alter, Geschlecht, Verweildauer                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
****************************************************************************************************
                                                                                                    
Diese Tabelle bezieht sich auf:
Behandlungsort:;Nordrhein-Westfalen
Geschlecht:;Beide Geschlechter
Verweildauer:;alle Fälle
Sachverhalt:;Fälle
""
;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;" Alle Altersgruppen";;;;;;;;;;;;;;;" Unter 1 Jahr";;;;;;;;;;;;;;;" 1 Jahr bis unter 5 Jahre";;;;;;;;;;;;;;;" 5 bis unter 15 Jahre";;;;;;;;;;;;;;;" 15 bis unter 25 Jahre";;;;;;;;;;;;;;;" 25 bis unter 35 Jahre";;;;;;;;;;;;;;;" 35 bis unter 45 Jahre";;;;;;;;;;;;;;;" 45 bis unter 55 Jahre";;;;;;;;;;;;;;;" 55 bis unter 65 Jahre";;;;;;;;;;;;;;;" 65 bis unter 75 Jahre";;;;;;;;;;;;;;;" 75 Jahre und älter";;;;;;;;;;;;;;;" Unbekannt";;;;;;;;;;;;;;;
;" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";
" F10-F19 Psychische und Verhaltensstörungen durch psychotrope Substanzen";"104.653";"103.603";"104.972";"104.528";"102.322";"104.062";"103.414";"98.786";"94.109";"92.295";"89.026";"89.352";"89.000";"88.316";"88.757";"5";"2";"27";"5";"13";"10";"6";"5";"4";"16";"7";"20";"15";"21";"51";"7";"12";"26";"7";"9";"8";"11";"5";"11";"39";"15";"12";"19";"33";"42";"888";"845";"1.101";"1.201";"1.070";"1.196";"1.151";"1.002";"871";"824";"678";"655";"691";"651";"585";"13.230";"12.958";"13.823";"13.873";"13.591";"13.522";"13.339";"12.653";"11.353";"10.806";"10.147";"10.220";"10.602";"10.950";"10.899";"17.366";"17.254";"17.404";"17.458";"17.318";"17.928";"17.598";"16.963";"16.473";"16.451";"15.777";"16.579";"17.220";"17.521";"18.320";"22.967";"23.145";"23.907";"24.268";"24.505";"26.398";"27.145";"26.481";"26.294";"26.495";"26.609";"27.160";"26.709";"26.663";"27.593";"28.604";"29.154";"29.008";"28.940";"28.360";"27.784";"27.389";"25.802";"24.164";"22.790";"21.895";"21.060";"19.819";"18.851";"17.485";"15.740";"14.545";"14.133";"12.919";"11.659";"11.412";"11.101";"10.259";"9.581";"9.485";"8.920";"8.857";"9.081";"9.374";"9.674";"4.195";"4.166";"4.133";"4.413";"4.511";"4.668";"4.496";"4.468";"4.256";"4.206";"3.897";"3.712";"3.585";"3.214";"3.109";"1.651";"1.522";"1.410";"1.444";"1.286";"1.136";"1.178";"1.148";"1.102";"1.183";"1.081";"1.077";"1.259";"1.038";"999";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
" F10 Psychische und Verhaltensstörungen durch Alkohol";"75.264";"75.010";"77.549";"76.518";"74.090";"76.146";"75.461";"71.991";"68.082";"66.482";"65.075";"64.657";"64.556";"63.346";"63.891";"1";"";"21";"1";"2";"3";"4";"1";"";"";"1";"4";"2";"7";"5";"3";"4";"19";"1";"2";"1";"4";"1";"3";"2";"5";"1";"6";"10";"12";"698";"685";"960";"1.070";"970";"1.094";"1.080";"935";"793";"700";"569";"559";"575";"545";"467";"7.933";"7.956";"9.043";"8.863";"8.447";"8.515";"8.030";"7.305";"6.033";"5.270";"4.606";"4.197";"4.192";"3.991";"3.528";"8.090";"7.881";"8.150";"7.932";"7.362";"7.806";"7.382";"6.817";"6.400";"6.431";"6.592";"6.912";"7.378";"7.725";"8.461";"14.758";"15.062";"16.110";"16.302";"16.507";"18.349";"19.209";"19.143";"19.345";"19.827";"20.586";"21.133";"21.283";"21.310";"22.630";"24.156";"25.006";"25.260";"25.246";"24.874";"24.553";"24.348";"23.232";"21.840";"20.667";"20.030";"19.384";"18.388";"17.382";"16.289";"14.494";"13.436";"13.140";"12.019";"10.840";"10.692";"10.413";"9.638";"8.976";"8.908";"8.381";"8.351";"8.568";"8.797";"9.094";"3.838";"3.775";"3.773";"3.998";"4.115";"4.282";"4.133";"4.106";"3.900";"3.849";"3.566";"3.362";"3.245";"2.865";"2.752";"1.293";"1.205";"1.073";"1.086";"971";"851";"858";"813";"792";"828";"739";"754";"919";"714";"653";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
" F10.0 Psychische und Verhaltensstörungen durch Alkohol: Akute Intoxikation";"25.129";"24.794";"26.470";"25.183";"25.437";"25.276";"23.430";"21.174";"18.385";"18.305";"17.257";"15.443";"14.353";"14.507";"14.257";"1";"";"21";"1";"2";"2";"4";"1";"";"";"";"2";"";"2";"2";"3";"4";"19";"";"2";"1";"4";"1";"3";"2";"4";"1";"5";"9";"10";"685";"669";"934";"1.033";"950";"1.063";"1.054";"905";"768";"683";"550";"520";"474";"470";"403";"6.805";"6.814";"7.834";"7.606";"7.239";"7.339";"6.756";"6.090";"4.919";"4.320";"3.588";"3.124";"2.990";"2.816";"2.385";"2.973";"2.858";"2.874";"2.787";"2.727";"2.814";"2.534";"2.257";"1.985";"1.936";"1.957";"1.872";"1.813";"1.970";"2.118";"3.696";"3.743";"4.043";"3.837";"4.007";"4.314";"4.123";"3.909";"3.636";"4.037";"4.162";"3.883";"3.692";"3.969";"4.176";"5.637";"5.752";"5.690";"5.357";"5.900";"5.429";"4.969";"4.514";"3.932";"4.092";"3.971";"3.386";"2.982";"2.882";"2.700";"3.529";"3.221";"3.322";"2.769";"2.739";"2.504";"2.337";"2.023";"1.774";"1.825";"1.807";"1.678";"1.545";"1.545";"1.669";"1.221";"1.174";"1.229";"1.327";"1.418";"1.408";"1.292";"1.167";"1.067";"1.072";"942";"747";"663";"631";"599";"579";"559";"504";"466";"453";"402";"357";"307";"301";"338";"276";"230";"189";"213";"195";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
" F10.1 Psychische und Verhaltensstörungen durch Alkohol: Schädlicher Gebrauch";"851";"852";"964";"1.063";"968";"1.004";"996";"1.057";"1.000";"890";"1.055";"1.722";"2.523";"2.437";"2.550";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"1";"7";"13";"17";"27";"10";"23";"16";"19";"16";"10";"11";"33";"36";"48";"32";"142";"158";"202";"224";"201";"193";"203";"192";"161";"123";"166";"194";"268";"287";"248";"143";"118";"131";"139";"132";"133";"137";"148";"140";"116";"141";"228";"348";"328";"366";"144";"171";"144";"195";"192";"192";"190";"219";"223";"228";"256";"434";"716";"669";"747";"185";"186";"217";"231";"235";"240";"222";"245";"239";"219";"254";"441";"636";"591";"588";"124";"123";"156";"139";"112";"140";"122";"122";"109";"100";"122";"240";"311";"318";"383";"63";"54";"67";"78";"59";"68";"72";"84";"83";"76";"76";"110";"164";"152";"126";"43";"29";"30";"29";"27";"15";"34";"28";"29";"18";"29";"42";"44";"44";"58";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
" F10.2 Psychische und Verhaltensstörungen durch Alkohol: Abhängigkeitssyndrom";"39.448";"40.074";"39.595";"38.871";"36.193";"38.216";"39.699";"38.616";"36.270";"34.043";"33.675";"33.923";"33.453";"32.116";"34.208";"";"";"";"";"";"1";"";"";"";"";"1";"2";"2";"3";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"4";"2";"4";"7";"3";"4";"5";"7";"5";"7";"3";"3";"8";"15";"14";"830";"833";"833";"858";"859";"813";"911";"847";"775";"673";"654";"671";"695";"611";"648";"4.199";"4.202";"4.267";"4.090";"3.632";"4.021";"3.918";"3.660";"3.329";"3.401";"3.427";"3.695";"3.910";"4.019";"4.603";"8.970";"9.362";"9.775";"9.816";"9.760";"11.014";"11.970";"12.129";"12.071";"11.717";"12.202";"12.555";"12.487";"12.217";"13.432";"14.927";"15.702";"15.550";"15.543";"14.367";"14.685";"15.156";"14.535";"13.308";"11.878";"11.386";"11.171";"10.521";"9.610";"9.514";"8.423";"7.934";"7.333";"6.702";"5.808";"5.843";"5.857";"5.564";"4.976";"4.694";"4.387";"4.237";"4.315";"4.368";"4.697";"1.727";"1.716";"1.575";"1.586";"1.548";"1.650";"1.654";"1.664";"1.596";"1.472";"1.421";"1.390";"1.331";"1.085";"1.114";"368";"323";"258";"269";"216";"185";"228";"210";"210";"201";"193";"199";"184";"188";"186";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
" F10.3 Psychische und Verhaltensstörungen durch Alkohol: Entzugssyndrom";"6.820";"6.395";"7.380";"7.970";"7.784";"7.608";"7.064";"6.800";"7.857";"8.285";"7.807";"7.287";"6.668";"5.486";"5.028";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"2";"3";"3";"107";"102";"108";"122";"98";"99";"79";"100";"118";"115";"118";"100";"82";"93";"73";"620";"564";"709";"708";"664";"607";"556";"532";"710";"724";"782";"682";"708";"654";"644";"1.537";"1.378";"1.700";"1.955";"1.965";"2.114";"2.032";"2.041";"2.428";"2.719";"2.709";"2.622";"2.446";"1.927";"1.971";"2.459";"2.492";"2.813";"3.008";"3.106";"2.887";"2.622";"2.514";"2.907";"3.016";"2.704";"2.511";"2.137";"1.690";"1.400";"1.586";"1.369";"1.491";"1.549";"1.355";"1.303";"1.258";"1.038";"1.156";"1.181";"1.006";"938";"918";"824";"688";"401";"385";"459";"510";"519";"528";"444";"508";"469";"473";"431";"393";"332";"251";"217";"110";"105";"100";"118";"77";"70";"73";"67";"69";"57";"56";"41";"43";"43";"30";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
" F10.4 Psychische und Verhaltensstörungen durch Alkohol: Entzugssyndrom mit Delir";"1.608";"1.558";"1.785";"2.090";"2.214";"2.497";"2.601";"2.663";"2.790";"3.058";"3.514";"3.646";"3.861";"4.153";"4.056";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"1";"1";"1";"";"";"1";"";"";"";"3";"3";"3";"11";"16";"25";"11";"14";"15";"18";"24";"23";"19";"37";"48";"48";"63";"75";"95";"83";"130";"156";"159";"169";"171";"156";"163";"189";"220";"304";"323";"364";"390";"300";"306";"341";"386";"450";"561";"678";"641";"742";"862";"989";"1.081";"1.157";"1.317";"1.305";"585";"531";"609";"777";"811";"892";"938";"1.003";"990";"1.035";"1.271";"1.210";"1.251";"1.296";"1.177";"393";"384";"433";"445";"463";"515";"459";"498";"526";"579";"609";"626";"726";"777";"779";"143";"166";"178";"224";"250";"274";"276";"283";"282";"303";"321";"290";"275";"274";"263";"81";"72";"67";"90";"66";"70";"61";"58";"63";"71";"67";"87";"78";"59";"64";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
