

Kopieren Sie folgende Adresse und fügen Sie sie in Ihren Browser ein, um diese gestaltbare Tabelle erneut aufzurufen. (Der Link ist 7 Tage gültig.)
http://www.gbe-bund.de/gbe10/i?i=702:21132444D
 
Diagnosedaten der Krankenhäuser ab 2000 (Fälle, Berechnungs- und Belegungstage, durchschnittliche Verweildauer). Gliederungsmerkmale: Jahre, Behandlungsort, Alter, Geschlecht, Verweildauer                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
****************************************************************************************************
                                                                                                    
Diese Tabelle bezieht sich auf:
Behandlungsort:;Sachsen-Anhalt
Geschlecht:;Beide Geschlechter
Verweildauer:;alle Fälle
Sachverhalt:;Fälle
""
;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;" Alle Altersgruppen";;;;;;;;;;;;;;;" Unter 1 Jahr";;;;;;;;;;;;;;;" 1 Jahr bis unter 5 Jahre";;;;;;;;;;;;;;;" 5 bis unter 15 Jahre";;;;;;;;;;;;;;;" 15 bis unter 25 Jahre";;;;;;;;;;;;;;;" 25 bis unter 35 Jahre";;;;;;;;;;;;;;;" 35 bis unter 45 Jahre";;;;;;;;;;;;;;;" 45 bis unter 55 Jahre";;;;;;;;;;;;;;;" 55 bis unter 65 Jahre";;;;;;;;;;;;;;;" 65 bis unter 75 Jahre";;;;;;;;;;;;;;;" 75 Jahre und älter";;;;;;;;;;;;;;;" Unbekannt";;;;;;;;;;;;;;;
;" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";
" F10-F19 Psychische und Verhaltensstörungen durch psychotrope Substanzen";"13.314";"12.763";"13.652";"13.487";"13.609";"14.284";"14.192";"14.152";"13.733";"13.380";"12.016";"12.264";"12.129";"13.311";"13.583";"";"";"2";"";"";"";"1";"1";"2";"2";"2";"";"2";"";"";"1";"1";"2";"";"";"";"2";"1";"1";"";"1";"1";"2";"1";"4";"130";"105";"162";"158";"155";"144";"124";"105";"108";"103";"134";"131";"115";"136";"163";"1.598";"1.596";"1.619";"1.615";"1.817";"1.859";"2.011";"2.106";"2.063";"2.031";"1.819";"1.719";"1.527";"1.646";"1.534";"2.308";"2.127";"2.316";"1.993";"1.942";"1.895";"1.797";"1.707";"1.639";"1.534";"1.456";"1.474";"1.541";"1.887";"2.180";"2.292";"2.229";"2.443";"2.610";"2.824";"3.263";"3.561";"3.800";"4.006";"4.173";"3.865";"4.133";"4.397";"4.833";"5.045";"3.929";"4.007";"4.281";"4.380";"4.346";"4.505";"4.354";"4.195";"3.912";"3.677";"3.117";"3.190";"3.095";"3.132";"2.946";"2.270";"1.956";"2.050";"1.919";"1.769";"1.793";"1.608";"1.457";"1.349";"1.272";"1.116";"1.132";"1.046";"1.229";"1.264";"626";"560";"601";"651";"623";"675";"606";"624";"509";"484";"401";"396";"329";"358";"332";"160";"182";"176";"161";"133";"150";"128";"156";"144";"104";"105";"88";"75";"89";"115";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
" F10 Psychische und Verhaltensstörungen durch Alkohol";"11.055";"10.758";"11.786";"11.709";"11.724";"12.624";"12.503";"12.298";"11.780";"11.443";"10.253";"10.626";"10.551";"11.705";"11.919";"";"";"";"";"";"";"1";"1";"1";"1";"1";"";"1";"";"";"";"";"";"";"";"";"1";"";"";"";"1";"";"1";"";"1";"100";"80";"134";"145";"144";"140";"119";"97";"91";"92";"118";"100";"92";"109";"119";"804";"820";"986";"934";"1.030";"1.181";"1.285";"1.170";"1.045";"952";"788";"659";"533";"604";"575";"1.372";"1.366";"1.573";"1.288";"1.243";"1.326";"1.232";"1.172";"1.144";"1.087";"1.084";"1.223";"1.302";"1.683";"1.931";"2.053";"2.040";"2.272";"2.502";"2.701";"3.145";"3.406";"3.659";"3.834";"4.000";"3.709";"4.003";"4.254";"4.690";"4.889";"3.829";"3.905";"4.155";"4.274";"4.238";"4.380";"4.245";"4.095";"3.797";"3.575";"3.030";"3.125";"3.017";"3.060";"2.865";"2.202";"1.894";"1.984";"1.844";"1.697";"1.736";"1.566";"1.397";"1.290";"1.224";"1.069";"1.081";"1.001";"1.176";"1.210";"576";"514";"552";"593";"570";"615";"562";"577";"473";"439";"375";"363";"299";"322";"283";"119";"139";"130";"129";"101";"101";"86";"130";"105";"73";"78";"72";"51";"61";"46";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
" F10.0 Psychische und Verhaltensstörungen durch Alkohol: Akute Intoxikation";"4.143";"3.993";"4.190";"4.319";"4.070";"4.239";"4.372";"3.841";"3.478";"3.322";"2.375";"1.888";"1.478";"1.607";"1.231";"";"";"";"";"";"";"1";"";"1";"1";"1";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"1";"";"";"";"1";"98";"77";"131";"140";"141";"138";"118";"90";"84";"89";"111";"88";"81";"102";"100";"671";"678";"798";"711";"809";"916";"972";"867";"794";"740";"538";"425";"318";"373";"274";"587";"579";"605";"521";"503";"524";"504";"413";"366";"338";"269";"241";"190";"225";"188";"696";"657";"689";"764";"743";"873";"942";"895";"900";"954";"677";"566";"449";"467";"348";"1.181";"1.184";"1.173";"1.273";"1.151";"1.090";"1.146";"942";"801";"737";"485";"353";"268";"265";"180";"646";"569";"562";"600";"481";"457";"439";"385";"326";"294";"177";"128";"112";"117";"105";"195";"175";"165";"238";"191";"202";"211";"193";"152";"139";"95";"64";"47";"48";"26";"69";"74";"67";"72";"51";"39";"38";"56";"54";"30";"21";"23";"13";"10";"9";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
" F10.1 Psychische und Verhaltensstörungen durch Alkohol: Schädlicher Gebrauch";"109";"87";"122";"138";"129";"200";"192";"240";"168";"165";"199";"259";"288";"276";"282";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"1";"1";"3";"5";"3";"2";"";"6";"4";"2";"5";"9";"10";"4";"10";"16";"20";"32";"40";"30";"33";"61";"55";"40";"36";"64";"43";"44";"49";"49";"20";"11";"17";"18";"17";"32";"21";"31";"24";"25";"23";"38";"48";"43";"46";"21";"13";"20";"19";"23";"43";"39";"54";"41";"40";"48";"82";"93";"72";"88";"28";"19";"15";"30";"27";"44";"36";"59";"39";"37";"35";"44";"49";"66";"39";"17";"15";"17";"12";"18";"20";"21";"18";"9";"15";"13";"31";"26";"29";"35";"6";"4";"10";"7";"6";"20";"13";"13";"9";"9";"7";"9";"10";"11";"11";"";"4";"8";"7";"5";"6";"1";"4";"2";"1";"4";"3";"6";"2";"4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
" F10.2 Psychische und Verhaltensstörungen durch Alkohol: Abhängigkeitssyndrom";"3.737";"4.084";"4.641";"4.137";"4.143";"4.710";"4.571";"5.029";"4.848";"3.765";"4.359";"5.199";"4.529";"4.360";"3.843";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"2";"";"";"1";"";"1";"3";"67";"72";"108";"110";"116";"164";"156";"175";"148";"96";"119";"136";"114";"99";"119";"437";"507";"610";"472";"455";"510";"453";"475";"483";"393";"495";"619";"605";"659";"661";"756";"867";"1.004";"1.024";"1.078";"1.294";"1.421";"1.697";"1.730";"1.474";"1.751";"2.116";"1.966";"1.918";"1.688";"1.467";"1.672";"1.826";"1.642";"1.651";"1.861";"1.772";"1.911";"1.785";"1.308";"1.433";"1.671";"1.334";"1.186";"938";"814";"773";"861";"692";"650";"681";"604";"560";"541";"386";"446";"510";"404";"403";"354";"179";"171";"214";"177";"177";"182";"150";"174";"139";"95";"103";"129";"97";"86";"67";"17";"22";"18";"20";"16";"18";"15";"35";"20";"13";"12";"17";"9";"8";"13";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
" F10.3 Psychische und Verhaltensstörungen durch Alkohol: Entzugssyndrom";"2.214";"1.783";"1.965";"2.267";"2.452";"2.203";"2.162";"2.017";"1.923";"1.961";"1.962";"1.965";"2.719";"3.356";"4.151";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"37";"35";"31";"61";"53";"39";"71";"52";"31";"36";"38";"30";"36";"51";"67";"271";"205";"282";"237";"217";"183";"189";"187";"177";"173";"203";"211";"331";"525";"712";"469";"395";"428";"547";"692";"653";"678";"697";"749";"763";"814";"812";"1.218";"1.460";"1.879";"860";"727";"822";"993";"1.055";"920";"852";"770";"684";"705";"639";"663";"865";"949";"1.101";"454";"320";"314";"352";"350";"322";"283";"237";"197";"205";"206";"187";"222";"294";"324";"107";"90";"77";"67";"76";"82";"79";"63";"70";"70";"53";"50";"41";"64";"63";"16";"11";"11";"10";"9";"4";"10";"11";"15";"9";"9";"11";"6";"13";"5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
" F10.4 Psychische und Verhaltensstörungen durch Alkohol: Entzugssyndrom mit Delir";"386";"399";"398";"431";"462";"715";"655";"588";"739";"802";"875";"881";"1.132";"1.597";"1.426";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"1";"";"1";"3";"3";"4";"2";"10";"4";"2";"12";"13";"11";"9";"11";"16";"10";"24";"24";"25";"23";"25";"51";"37";"35";"62";"60";"65";"99";"95";"189";"201";"67";"56";"69";"89";"101";"201";"201";"196";"257";"289";"297";"307";"446";"638";"567";"141";"175";"151";"177";"195";"270";"263";"221";"267";"277";"292";"275";"370";"464";"382";"113";"97";"110";"86";"87";"117";"91";"83";"90";"109";"132";"122";"146";"211";"205";"34";"27";"29";"43";"48";"51";"49";"44";"47";"43";"60";"60";"52";"65";"56";"6";"17";"11";"9";"4";"15";"10";"7";"4";"11";"18";"8";"12";"13";"5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
