

Kopieren Sie folgende Adresse und fügen Sie sie in Ihren Browser ein, um diese gestaltbare Tabelle erneut aufzurufen. (Der Link ist 7 Tage gültig.)
http://www.gbe-bund.de/gbe10/i?i=702:21132444D
 
Diagnosedaten der Krankenhäuser ab 2000 (Fälle, Berechnungs- und Belegungstage, durchschnittliche Verweildauer). Gliederungsmerkmale: Jahre, Behandlungsort, Alter, Geschlecht, Verweildauer                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
****************************************************************************************************
                                                                                                    
Diese Tabelle bezieht sich auf:
Behandlungsort:;Schleswig-Holstein
Geschlecht:;Beide Geschlechter
Verweildauer:;alle Fälle
Sachverhalt:;Fälle
""
;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;" Alle Altersgruppen";;;;;;;;;;;;;;;" Unter 1 Jahr";;;;;;;;;;;;;;;" 1 Jahr bis unter 5 Jahre";;;;;;;;;;;;;;;" 5 bis unter 15 Jahre";;;;;;;;;;;;;;;" 15 bis unter 25 Jahre";;;;;;;;;;;;;;;" 25 bis unter 35 Jahre";;;;;;;;;;;;;;;" 35 bis unter 45 Jahre";;;;;;;;;;;;;;;" 45 bis unter 55 Jahre";;;;;;;;;;;;;;;" 55 bis unter 65 Jahre";;;;;;;;;;;;;;;" 65 bis unter 75 Jahre";;;;;;;;;;;;;;;" 75 Jahre und älter";;;;;;;;;;;;;;;" Unbekannt";;;;;;;;;;;;;;;
;" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";" 2014";" 2013";" 2012";" 2011";" 2010";" 2009";" 2008";" 2007";" 2006";" 2005";" 2004";" 2003";" 2002";" 2001";" 2000";
" F10-F19 Psychische und Verhaltensstörungen durch psychotrope Substanzen";"18.779";"18.612";"18.905";"18.568";"18.393";"18.770";"19.020";"17.745";"17.388";"17.146";"16.594";"16.672";"17.459";"17.578";"13.191";"1";"";"";"";"";"";"1";"";"1";"5";"";"1";"1";"2";"8";"";"";"";"";"";"1";"1";"";"1";"2";"";"5";"4";"2";"7";"127";"102";"134";"135";"119";"147";"124";"121";"90";"115";"154";"147";"163";"139";"128";"2.724";"2.694";"2.708";"2.501";"2.564";"2.633";"2.669";"2.635";"2.638";"2.688";"2.600";"2.250";"2.396";"2.477";"1.650";"3.131";"2.973";"3.039";"3.037";"3.001";"2.982";"3.067";"2.819";"2.992";"2.919";"2.863";"2.919";"3.186";"3.435";"2.472";"3.794";"3.824";"3.946";"4.212";"4.443";"4.871";"5.103";"4.949";"4.900";"4.937";"4.685";"5.044";"5.282";"5.205";"4.055";"5.250";"5.320";"5.388";"5.363";"4.985";"4.902";"4.812";"4.346";"4.137";"3.862";"3.736";"3.728";"3.628";"3.490";"2.593";"2.567";"2.546";"2.492";"2.178";"2.153";"2.078";"2.045";"1.788";"1.616";"1.606";"1.621";"1.727";"1.915";"1.973";"1.605";"864";"831";"912";"872";"860";"925";"969";"901";"829";"831";"763";"677";"706";"653";"530";"321";"322";"286";"270";"268";"231";"229";"186";"184";"181";"172";"174";"176";"202";"143";"";"";"";"";"";"";"";"";"";"";"";"";"2";"";"";
" F10 Psychische und Verhaltensstörungen durch Alkohol";"13.710";"13.481";"14.029";"13.728";"13.300";"13.636";"13.852";"12.823";"11.893";"11.878";"11.815";"12.436";"12.793";"12.501";"10.078";"1";"";"";"";"";"";"";"";"";"3";"";"1";"";"";"2";"";"";"";"";"";"";"1";"";"";"";"";"1";"";"";"";"85";"67";"110";"120";"105";"127";"111";"107";"86";"93";"128";"109";"112";"102";"97";"1.383";"1.359";"1.551";"1.432";"1.401";"1.372";"1.339";"1.288";"1.022";"1.047";"980";"1.041";"910";"721";"620";"1.537";"1.377";"1.457";"1.437";"1.310";"1.328";"1.319";"1.150";"1.126";"1.157";"1.245";"1.413";"1.611";"1.547";"1.327";"2.644";"2.652";"2.800";"2.999";"3.112";"3.485";"3.721";"3.638";"3.494";"3.690";"3.648";"4.032";"4.238";"4.250";"3.497";"4.578";"4.642";"4.736";"4.693";"4.379";"4.387";"4.348";"3.962";"3.729";"3.495";"3.446";"3.455";"3.347";"3.264";"2.435";"2.408";"2.369";"2.317";"2.050";"2.022";"1.941";"1.941";"1.706";"1.539";"1.510";"1.540";"1.645";"1.810";"1.863";"1.520";"799";"764";"842";"797";"778";"832";"909";"829";"761";"761";"709";"620";"645";"614";"488";"275";"251";"216";"200";"193";"164";"163";"143";"136";"122";"119";"119";"120";"140";"92";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
" F10.0 Psychische und Verhaltensstörungen durch Alkohol: Akute Intoxikation";"4.320";"4.097";"4.339";"4.224";"4.073";"4.450";"4.661";"3.842";"3.288";"3.208";"3.113";"3.012";"3.556";"3.609";"2.563";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"1";"";"";"";"70";"62";"101";"113";"102";"118";"110";"98";"82";"90";"125";"95";"101";"89";"83";"1.028";"1.075";"1.210";"1.085";"1.031";"1.011";"1.010";"954";"730";"819";"739";"627";"578";"458";"367";"556";"474";"508";"469";"392";"450";"465";"378";"382";"353";"348";"355";"447";"479";"373";"708";"664";"658";"786";"787";"963";"1.076";"874";"783";"728";"746";"788";"1.069";"1.112";"747";"1.043";"972";"999";"982";"985";"1.136";"1.121";"873";"752";"669";"580";"663";"775";"856";"561";"562";"528";"542";"489";"473";"482";"533";"379";"345";"298";"323";"314";"402";"426";"312";"226";"209";"244";"222";"223";"230";"273";"218";"176";"201";"201";"135";"156";"159";"104";"126";"113";"77";"78";"80";"60";"72";"68";"38";"50";"51";"34";"28";"30";"16";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
" F10.1 Psychische und Verhaltensstörungen durch Alkohol: Schädlicher Gebrauch";"238";"231";"262";"217";"273";"310";"273";"237";"179";"150";"169";"265";"400";"515";"480";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"13";"3";"9";"6";"2";"7";"";"5";"";"1";"1";"2";"7";"10";"8";"90";"68";"98";"64";"64";"76";"61";"51";"39";"34";"38";"53";"63";"78";"68";"37";"31";"42";"34";"51";"42";"41";"44";"31";"19";"19";"30";"70";"69";"75";"31";"31";"28";"23";"44";"68";"58";"50";"48";"41";"52";"72";"106";"147";"129";"32";"53";"46";"48";"65";"60";"61";"48";"23";"30";"30";"53";"78";"94";"95";"21";"28";"19";"20";"23";"33";"30";"20";"21";"14";"16";"36";"41";"80";"69";"10";"12";"13";"13";"18";"15";"19";"13";"10";"9";"11";"15";"28";"27";"29";"4";"5";"7";"9";"6";"9";"3";"6";"7";"2";"2";"4";"7";"10";"7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
" F10.2 Psychische und Verhaltensstörungen durch Alkohol: Abhängigkeitssyndrom";"7.542";"7.183";"6.984";"6.465";"6.540";"6.867";"6.928";"6.776";"6.685";"6.460";"6.916";"7.350";"6.615";"6.189";"5.239";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"1";"";"";"1";"2";"1";"1";"3";"2";"2";"12";"2";"1";"1";"242";"188";"195";"233";"247";"252";"222";"241";"221";"157";"180";"336";"143";"149";"150";"798";"721";"710";"690";"669";"661";"685";"601";"609";"650";"778";"905";"816";"804";"686";"1.606";"1.597";"1.681";"1.607";"1.774";"1.983";"2.115";"2.195";"2.198";"2.331";"2.402";"2.659";"2.411";"2.360";"2.043";"2.928";"2.833";"2.741";"2.528";"2.407";"2.496";"2.479";"2.400";"2.405";"2.134";"2.311";"2.179";"1.930";"1.714";"1.338";"1.487";"1.388";"1.227";"1.026";"1.068";"1.044";"1.000";"935";"849";"811";"904";"950";"973";"877";"756";"395";"377";"359";"324";"328";"371";"379";"371";"357";"343";"308";"274";"304";"240";"233";"84";"78";"71";"57";"46";"58";"47";"32";"43";"32";"31";"34";"36";"44";"31";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
" F10.3 Psychische und Verhaltensstörungen durch Alkohol: Entzugssyndrom";"1.119";"1.508";"1.893";"2.235";"1.824";"1.402";"1.429";"1.274";"1.091";"1.216";"846";"949";"1.072";"1.167";"1.014";"";"";"";"";"";"";"";"";"";"2";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"17";"22";"40";"47";"50";"26";"38";"26";"21";"21";"13";"14";"13";"15";"15";"124";"134";"174";"212";"163";"139";"111";"115";"88";"105";"67";"75";"112";"148";"129";"237";"311";"372";"512";"414";"392";"384";"396";"341";"431";"281";"318";"380";"404";"371";"434";"645";"799";"897";"742";"533";"516";"456";"376";"406";"302";"323";"347";"334";"272";"211";"290";"363";"389";"316";"218";"241";"193";"172";"163";"125";"149";"160";"202";"158";"70";"84";"123";"148";"119";"87";"119";"77";"77";"82";"50";"56";"51";"53";"53";"26";"22";"22";"30";"20";"7";"20";"11";"16";"6";"8";"14";"9";"11";"15";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
" F10.4 Psychische und Verhaltensstörungen durch Alkohol: Entzugssyndrom mit Delir";"290";"255";"285";"362";"355";"333";"311";"380";"349";"459";"448";"492";"464";"538";"468";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"1";"1";"1";"1";"1";"2";"2";"5";"4";"3";"1";"1";"2";"4";"5";"18";"12";"20";"25";"24";"30";"16";"10";"11";"18";"29";"33";"27";"27";"41";"48";"38";"48";"46";"70";"58";"63";"91";"82";"110";"126";"131";"150";"152";"154";"93";"94";"89";"166";"122";"109";"104";"128";"99";"148";"150";"162";"128";"166";"108";"74";"63";"79";"71";"80";"95";"72";"81";"81";"105";"87";"97";"108";"126";"114";"39";"34";"37";"42";"44";"31";"49";"51";"58";"58";"50";"56";"36";"51";"39";"17";"13";"11";"11";"14";"8";"5";"14";"14";"16";"5";"12";"13";"12";"5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
