"ICD-10-4","Geschlecht","Insgesamt","unter 1 Jahr","1-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85-89","90-94","95 und älter","unbekannt","year"
"F100","m","38843","11","14","14","1231","4726","2761","2308","3780","5451","5633","4192","2797","2162","1939","965","526","214","69","40","5","5","0","2000"
"F100","w","15198","4","15","4","963","2594","1063","774","1276","1713","1767","1483","1094","926","672","363","200","157","62","50","14","4","0","2000"
"F101","m","8894","1","2","2","103","601","424","465","856","1260","1392","1117","852","686","576","278","169","73","23","11","3","0","0","2000"
"F101","w","3483","0","2","3","110","315","157","144","285","404","479","451","340","261","205","112","97","64","30","16","5","2","1","2000"
"F102","m","106821","4","0","1","27","527","1717","4087","11402","20392","22877","17954","10854","8093","5436","2135","955","277","56","21","5","0","1","2000"
"F102","w","31298","3","0","0","11","161","344","869","2768","5259","6152","5423","3699","2892","2012","907","433","246","71","37","10","1","0","2000"
"F102","u","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2000"
"F103","m","30112","1","0","0","2","74","379","1134","3357","6165","6529","5193","2842","2128","1447","534","232","75","13","5","2","0","0","2000"
"F103","w","7109","2","0","0","3","23","61","210","675","1228","1437","1263","771","624","438","221","91","37","15","8","2","0","0","2000"
"F104","m","15299","0","0","0","7","60","139","406","1258","2559","3019","2697","1655","1412","1198","530","241","87","18","11","2","0","0","2000"
"F104","w","3662","0","0","1","7","17","27","61","204","462","611","620","453","414","363","195","123","64","14","19","7","0","0","2000"
"F104","u","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2000"
"F105","m","2726","0","0","0","6","53","78","101","268","452","545","419","254","212","166","93","52","21","5","1","0","0","0","2000"
"F105","w","925","0","1","0","9","42","34","22","56","123","119","138","107","79","90","42","24","21","6","7","4","1","0","2000"
"F106","m","2679","0","0","1","0","6","4","20","45","117","182","331","327","521","520","358","149","66","21","8","3","0","0","2000"
"F106","w","1019","0","0","0","0","4","2","4","14","51","76","92","129","186","184","109","71","63","24","6","4","0","0","2000"
"F107","m","2583","0","0","0","1","8","14","38","109","191","336","359","283","362","389","279","141","49","17","5","1","1","0","2000"
"F107","w","705","0","0","0","0","3","2","4","22","48","70","75","86","108","114","70","46","37","12","7","1","0","0","2000"
"F108","m","975","0","0","1","2","33","37","45","96","153","178","117","74","81","73","58","20","5","0","1","1","0","0","2000"
"F108","w","280","0","0","0","6","17","6","7","24","37","38","41","23","24","19","14","7","9","4","4","0","0","0","2000"
"F109","m","4400","1","1","2","34","134","142","198","453","757","805","640","419","367","235","114","57","29","7","5","0","0","0","2000"
"F109","w","1637","0","0","0","29","85","36","59","167","207","252","211","219","125","94","61","39","28","14","9","2","0","0","2000"
