"ICD-10-3","Geschlecht","DE","SH","HH","NI","HB","NW","HE","RP","BW","BY","SL","BE","BB","MV","SN","ST","TH","year"
"F10","m","213332","7530","3083","21072","2317","48578","11636","8367","21795","28184","2497","10961","9186","8416","13115","10109","6486","2000"
"F10","w","65316","2548","1158","6770","636","15313","4046","2816","7498","10432","980","3142","1884","1930","2891","1810","1462","2000"
"F10","u","2","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","2000"
"T51","m","6253","154","28","713","41","1537","313","319","1038","1232","47","143","113","108","203","122","142","2000"
"T51","w","2718","99","26","334","20","585","174","140","392","548","25","37","46","54","116","59","63","2000"
"F10","m","218209","9396","3299","21637","2397","48041","12412","8602","22418","30036","2398","10578","9011","8600","12870","9864","6650","2001"
"F10","w","67537","3105","1242","6867","653","15305","4316","2906","7973","11484","892","3068","1811","1611","2928","1841","1535","2001"
"F10","u","7","0","0","0","0","0","2","0","2","3","0","0","0","0","0","0","0","2001"
"T51","m","4623","97","25","476","28","1263","232","316","521","686","40","298","111","143","195","110","82","2001"
"T51","w","2045","59","14","233","15","461","128","106","245","324","22","86","72","64","101","74","41","2001"
"F10","m","216306","9544","3316","21244","2399","48712","12931","8420","22262","30022","2367","10140","8768","8241","12517","8832","6591","2002"
"F10","w","67974","3249","1219","6961","687","15844","4448","2970","7951","11458","850","2878","1740","1528","2982","1719","1490","2002"
"F10","u","2","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","2002"
"T51","m","4864","81","50","519","56","1209","285","327","682","669","65","228","107","142","207","118","119","2002"
"T51","w","2490","46","24","307","35","572","178","132","311","355","26","101","73","100","97","68","65","2002"
"F10","m","215936","9321","3344","21564","2453","48346","13404","8812","22901","29742","2469","9685","8302","8064","12428","8857","6244","2003"
"F10","w","70179","3115","1280","7168","710","16311","4695","3158","8258","11993","912","2882","1787","1516","3106","1769","1519","2003"
"T51","m","3210","56","35","377","78","701","242","187","400","403","54","145","97","99","142","116","78","2003"
"T51","w","1796","37","34","214","39","371","134","91","201","221","40","70","58","67","101","73","45","2003"
"F10","m","218057","8714","3851","21572","2483","48237","13269","9305","24155","30474","2570","9509","8775","7537","12479","8502","6625","2004"
"F10","w","72806","3100","1559","7184","817","16838","4756","3410","8969","12184","1008","2881","1863","1588","3234","1751","1664","2004"
"F10","u","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2004"
"T51","m","2518","37","31","270","58","705","142","152","252","268","37","96","91","86","101","116","76","2004"
"T51","w","1316","31","17","178","40","277","110","90","144","145","20","36","52","30","62","41","43","2004"
"F10","m","223333","8743","3809","21758","2531","49064","13690","9756","24207","30875","2706","9617","9001","8205","13060","9536","6775","2005"
"F10","w","76092","3135","1570","7730","798","17418","5114","3422","9492","12812","1099","2877","2139","1554","3388","1907","1637","2005"
"F10","u","3","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","2005"
"T51","m","2103","47","31","221","59","596","110","100","195","277","43","55","81","37","80","72","99","2005"
"T51","w","1195","34","14","150","18","273","71","63","147","174","22","23","41","31","47","51","36","2005"
"F10","m","222530","8784","3712","21815","2456","49959","13614","10263","24144","30496","2623","9312","8410","7992","12466","9750","6734","2006"
"F10","w","76422","3109","1548","7643","856","18123","4922","3687","9418","12511","1010","2866","1884","1668","3440","2030","1707","2006"
"F10","u","3","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","2006"
"T51","m","5932","210","47","576","65","1367","464","201","783","1250","84","124","121","71","211","202","156","2006"
"T51","w","3809","180","47","392","38","869","286","133","542","778","70","74","65","36","101","74","124","2006"
"F10","m","233278","9479","4107","22803","2764","52832","13891","10280","26194","32453","2735","9081","8612","8251","12810","9961","7025","2007"
"F10","w","82840","3344","1645","8380","937","19159","5718","3813","10108","13801","1023","3054","2049","1933","3666","2337","1873","2007"
"F10","u","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2007"
"T51","m","3392","115","36","366","44","791","181","154","376","654","53","88","93","44","106","145","146","2007"
"T51","w","1940","87","25","245","24","424","119","76","225","393","46","41","54","18","59","52","52","2007"
"F10","m","245971","10343","4211","24910","2798","54915","15106","10729","27862","34418","2835","9282","8625","8775","13631","10137","7394","2008"
"F10","w","87833","3509","1725","8934","987","20546","5975","3936","10785","14729","1195","3157","2080","1857","4045","2366","2007","2008"
"T51","m","2741","103","43","310","52","717","194","144","228","509","34","86","66","24","105","47","79","2008"
"T51","w","1614","68","43","193","38","419","127","72","129","271","33","48","40","14","50","29","40","2008"
"F10","m","249250","10019","4370","25557","2878","55356","15437","10817","27856","35127","2790","9619","8343","8697","14622","10171","7591","2009"
"F10","w","89842","3617","1784","9291","1094","20790","6113","4072","10746","15362","1144","3200","2098","1968","4121","2453","1989","2009"
"T51","m","2091","131","29","215","30","480","165","89","188","316","30","98","61","14","129","30","86","2009"
"T51","w","1155","63","16","98","20","297","92","62","105","184","13","56","28","11","57","20","33","2009"
"F10","m","244494","9677","4420","25016","2538","53985","15021","10631","27906","35697","2755","9723","8132","8375","13705","9309","7604","2010"
"F10","w","88863","3623","1754","8950","854","20105","6082","4262","10733","15569","1118","3389","1973","1888","4018","2415","2130","2010"
"T51","m","1839","112","17","118","37","380","274","71","155","253","17","108","71","27","110","35","54","2010"
"T51","w","1187","93","14","80","21","263","171","56","80","152","10","74","31","5","80","19","38","2010"
"F10","m","246371","9896","4887","25129","3142","55274","15076","10671","27600","36035","2767","9640","8344","8094","12867","9360","7589","2011"
"F10","w","92100","3832","1862","9232","999","21244","6299","4299","10918","16161","1144","3507","2119","1921","4041","2349","2173","2011"
"T51","m","1798","58","25","113","48","413","232","39","234","243","21","83","60","39","117","9","64","2011"
"T51","w","1060","31","8","83","22","265","127","22","112","173","16","47","18","23","57","15","41","2011"
"F10","m","250112","10131","4939","25636","2889","55527","15321","11177","27678","36738","2930","10167","8377","8104","13376","9263","7859","2012"
"F10","w","94921","3897","1829","9508","1392","22022","6738","4252","11235","16264","1128","3556","2234","1938","4149","2523","2256","2012"
"F10","u","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2012"
"T51","m","1198","64","21","75","40","300","88","29","98","205","10","49","38","17","99","29","36","2012"
"T51","w","793","31","15","53","33","209","63","21","73","122","8","33","26","7","51","13","35","2012"
"F10","m","245631","9722","5106","25491","2982","53862","15382","10726","26855","36983","3075","9979","8309","7891","13068","8579","7621","2013"
"F10","w","92573","3759","1962","9456","1112","21148","6197","4070","10960","16378","1294","3694","2200","1949","4028","2179","2187","2013"
"T51","m","1043","27","12","98","38","245","83","36","62","169","18","79","41","12","81","20","22","2013"
"T51","w","629","27","12","55","19","151","43","20","50","89","7","61","10","14","46","11","14","2013"
